#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"273,263,296","+52,728","5,353,653",+808,"245,401,653","+108,405","22,507,990","89,301","35,057",686.8,,,,All,,,,,,,
1,USA,"51,435,652",,"824,520 ",,"40,406,796",,"10,204,336","15,671","154,078","2,470","783,238,887","2,346,228","333,828,917 ",North America,64050,,,"30,568",,
2,India,"34,726,049",,"476,869 ",,"34,162,765","+7,886","86,415","8,944","24,809",341,"661,507,694","472,589","1,399,754,028 ",Asia,"402,9352",,,62,,
3,Brazil,"22,204,941",,"617,521 ",,"21,414,318",,"173,102","8,318","103,395","2,875","63,776,166","296,966","214,759,325 ",South America,103483,,,806,,
4,UK,"11,097,851",,"146,937 ",,"9,658,375",,"1,292,539",886,"162,237","2,148","382,575,086","5,592,771","68,405,286 ",Europe,64660,,,"18,895",,
5,Russia,"10,131,646",,"294,024 ",,"8,876,788",,"960,834","2,300","69,383","2,014","233,300,000","1,597,665","146,025,608 ",Europe,144971,,,"6,580",,
6,Turkey,"9,118,424",,"79,863 ",,"8,712,929",,"325,632","1,128","106,449",932,"113,329,305","1,323,013","85,659,998 ",Asia,"91,0731",,,"3,801",,
7,France,"8,460,712",,"121,171 ",,"7,430,011",,"909,530","2,832","129,203","1,850","175,073,861","2,673,542","65,483,872 ",Europe,85400,,,"13,889",,
8,Germany,"6,709,218",,"108,154 ",,"5,679,400","+60,800","921,664","4,636","79,706","1,285","87,852,398","1,043,699","84,174,101 ",Europe,137781,,,"10,949",,
9,Iran,"6,165,454",,"130,946 ",,"5,990,898",,"43,610","2,957","72,062","1,531","40,463,565","472,940","85,557,443 ",Asia,146532,,,510,,
10,Spain,"5,422,168",,"88,667 ",,"4,965,069",,"368,432","1,292","115,905","1,895","66,213,858","1,415,396","46,781,156 ",Europe,95281,,,"7,876",,
11,Argentina,"5,376,642",,"116,874 ",,"5,225,452",,"34,316",756,"117,395","2,552","26,897,346","587,285","45,799,502 ",South America,93922,,,749,,
12,Italy,"5,308,180",,"135,301 ",,"4,854,949",,"317,930",917,"87,982","2,243","128,435,536","2,128,802","60,332,316 ",Europe,114460,,,"5,270",,
13,Colombia,"5,101,466",,"129,295 ",,"4,942,391",,"29,780",342,"98,727","2,502","28,830,092","557,941","51,672,290 ",South America,104002,,,576,,
14,Indonesia,"4,259,857",,"143,979 ",,"4,111,045",,"4,833",,"15,338",518,"59,343,891","213,672","277,733,551 ",Asia,"651,9295",,,17,,
15,Mexico,"3,927,265","+2,627","297,356 ",+169,"3,281,944","+2,041","347,965","4,798","30,001","2,272","12,133,530","92,690","130,904,481 ",North America,3344011,20,1,"2,658",,
16,Poland,"3,903,445",,"90,306 ",,"3,361,528",,"451,611","2,130","103,303","2,390","25,659,484","679,070","37,786,230 ",Europe,104181,,,"11,952",,
