#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
204,St. Barth,"1,589",,6 ,,462,,"1,121",,"160,230",605,"38,369","3,869,013","9,917 ",North America,"61,6530",,,"113,038",,
205,Anguilla,"1,019",,1 ,,913,,105,,"67,115",66,"49,707","3,273,859","15,183 ",North America,"1515,1830",,,"6,916",,
206,Greenland,859,, ,,776,,83,2,"15,096",,"90,235","1,585,797","56,902 ",North America,661,,,"1,459",,
209,Macao,77,, ,,75,,2,,116,,"5,008","7,574","661,223 ",Asia,"8,587132",,,3,,
210,Falkland Islands,68,, ,,67,,1,,"18,805",,"7,643","2,113,662","3,616 ",South America,530,,,277,,
211,Montserrat,41,,1 ,,38,,2,,"8,207",200,"1,408","281,825","4,996 ",North America,"1224,9964",,,400,,
215,Western Sahara,10,,1 ,,8,,1,,16,2,,,"617,034 ",Africa,"61,703617,034",,,2,,
218,Vanuatu,6,,1 ,,3,,2,,19,3,"23,000","72,607","316,772 ",Australia/Oceania,"52,795316,77214",,,6,,
223,Tonga,1,, ,,,,1,,9,,,,"107,304 ",Australia/Oceania,"107,304",,,9,,
224,China,"97,660",+55,"4,636 ",,"91,883",+43,"1,141",31,68,3,"160,000,000","111,163","1,439,323,776 ",Asia,"14,738310,4679",0.04,,0.8,,
Total:,"250,190,711","+355,815","5,058,478","+5,001","226,466,016","+274,294","18,666,217","73,207","32,097.1",649.0,,,,All,,,,,,,
