#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"247,051,870","+324,365","5,009,067","+4,996","223,765,089","+247,745","18,277,714","74,633","31,694",642.6,,,,All,,,,,,,
1,USA,"46,776,480","+4,501","765,757 ",+35,"36,647,099",+199,"9,363,624","12,720","140,228","2,296","697,852,677","2,092,042","333,574,837 ",North America,74360,13,0.1,"28,071",,
2,India,"34,272,260","+12,541","458,213 ",+440,"33,647,055","+13,631","166,992","8,944","24,516",328,"607,062,619","434,244","1,397,976,093 ",Asia,"413,0512",9,0.3,119,,
3,Brazil,"21,793,401",,"607,504 ",,"20,986,901",,"198,996","8,318","101,572","2,831","63,776,166","297,240","214,561,469 ",South America,103533,,,927,,
4,UK,"9,019,962","+41,278","140,558 ",+166,"7,325,785","+35,152","1,553,619",946,"131,951","2,056","331,717,146","4,852,602","68,358,613 ",Europe,84860,604,2,"22,727",,
5,Russia,"8,472,797","+40,251","237,380 ","+1,160","7,331,424","+28,909","903,993","2,300","58,026","1,626","206,300,000","1,412,845","146,017,429 ",Europe,176151,276,8,"6,191",,
6,Turkey,"8,009,040","+23,096","70,410 ",+203,"7,463,950","+28,632","474,680","1,405","93,628",823,"96,617,329","1,129,485","85,541,044 ",Asia,"111,2151",270,2,"5,549",,
7,France,"7,160,548","+7,360","117,671 ",+22,"6,938,862","+3,964","104,015","1,049","109,380","1,797","151,204,954","2,309,707","65,464,984 ",Europe,95560,112,0.3,"1,589",,
8,Iran,"5,916,211","+6,809","126,126 ",+128,"5,494,689","+12,952","295,396","3,942","69,263","1,477","32,619,228","381,885","85,416,454 ",Asia,146773,80,1,"3,458",,
9,Argentina,"5,287,447",,"115,935 ",,"5,152,539",,"18,973",609,"115,585","2,534","25,052,705","547,658","45,745,165 ",South America,93952,,,415,,
10,Spain,"5,011,148",,"87,368 ",,"4,864,318",,"59,462",411,"107,124","1,868","66,213,858","1,415,468","46,778,789 ",Europe,95351,,,"1,271",,
11,Colombia,"4,999,048",,"127,225 ",,"4,842,692",,"29,131",342,"96,879","2,466","26,741,909","518,242","51,601,205 ",South America,104062,,,565,,
12,Italy,"4,767,440","+4,878","132,074 ",+37,"4,554,985","+3,103","80,381",346,"79,004","2,189","103,901,788","1,721,827","60,343,930 ",Europe,134571,81,0.6,"1,332",,
13,Germany,"4,590,575","+13,087","96,225 ",+49,"4,267,500","+9,700","226,850","1,336","54,559","1,144","73,348,901","871,758","84,139,058 ",Europe,188741,156,0.6,"2,696",,
14,Indonesia,"4,243,835",+620,"143,388 ",+27,"4,088,138",+698,"12,309",,"15,301",517,"46,545,402","167,819","277,354,458 ",Asia,"651,9346",2,0.10,44,,
15,Mexico,"3,802,287","+4,001","287,951 ",+320,"3,163,121","+3,660","351,215","4,798","29,086","2,203","11,323,003","86,616","130,726,937 ",North America,3445412,31,2,"2,687",,
16,Poland,"3,018,100","+9,798","76,990 ",+115,"2,702,040","+4,496","239,070",545,"79,862","2,037","22,102,885","584,862","37,791,645 ",Europe,134912,259,3,"6,326",,
17,South Africa,"2,921,886",+297,"89,163 ",+12,"2,814,076",+295,"18,647",546,"48,457","1,479","18,525,613","307,230","60,298,837 ",Africa,216763,5,0.2,309,,
18,Ukraine,"2,904,872","+26,198","67,393 ",+541,"2,430,944","+9,449","406,535",177,"66,955","1,553","14,378,720","331,420","43,385,230 ",Europe,156443,604,12,"9,370",,
19,Philippines,"2,783,896","+4,008","43,044 ",+423,"2,693,162","+6,887","47,690","3,194","24,965",386,"22,794,383","204,412","111,512,151 ",Asia,"402,5915",36,4,428,,
20,Malaysia,"2,460,809",,"28,832 ",,"2,361,919",,"70,058",567,"74,762",876,"34,060,161","1,034,789","32,915,085 ",Asia,"131,1421",,,"2,128",,
21,Peru,"2,199,876",,"200,197 ",,N/A,N/A,N/A,848,"65,512","5,962","18,999,051","565,786","33,579,926 ",South America,151682,,,"8,309",,
22,Netherlands,"2,123,880","+7,942","18,397 ",+13,"1,984,666","+1,690","120,817",210,"123,588","1,071","17,988,698","1,046,759","17,185,132 ",Europe,89341,462,0.8,"7,030",,
23,Iraq,"2,054,202",+682,"23,138 ",+27,"2,000,511","+1,952","30,553",217,"49,599",559,"15,795,760","381,393","41,415,982 ",Asia,"201,7903",16,0.7,738,,
24,Thailand,"1,903,165","+9,224","19,158 ",+88,"1,783,875","+8,305","100,132","2,432","27,176",274,"14,913,135","212,947","70,032,158 ",Asia,"373,6565",132,1,"1,430",,
25,Czechia,"1,757,821","+5,720","30,736 ",+7,"1,673,347",+98,"53,738",188,"163,742","2,863","40,500,493","3,772,640","10,735,319 ",Europe,63490,533,0.7,"5,006",,
26,Japan,"1,717,980",,"18,237 ",,"1,695,364",,"4,379",145,"13,639",145,"26,356,006","209,236","125,962,969 ",Asia,"736,9075",,,35,,
27,Canada,"1,713,083",+958,"28,958 ",+7,"1,658,294",+373,"25,831",765,"44,868",758,"46,092,312","1,207,220","38,180,542 ",North America,"221,3181",25,0.2,677,,
