#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"252,635,821","+14,877","5,095,268",+335,"228,557,844","+11,693","18,982,709","77,016","32,411",653.7,,,,All,,,,,,,
1,USA,"47,693,516",,"780,775 ",,"37,729,489",,"9,183,252","11,310","142,947","2,340","716,695,749","2,148,087","333,643,650 ",North America,74270,,,"27,524",,
2,India,"34,404,060",,"462,384 ",,"33,800,925",,"140,751","8,944","24,601",331,"619,902,064","443,276","1,398,457,617 ",Asia,"413,0242",,,101,,
3,Brazil,"21,926,526",,"610,323 ",,"21,130,382",,"185,821","8,318","102,167","2,844","63,776,166","297,165","214,615,055 ",South America,103523,,,866,,
4,UK,"9,448,402",,"142,533 ",,"7,729,312",,"1,576,557","1,008","138,193","2,085","343,761,954","5,027,873","68,371,254 ",Europe,74800,,,"23,059",,
5,Russia,"8,952,472",,"251,691 ",,"7,687,317",,"1,013,464","2,300","61,310","1,724","214,900,000","1,471,720","146,019,644 ",Europe,165801,,,"6,941",,
6,Turkey,"8,340,322",,"72,910 ",,"7,817,991",,"449,421","1,405","97,464",852,"100,908,115","1,179,201","85,573,261 ",Asia,"101,1741",,,"5,252",,
7,France,"7,256,643",,"118,073 ",,"6,996,499",,"142,071","1,049","110,839","1,803","151,204,954","2,309,527","65,470,099 ",Europe,95540,,,"2,170",,
8,Iran,"6,019,947",,"127,809 ",,"5,656,447",,"235,691","3,582","70,446","1,496","36,278,187","424,532","85,454,638 ",Asia,146692,,,"2,758",,
9,Argentina,"5,302,445",,"116,209 ",,"5,168,548",,"17,688",651,"115,875","2,540","25,549,823","558,345","45,759,881 ",South America,93942,,,387,,
10,Spain,"5,042,803",,"87,647 ",,"4,888,554",,"66,602",395,"107,800","1,874","66,213,858","1,415,448","46,779,430 ",Europe,95341,,,"1,424",,
11,Colombia,"5,024,263",,"127,680 ",,"4,866,467",,"30,116",342,"97,331","2,473","27,262,081","528,126","51,620,457 ",South America,104042,,,583,,
12,Germany,"4,925,928",,"97,822 ",,"4,432,600",,"395,506","2,616","58,538","1,162","77,993,513","926,855","84,148,549 ",Europe,178601,,,"4,700",,
13,Italy,"4,835,435",,"132,618 ",,"4,595,897",,"106,920",422,"80,135","2,198","109,317,358","1,811,666","60,340,785 ",Europe,124551,,,"1,772",,
