#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"277,698,982","+186,063","5,396,858","+3,443","248,918,302","+316,415","23,383,822","88,866","35,626",692.4,,,,All,,,,,,,
1,USA,"52,510,978",,"833,029 ",,"40,908,146",,"10,769,803","16,187","157,284","2,495","795,166,534","2,381,732","333,860,677 ",North America,64010,,,"32,258",,
2,India,"34,765,976",,"478,759 ",,"34,208,926","+6,960","78,291","8,944","24,833",342,"668,643,929","477,611","1,399,976,270 ",Asia,"402,9242",,,56,,
3,Brazil,"22,222,928",,"618,128 ",,"21,414,318",,"190,482","8,318","103,466","2,878","63,776,166","296,932","214,784,057 ",South America,103473,,,887,,
4,UK,"11,647,473",,"147,573 ",,"9,922,480",,"1,577,420",849,"170,257","2,157","392,136,238","5,732,054","68,411,120 ",Europe,64640,,,"23,058",,
5,Russia,"10,318,650","+25,667","301,271 ","+1,002","9,139,166","+41,645","878,213","2,300","70,663","2,063","236,800,000","1,621,622","146,026,630 ",Europe,144851,176,7,"6,014",,
6,Turkey,"9,228,835",,"80,957 ",,"8,858,445",,"289,433","1,128","107,719",945,"115,432,381","1,347,331","85,674,867 ",Asia,"91,0581",,,"3,378",,
7,France,"8,798,028",,"122,116 ",,"7,701,272","+49,688","974,640","3,147","134,349","1,865","182,873,794","2,792,553","65,486,233 ",Europe,75360,,,"14,883",,
8,Germany,"6,918,033","+2,680","110,244 ",+10,"5,992,800","+59,400","814,989","4,636","82,183","1,310","89,622,218","1,064,669","84,178,481 ",Europe,127641,32,0.1,"9,682",,
9,Iran,"6,179,817","+1,932","131,262 ",+51,"6,019,343","+3,019","29,212","2,807","72,215","1,534","41,183,363","481,254","85,575,066 ",Asia,146522,23,0.6,341,,
10,Spain,"5,645,095",,"88,937 ",,"4,997,068",,"559,090","1,466","120,670","1,901","66,213,858","1,415,387","46,781,452 ",Europe,85261,,,"11,951",,
11,Italy,"5,472,469",,"136,077 ",,"4,933,663",,"402,729","1,010","90,708","2,256","132,337,126","2,193,523","60,330,865 ",Europe,114430,,,"6,675",,
12,Argentina,"5,415,501",,"116,964 ",,"5,243,498",,"55,039",824,"118,226","2,553","27,221,412","594,272","45,806,294 ",South America,83922,,,"1,202",,
13,Colombia,"5,112,719",,"129,586 ",,"4,952,013",,"31,120",342,"98,928","2,507","29,106,481","563,193","51,681,176 ",South America,103992,,,602,,
14,Indonesia,"4,261,208",+136,"144,042 ",+8,"4,112,524",+232,"4,642",,"15,340",519,"61,372,344","220,938","277,780,937 ",Asia,"651,9285",0.5,0.03,17,,
15,Poland,"4,017,420","+17,156","93,445 ",+616,"3,500,570","+16,218","423,405","2,080","106,322","2,473","26,591,417","703,746","37,785,553 ",Europe,94041,454,16,"11,205",,
16,Mexico,"3,940,401","+3,319","298,359 ",+198,"3,293,911","+1,805","348,131","4,798","30,096","2,279","12,216,584","93,309","130,926,674 ",North America,3343911,25,2,"2,659",,
17,Ukraine,"3,630,391","+7,312","94,184 ",+275,"3,393,420","+16,521","142,787",177,"83,752","2,173","16,598,851","382,933","43,346,668 ",Europe,124603,169,6,"3,294",,
18,South Africa,"3,353,106",,"90,587 ",,"3,052,399",,"210,120",546,"55,507","1,500","20,985,692","347,393","60,409,155 ",Africa,186673,,,"3,478",,
19,Netherlands,"3,028,137","+13,332","20,621 ",+40,"2,467,663","+22,909","539,853",572,"176,150","1,200","19,205,114","1,117,180","17,190,710 ",Europe,68341,776,2,"31,404",,
20,Philippines,"2,837,903",+288,"50,981 ",+65,"2,777,671",+270,"9,251",899,"25,400",456,"24,937,631","223,201","111,727,361 ",Asia,"392,1924",3,0.6,83,,
21,Malaysia,"2,728,203",,"31,221 ",,"2,647,587",,"49,395",338,"82,732",947,"40,082,542","1,215,497","32,976,266 ",Asia,"121,0561",,,"1,498",,
22,Czechia,"2,435,208","+7,682","35,585 ",+40,"2,214,761",+455,"184,862",794,"226,779","3,314","46,466,585","4,327,206","10,738,242 ",Europe,43020,715,4,"17,215",,
23,Peru,"2,269,497",,"202,375 ",,N/A,N/A,N/A,911,"67,449","6,015","21,280,472","632,449","33,647,710 ",South America,151662,,,"10,297",,
24,Thailand,"2,202,001","+2,940","21,501 ",+30,"2,142,186","+2,798","38,314",899,"31,431",307,"17,270,775","246,521","70,057,927 ",Asia,"323,2584",42,0.4,547,,
25,Iraq,"2,091,834",+312,"24,108 ",+13,"2,061,781",+422,"5,945",96,"50,346",580,"16,729,836","402,649","41,549,474 ",Asia,"201,7232",8,0.3,143,,
26,Belgium,"2,017,154",,"27,992 ",,"1,553,605",,"435,557",743,"172,940","2,400","26,522,253","2,273,875","11,663,899 ",Europe,64170,,,"37,342",,
27,Canada,"1,924,261",,"30,113 ",,"1,809,406",,"84,742",455,"50,335",788,"51,335,354","1,342,827","38,229,312 ",North America,"201,2701",,,"2,217",,
28,Romania,"1,801,081",+775,"58,463 ",+37,"1,729,714","+1,079","12,904",453,"94,552","3,069","16,837,470","883,921","19,048,618 ",Europe,113261,41,2,677,,
29,Chile,"1,796,232","+1,482","38,954 ",+54,"1,708,165","+1,754","49,113",581,"92,791","2,012","26,960,138","1,392,729","19,357,772 ",South America,114971,77,3,"2,537",,
30,Japan,"1,730,602",+267,"18,383 ",+2,"1,710,677",+96,"1,542",28,"13,745",146,"28,987,157","230,228","125,906,096 ",Asia,"736,8494",2,0.02,12,,
