#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
195,Liechtenstein,"3,529",+5,60 ,,"3,415",,54,1,"92,208","1,568","49,126","1,283,602","38,272 ",Europe,116381,131,,"1,411",,
196,Monaco,"3,389",,36 ,+2,"3,323",+5,30,2,"85,566",909,"54,960","1,387,633","39,607 ",Europe,"121,1001",,50,757,,
197,Turks and Caicos,"2,956",,23 ,,"2,876",,57,1,"75,020",584,"94,789","2,405,629","39,403 ",North America,"131,7130",,,"1,447",,
198,British Virgin Islands,"2,725",,37 ,,"2,649",,39,7,"89,359","1,213","82,570","2,707,657","30,495 ",North America,118240,,,"1,279",,
199,Saint Kitts and Nevis,"2,625",+2,21 ,,"2,275",+32,329,1,"48,890",391,"51,994","968,375","53,692 ",North America,"202,5571",37,,"6,128",,
200,Bhutan,"2,617",,3 ,,"2,605",,9,,"3,343",4,"1,188,920","1,518,911","782,745 ",Asia,"299260,9151",,,11,,
201,Caribbean Netherlands,"2,388",+5,19 ,,"2,284",+9,85,,"89,967",716,"25,579","963,682","26,543 ",North America,"111,3971",188,,"3,202",,
202,Faeroe Islands,"1,615",+78,2 ,,"1,323",+4,290,,"32,888",41,"460,000","9,367,491","49,106 ",Europe,"3024,5530","1,588",,"5,906",,
203,St. Barth,"1,589",,6 ,,462,,"1,121",,"160,230",605,"38,369","3,869,013","9,917 ",North America,"61,6530",,,"113,038",,
204,Cayman Islands,"1,196",,2 ,,923,,271,,"17,922",30,"136,780","2,049,630","66,734 ",North America,"5633,3670",,,"4,061",,
205,Anguilla,793,,1 ,,701,,91,,"52,243",66,"42,919","2,827,525","15,179 ",North America,"1915,1790",,,"5,995",,
206,Greenland,731,, ,,641,,90,2,"12,847",,"84,263","1,480,922","56,899 ",North America,781,,,"1,582",,
209,Macao,77,, ,,66,,11,,117,,"4,988","7,547","660,933 ",Asia,"8,584133",,,17,,
210,Falkland Islands,68,, ,,67,,1,,"18,826",,"7,643","2,116,002","3,612 ",South America,530,,,277,,
211,Montserrat,41,,1 ,,34,,6,,"8,207",200,"1,408","281,825","4,996 ",North America,"1224,9964",,,"1,201",,
215,Western Sahara,10,,1 ,,8,,1,,16,2,,,"616,551 ",Africa,"61,655616,551",,,2,,
223,China,"96,758",+43,"4,636 ",,"91,558",+28,564,13,67,3,"160,000,000","111,163","1,439,323,776 ",Asia,"14,876310,4679",0.03,,0.4,,
Total:,"244,409,946","+318,553","4,963,504","+4,668","221,427,765","+267,598","18,018,677","75,270","31,355.5",636.8,,,,All,,,,,,,
