#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"261,656,363","+298,633","5,216,368","+3,706","236,325,798","+259,471","20,114,197","83,830","33,568",669.2,,,,All,,,,,,,
1,USA,"49,081,854","+4,159","799,344 ",+32,"38,861,714",,"9,420,796","12,438","147,071","2,395","748,307,879","2,242,266","333,728,343 ",North America,74180,12,0.10,"28,229",,
2,India,"34,572,523",,"468,554 ",,"33,998,278","+9,481","105,691","8,944","24,711",335,"638,247,889","456,201","1,399,050,262 ",Asia,"402,9862",,,76,,
3,Brazil,"22,076,863",,"614,236 ",,"21,288,281",,"174,346","8,318","102,836","2,861","63,776,166","297,074","214,681,007 ",South America,103503,,,812,,
4,UK,"10,146,915","+37,681","144,775 ",+51,"8,985,054","+33,221","1,017,086",925,"148,375","2,117","358,682,719","5,244,911","68,386,811 ",Europe,74720,551,0.7,"14,873",,
5,Russia,"9,570,373","+33,548","272,755 ","+1,224","8,268,111","+30,646","1,029,507","2,300","65,540","1,868","224,100,000","1,534,696","146,022,371 ",Europe,155351,230,8,"7,050",,
6,Turkey,"8,746,055","+21,655","76,446 ",+213,"8,278,610","+20,007","390,999","1,405","102,158",893,"106,962,684","1,249,376","85,612,912 ",Asia,"101,1201",253,2,"4,567",,
7,France,"7,588,400",,"118,871 ",,"7,098,613",,"370,916","1,563","115,895","1,815","162,981,031","2,489,157","65,476,395 ",Europe,95510,,,"5,665",,
8,Iran,"6,108,882","+3,781","129,629 ",+80,"5,863,248","+10,182","116,005","3,347","71,448","1,516","38,439,240","449,573","85,501,635 ",Asia,146602,44,0.9,"1,357",,
9,Germany,"5,776,369","+31,852","101,397 ",+57,"4,823,700","+20,600","851,272","4,202","68,635","1,205","83,816,414","995,915","84,160,230 ",Europe,158301,378,0.7,"10,115",,
10,Argentina,"5,325,560",,"116,517 ",,"5,189,507",,"19,536",593,"116,335","2,545","26,111,525","570,395","45,777,993 ",South America,93932,,,427,,
11,Spain,"5,131,012",,"87,955 ",,"4,914,286",,"128,771",597,"109,683","1,880","66,213,858","1,415,424","46,780,219 ",Europe,95321,,,"2,753",,
12,Colombia,"5,063,177",,"128,394 ",,"4,903,231",,"31,552",342,"98,040","2,486","27,975,654","541,700","51,644,152 ",South America,104022,,,611,,
13,Italy,"5,007,818","+12,932","133,674 ",+47,"4,687,701","+5,383","186,443",638,"82,998","2,215","118,335,763","1,961,250","60,336,914 ",Europe,124511,214,0.8,"3,090",,
14,Indonesia,"4,255,936",+264,"143,808 ",+1,"4,103,914",+275,"8,214",,"15,332",518,"53,947,389","194,347","277,583,493 ",Asia,"651,9305",1.0,,30,,
15,Mexico,"3,882,792","+2,956","293,859 ",+245,"3,238,558","+2,040","350,375","4,798","29,677","2,246","11,828,650","90,409","130,834,203 ",North America,3444511,23,2,"2,678",,
16,Poland,"3,507,828","+20,576","83,037 ",+51,"3,000,312","+22,204","424,479","1,816","92,828","2,197","24,289,149","642,768","37,788,374 ",Europe,114552,545,1,"11,233",,
17,Ukraine,"3,422,023","+7,483","85,117 ",+400,"2,910,237","+10,270","426,669",177,"78,913","1,963","15,819,249","364,797","43,364,521 ",Europe,135093,173,9,"9,839",,
18,South Africa,"2,958,548",,"89,791 ",,"2,847,083",,"21,674",546,"49,017","1,488","19,383,834","321,147","60,358,082 ",Africa,206723,,,359,,
19,Philippines,"2,831,807",+838,"48,361 ",+156,"2,766,816","+1,217","16,630","1,023","25,368",433,"24,146,328","216,311","111,627,726 ",Asia,"392,3085",8,1,149,,
20,Malaysia,"2,619,577",,"30,280 ",,"2,522,045",,"67,252",510,"79,507",919,"37,457,825","1,136,879","32,947,942 ",Asia,"131,0881",,,"2,041",,
21,Netherlands,"2,599,579","+22,133","19,317 ",+45,"2,096,666","+7,334","483,596",546,"151,243","1,124","19,205,114","1,117,348","17,188,128 ",Europe,78901,"1,288",3,"28,135",,
22,Peru,"2,232,749",,"201,071 ",,N/A,N/A,N/A,954,"66,419","5,981","20,204,659","601,037","33,616,328 ",South America,151672,,,"9,252",,
23,Czechia,"2,123,059","+12,514","32,837 ",+44,"1,822,788",+176,"267,434",948,"197,735","3,058","43,471,260","4,048,776","10,736,889 ",Europe,53270,"1,166",4,"24,908",,
24,Thailand,"2,106,813","+5,854","20,705 ",+30,"2,006,856","+6,354","79,252","1,595","30,078",296,"14,913,135","212,905","70,045,997 ",Asia,"333,3835",84,0.4,"1,131",,
25,Iraq,"2,079,622",+538,"23,793 ",+21,"2,042,299","+1,321","13,530",109,"50,126",573,"16,302,398","392,946","41,487,672 ",Asia,"201,7443",13,0.5,326,,
26,Canada,"1,786,193","+1,839","29,629 ",+1,"1,728,888",+558,"27,676",480,"46,751",775,"48,485,587","1,269,033","38,206,733 ",North America,"211,2901",48,0.03,724,,
27,Romania,"1,776,949","+1,377","56,275 ",+88,"1,679,942","+4,758","40,732","1,212","93,242","2,953","15,975,149","838,268","19,057,336 ",Europe,113391,72,5,"2,137",,
28,Chile,"1,759,405","+2,328","38,313 ",+31,"1,652,453","+2,244","68,639",676,"90,941","1,980","25,485,043","1,317,290","19,346,576 ",South America,115051,120,2,"3,548",,
29,Japan,"1,727,062",+127,"18,358 ",+1,"1,707,758",+133,946,43,"13,714",146,"27,794,963","220,713","125,932,426 ",Asia,"736,8605",1,0.01,8,,
30,Belgium,"1,701,633",,"26,840 ",,"1,307,154",,"367,639",669,"145,932","2,302","24,287,332","2,082,879","11,660,462 ",Europe,74340,,,"31,529",,
31,Bangladesh,"1,575,784",+205,"27,978 ",+3,"1,540,317",+299,"7,489","1,384","9,436",168,"10,852,058","64,985","166,992,605 ",Asia,"1065,96915",1,0.02,45,,
32,Israel,"1,341,881",,"8,184 ",,"1,327,046",,"6,651",128,"143,886",878,"31,188,024","3,344,202","9,326,000 ",Asia,"71,1400",,,713,,
33,Pakistan,"1,284,189",+303,"28,709 ",+5,"1,241,761",+172,"13,719",946,"5,660",127,"21,913,668","96,576","226,906,757 ",Asia,"1777,90410",1,0.02,60,,
34,Serbia,"1,250,393","+1,674","11,588 ",+51,"1,185,545","+4,553","53,260",209,"143,923","1,334","6,782,905","780,729","8,687,917 ",Europe,77501,193,6,"6,130",,
35,Vietnam,"1,210,340","+12,936","24,882 ",+190,"958,636","+1,712","226,822","6,096","12,279",252,"67,855,824","688,416","98,568,120 ",Asia,"813,9611",131,2,"2,301",,
36,Sweden,"1,198,848",,"15,113 ",,"1,157,338","+2,057","26,397",32,"117,676","1,483","13,586,095","1,333,579","10,187,695 ",Europe,86741,,,"2,591",,
37,Austria,"1,143,283","+10,478","12,388 ",+39,"982,292","+14,107","148,603",620,"125,932","1,365","109,825,145","12,097,195","9,078,563 ",Europe,87330,"1,154",4,"16,369",,
38,Portugal,"1,142,707","+2,897","18,417 ",+12,"1,070,573",+857,"53,717",104,"112,527","1,814","20,844,492","2,052,647","10,154,934 ",Europe,95510,285,1,"5,290",,
39,Hungary,"1,068,888",,"33,866 ",,"862,534",,"172,488",695,"111,043","3,518","8,298,820","862,136","9,625,885 ",Europe,92841,,,"17,919",,
40,Switzerland,"982,290",,"11,488 ",,"856,642",,"114,160",179,"112,345","1,314","12,159,978","1,390,746","8,743,491 ",Europe,97611,,,"13,057",,
41,Kazakhstan,"970,092",+847,"12,667 ",+16,"933,986",+879,"23,439",528,"50,812",663,"11,575,012","606,278","19,091,919 ",Asia,"201,5072",44,0.8,"1,228",,
42,Cuba,"962,220",+153,"8,300 ",,"952,938",+199,982,30,"85,025",733,"11,066,303","977,856","11,316,903 ",North America,"121,3631",14,,87,,
43,Morocco,"949,732",+84,"14,774 ",,"931,985",+102,"2,973",347,"25,310",394,"10,416,645","277,595","37,524,575 ",Africa,"402,5404",2,,79,,
44,Jordan,"939,293",,"11,515 ",,"878,156",,"49,622","1,037","90,794","1,113","12,015,838","1,161,475","10,345,322 ",Asia,118981,,,"4,797",,
45,Greece,"924,506","+3,823","17,959 ",+98,"829,327","+8,047","77,220",647,"89,311","1,735","35,624,841","3,441,512","10,351,509 ",Europe,115760,369,9,"7,460",,
46,Georgia,"838,639","+3,333","11,927 ",+56,"779,510","+5,052","47,202",,"210,798","2,998","11,486,807","2,887,287","3,978,408 ",Asia,53340,838,14,"11,865",,
47,Nepal,"820,878",+154,"11,523 ",+2,"802,389",+342,"6,966",,"27,480",386,"4,611,000","154,360","29,871,789 ",Asia,"362,5926",5,0.07,233,,
48,UAE,"741,918",+60,"2,146 ",+1,"736,778",+79,"2,994",,"73,763",213,"100,819,432","10,023,695","10,058,111 ",Asia,"144,6870",6,0.10,298,,
49,Tunisia,"717,163",,"25,363 ",,"690,707",,"1,093",58,"59,802","2,115","3,166,844","264,075","11,992,207 ",Africa,174734,,,91,,
50,Bulgaria,"688,628",,"28,043 ",,"555,443",,"105,142",783,"100,165","4,079","6,498,924","945,307","6,874,932 ",Europe,102451,,,"15,294",,
51,Slovakia,"667,961","+7,575","14,274 ",+46,"545,872","+5,753","107,815",545,"122,262","2,613","4,549,580","832,744","5,463,357 ",Europe,83831,"1,387",8,"19,734",,
52,Lebanon,"666,768",,"8,701 ",,"631,294",,"26,773",186,"98,307","1,283","4,795,578","707,052","6,782,494 ",Asia,107801,,,"3,947",,
53,Belarus,"651,839","+1,671","5,054 ",+13,"638,844","+2,191","7,941",,"69,015",535,"10,366,695","1,097,591","9,444,956 ",Europe,"141,8691",177,1,841,,
54,Guatemala,"617,495",,"15,917 ",,"599,826",,"1,752",5,"33,595",866,"3,107,294","169,055","18,380,333 ",North America,"301,1556",,,95,,
55,Croatia,"603,316","+3,339","10,759 ",+64,"558,231","+3,502","34,326",330,"148,246","2,644","3,433,761","843,740","4,069,689 ",Europe,73781,820,16,"8,435",,
56,Azerbaijan,"585,783","+1,662","7,807 ",+18,"551,724","+2,391","26,252",,"57,052",760,"5,521,070","537,724","10,267,477 ",Asia,"181,3152",162,2,"2,557",,
57,Costa Rica,"566,560",,"7,287 ",,"543,875",,"15,398",92,"109,811","1,412","2,715,029","526,227","5,159,422 ",North America,97082,,,"2,984",,
58,Sri Lanka,"562,310",+532,"14,305 ",+27,"529,662",+422,"18,343",,"26,106",664,"5,640,979","261,892","21,539,347 ",Asia,"381,5064",25,1,852,,
59,Ireland,"560,054","+3,735","5,652 ",,"436,646","+2,551","117,756",117,"111,671","1,127","8,762,233","1,747,134","5,015,203 ",Europe,98871,745,,"23,480",,
60,Saudi Arabia,"549,695",+24,"8,833 ",+1,"538,856",+32,"2,006",48,"15,452",248,"31,078,369","873,614","35,574,486 ",Asia,"654,0271",0.7,0.03,56,,
61,Bolivia,"535,115",,"19,137 ",,"490,521",,"25,457",220,"44,981","1,609","2,578,215","216,721","11,896,452 ",South America,226225,,,"2,140",,
62,Ecuador,"524,432",,"33,128 ",,"443,880",,"47,424",759,"29,105","1,839","1,991,800","110,539","18,018,917 ",South America,345449,,,"2,632",,
63,Myanmar,"521,561",+350,"19,088 ",+9,"496,081",+673,"6,392",,"9,496",348,"5,541,974","100,906","54,921,980 ",Asia,"1052,87710",6,0.2,116,,
64,Denmark,"478,927","+4,290","2,872 ",+9,"403,118",,"72,937",51,"82,278",493,"93,173,233","16,006,806","5,820,851 ",Europe,"122,0270",737,2,"12,530",,
65,Panama,"477,306",,"7,361 ",,"467,285",,"2,660",20,"108,231","1,669","4,224,325","957,885","4,410,053 ",North America,95991,,,603,,
66,Lithuania,"467,900","+1,222","6,692 ",+19,"432,184",+293,"29,024",131,"175,316","2,507","6,111,336","2,289,841","2,668,891 ",Europe,63990,458,7,"10,875",,
67,Paraguay,"462,908",,"16,461 ",,"445,588",,859,42,"63,801","2,269","1,941,408","267,578","7,255,496 ",South America,164414,,,118,,
68,S. Korea,"440,896","+3,928","3,548 ",+56,"392,311","+2,170","45,037",647,"8,589",69,"15,804,065","307,884","51,331,169 ",Asia,"11614,4683",77,1,877,,
69,Venezuela,"430,046",,"5,131 ",,"417,137",,"7,778",681,"15,184",181,"3,359,014","118,598","28,322,731 ",South America,"665,5208",,,275,,
70,Palestine,"429,333",,"4,524 ",,"422,114",,"2,695",38,"81,504",859,"2,720,854","516,524","5,267,625 ",Asia,"121,1642",,,512,,
71,Slovenia,"417,376","+1,478","5,188 ",+23,"372,984","+2,345","39,204",197,"200,725","2,495","1,927,796","927,120","2,079,339 ",Europe,54011,711,11,"18,854",,
72,Kuwait,"413,266",,"2,465 ",,"410,575",,226,,"94,804",565,"5,268,253","1,208,542","4,359,182 ",Asia,"111,7681",,,52,,
73,Dominican Republic,"406,803",+292,"4,204 ",,"399,438",+712,"3,161",199,"36,980",382,"2,449,337","222,655","11,000,614 ",North America,"272,6174",27,,287,,
74,Uruguay,"399,181",,"6,125 ",,"390,912",,"2,144",13,"114,358","1,755","4,083,835","1,169,939","3,490,639 ",South America,95701,,,614,,
75,Mongolia,"380,945",+329,"1,990 ",+5,"313,256",,"65,699",192,"113,635",594,"4,030,048","1,202,157","3,352,348 ",Asia,"91,6851",98,1,"19,598",,
76,Honduras,"377,888",,"10,403 ",,"120,308",,"247,177",59,"37,320","1,027","1,121,382","110,747","10,125,595 ",North America,279739,,,"24,411",,
77,Libya,"371,571",+784,"5,438 ",+8,"341,723","+2,720","24,410",,"53,063",777,"1,900,679","271,432","7,002,404 ",Africa,"191,2884",112,1,"3,486",,
78,Ethiopia,"371,177",,"6,736 ",,"348,299",,"16,142",226,"3,120",57,"3,856,635","32,421","118,954,041 ",Africa,"32017,65931",,,136,,
79,Moldova,"362,433",+107,"9,069 ",+15,"346,629",+562,"6,735",205,"90,140","2,256","2,196,983","546,406","4,020,790 ",Europe,114432,27,4,"1,675",,
80,Egypt,"355,767",,"20,305 ",,"295,434",,"40,028",90,"3,387",193,"3,693,367","35,161","105,041,091 ",Africa,"2955,17328",,,381,,
81,Armenia,"337,931",+409,"7,514 ",+29,"315,126","+1,106","15,291",,"113,742","2,529","2,356,046","793,008","2,971,023 ",Asia,93951,138,10,"5,147",,
82,Oman,"304,519",,"4,113 ",,"299,951",,455,7,"57,580",778,"25,000,000","4,727,144","5,288,605 ",Asia,"171,2860",,,86,,
83,Bahrain,"277,552",,"1,394 ",,"275,889",,269,2,"155,548",781,"7,349,180","4,118,676","1,784,355 ",Asia,"61,2800",,,151,,
84,Bosnia and Herzegovina,"272,798",,"12,456 ",,"192,218",,"68,124",,"83,883","3,830","1,385,921","426,157","3,252,140 ",Europe,122612,,,"20,947",,
85,Singapore,"261,636",,690 ,,"246,262",,"14,684",58,"44,233",117,"21,098,774","3,567,029","5,914,943 ",Asia,"238,5720",,,"2,483",,
86,Norway,"259,200",,"1,050 ",,"88,952",,"169,198",62,"47,293",192,"8,537,200","1,557,667","5,480,759 ",Europe,"215,2201",,,"30,871",,
87,Kenya,"254,951",+11,"5,332 ",,"248,131",+15,"1,488",20,"4,599",96,"2,827,102","51,002","55,431,621 ",Africa,"21710,39620",0.2,,27,,
88,Latvia,"252,413",+488,"4,146 ",+16,"236,578",+737,"11,689",176,"135,934","2,233","5,319,394","2,864,687","1,856,885 ",Europe,74480,263,9,"6,295",,
89,Qatar,"243,132",+153,611 ,,"240,527",+128,"1,994",17,"86,591",218,"2,982,237","1,062,124","2,807,805 ",Asia,"124,5951",54,,710,,
90,Estonia,"221,549",+389,"1,791 ",+2,"200,847",+682,"18,911",38,"166,856","1,349","2,323,338","1,749,781","1,327,788 ",Europe,67411,293,2,"14,242",,
91,North Macedonia,"215,009",+333,"7,547 ",+19,"199,064",+309,"8,398",,"103,208","3,623","1,467,751","704,547","2,083,254 ",Europe,102761,160,9,"4,031",,
92,Nigeria,"213,982",,"2,975 ",,"207,184",,"3,823",11,"1,003",14,"3,479,682","16,314","213,299,131 ",Africa,"99771,69761",,,18,,
93,Algeria,"210,152",+172,"6,058 ",+6,"144,160",+131,"59,934",20,"4,674",135,"230,861","5,135","44,961,577 ",Africa,"2147,422195",4,0.1,"1,333",,
94,Zambia,"210,143",+5,"3,667 ",,"206,386",+15,90,15,"10,999",192,"2,714,670","142,091","19,105,139 ",Africa,"915,2107",0.3,,5,,
95,Australia,"208,004","+1,256","1,994 ",+4,"190,566",,"15,444",73,"8,026",77,"47,498,541","1,832,849","25,915,138 ",Australia/Oceania,"12512,9971",48,0.2,596,,
96,Albania,"199,555",+418,"3,089 ",+4,"189,044",+451,"7,422",23,"69,450","1,075","1,391,072","484,124","2,873,382 ",Europe,149302,145,1,"2,583",,
97,Botswana,"194,909",,"2,416 ",,"191,961",,532,1,"80,601",999,"1,859,485","768,954","2,418,202 ",Africa,"121,0011",,,220,,
98,Uzbekistan,"192,831",+232,"1,397 ",+2,"189,448",+189,"1,986",23,"5,647",41,"1,377,915","40,349","34,149,775 ",Asia,"17724,44525",7,0.06,58,,
99,Kyrgyzstan,"183,248",+41,"2,741 ",+1,"178,048",+88,"2,459",131,"27,452",411,"1,828,196","273,879","6,675,185 ",Asia,"362,4354",6,0.1,368,,
100,Finland,"182,284",,"1,309 ",,"46,000",,"134,975",44,"32,827",236,"7,866,903","1,416,742","5,552,811 ",Europe,"304,2421",,,"24,308",,
101,Afghanistan,"157,218",+28,"7,308 ",,"140,464",+13,"9,446","1,124","3,915",182,"790,352","19,681","40,157,231 ",Asia,"2555,49551",0.7,,235,,
102,Montenegro,"156,873",+265,"2,285 ",+2,"151,851",+384,"2,737",60,"249,727","3,638","903,392","1,438,115","628,178 ",Europe,42751,422,3,"4,357",,
103,Mozambique,"151,515",,"1,940 ",,"149,471",,104,8,"4,665",60,"973,694","29,976","32,482,023 ",Africa,"21416,74333",,,3,,
104,Zimbabwe,"133,951",,"4,705 ",,"128,646",,600,12,"8,832",310,"1,584,535","104,476","15,166,493 ",Africa,"1133,22310",,,40,,
