#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"243,069,462","+289,101","4,941,449","+4,392","220,271,939","+204,588","17,856,074","77,001","31,184",633.9,,,,All,,,,,,,
1,USA,"46,101,684","+9,322","751,955 ",+144,"35,817,045","+2,719","9,532,684","14,512","138,225","2,255","675,657,330","2,025,794","333,527,197 ",North America,74440,28,0.4,"28,581",,
2,India,"34,140,602","+13,920","453,048 ",+204,"33,504,479","+16,298","183,075","8,944","24,427",324,"595,742,218","426,248","1,397,642,731 ",Asia,"413,0852",10,0.1,131,,
3,Brazil,"21,680,489",,"604,303 ",,"20,861,055",,"215,131","8,318","101,063","2,817","63,776,166","297,291","214,524,371 ",South America,103553,,,"1,003",,
4,UK,"8,641,221","+52,009","139,146 ",+115,"7,057,586","+28,875","1,444,489",872,"126,426","2,036","324,387,705","4,745,989","68,349,862 ",Europe,84910,761,2,"21,134",,
5,Russia,"8,131,164","+36,339","227,389 ","+1,036","7,091,607","+25,895","812,168","2,300","55,687","1,557","202,100,000","1,384,096","146,015,896 ",Europe,186421,249,7,"5,562",,
6,Turkey,"7,744,139",,"68,274 ",,"7,172,460",,"503,405",633,"90,555",798,"93,087,992","1,088,510","85,518,741 ",Asia,"111,2531",,,"5,886",,
7,France,"7,102,079",,"117,376 ",,"6,896,056",,"88,647","1,049","108,493","1,793","151,204,954","2,309,832","65,461,443 ",Europe,95580,,,"1,354",,
8,Iran,"5,833,525","+11,788","124,763 ",+178,"5,375,475","+14,286","333,287","4,486","68,316","1,461","32,619,228","382,003","85,390,019 ",Asia,156843,138,2,"3,903",,
9,Argentina,"5,275,984",,"115,770 ",,"5,142,102",,"18,112",773,"115,360","2,531","24,638,763","538,729","45,734,976 ",South America,93952,,,396,,
10,Spain,"4,993,295",,"87,082 ",,"4,844,491",,"61,722",447,"106,744","1,862","66,213,858","1,415,481","46,778,345 ",Europe,95371,,,"1,319",,
11,Colombia,"4,984,751",,"126,931 ",,"4,829,427",,"28,393",342,"96,626","2,460","26,358,743","510,948","51,587,876 ",South America,104062,,,550,,
12,Italy,"4,729,678","+3,794","131,724 ",+36,"4,524,204","+3,673","73,750",356,"78,376","2,183","99,666,582","1,651,583","60,346,108 ",Europe,134581,63,0.6,"1,222",,
13,Germany,"4,439,643","+10,624","95,717 ",+49,"4,182,800","+8,400","161,126","1,336","52,770","1,138","73,348,901","871,826","84,132,487 ",Europe,198791,126,0.6,"1,915",,
14,Indonesia,"4,237,834",+633,"143,120 ",+43,"4,079,120","+1,372","15,594",,"15,283",516,"44,350,674","159,947","277,283,378 ",Asia,"651,9376",2,0.2,56,,
15,Mexico,"3,767,758","+5,069","285,347 ",+424,"3,129,544","+4,004","352,867","4,798","28,829","2,183","11,132,330","85,179","130,693,647 ",North America,3545812,39,3,"2,700",,
16,Poland,"2,956,207","+5,592","76,300 ",+46,"2,679,824","+1,401","200,083",333,"78,222","2,019","21,708,592","574,413","37,792,661 ",Europe,134952,148,1,"5,294",,
17,South Africa,"2,917,846",,"88,754 ",,"2,809,238",,"19,854",546,"48,405","1,472","18,251,789","302,781","60,280,451 ",Africa,216793,,,329,,
18,Philippines,"2,740,111","+4,806","41,237 ",+260,"2,633,039","+5,934","65,835","3,194","24,580",370,"22,362,734","200,605","111,476,282 ",Asia,"412,7035",43,2,591,,
19,Ukraine,"2,701,600","+22,415","62,389 ",+546,"2,352,835","+8,036","286,376",177,"62,261","1,438","13,781,546","317,608","43,391,656 ",Europe,166963,517,13,"6,600",,
20,Malaysia,"2,407,382",,"28,138 ",,"2,297,289",,"81,955",666,"73,162",855,"32,900,702","999,873","32,904,888 ",Asia,"141,1691",,,"2,491",,
21,Peru,"2,192,205",,"199,945 ",,N/A,N/A,N/A,897,"65,305","5,956","18,640,751","555,303","33,568,629 ",South America,151682,,,"8,091",,
22,Netherlands,"2,064,729","+5,195","18,280 ",+7,"1,969,632","+1,654","76,817",157,"120,153","1,064","17,790,280","1,035,269","17,184,203 ",Europe,89401,302,0.4,"4,470",,
23,Iraq,"2,042,117","+1,882","22,875 ",+39,"1,979,563","+2,656","39,679",247,"49,334",553,"15,622,446","377,411","41,393,734 ",Asia,"201,8103",45,0.9,959,,
24,Thailand,"1,821,579","+9,727","18,559 ",+73,"1,699,934","+10,075","103,086","2,728","26,012",265,"9,201,621","131,399","70,027,863 ",Asia,"383,7738",139,1,"1,472",,
