#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"242,373,525","+63,626","4,929,628","+1,291","219,699,016","+40,175","17,744,881","77,451","31,094",632.4,,,,All,,,,,,,
1,USA,"45,996,507",,"748,652 ",,"35,710,331",,"9,537,524","14,796","137,912","2,245","673,979,051","2,020,794","333,521,903 ",North America,74450,,,"28,596",,
2,India,"34,108,996",+673,"452,684 ",,"33,478,247","+7,626","178,065","8,944","24,405",324,"594,429,890","425,320","1,397,605,690 ",Asia,"413,0872",0.5,,127,,
3,Brazil,"21,664,879",,"603,902 ",,"20,838,188",,"222,789","8,318","100,992","2,815","63,776,166","297,297","214,520,249 ",South America,103553,,,"1,039",,
4,UK,"8,541,192",,"138,852 ",,"6,991,909",,"1,410,431",823,"124,965","2,032","321,188,533","4,699,250","68,348,890 ",Europe,84920,,,"20,636",,
5,Russia,"8,060,752",,"225,325 ",,"7,040,481",,"794,946","2,300","55,205","1,543","200,000,000","1,369,715","146,015,725 ",Europe,186481,,,"5,444",,
6,Turkey,"7,714,379",,"68,060 ",,"7,143,657",,"502,662",633,"90,209",796,"92,726,642","1,084,316","85,516,262 ",Asia,"111,2561",,,"5,878",,
7,France,"7,096,043",,"117,355 ",,"6,890,873",,"87,815","1,049","108,401","1,793","151,204,954","2,309,846","65,461,049 ",Europe,95580,,,"1,341",,
8,Iran,"5,809,967",,"124,423 ",,"5,347,483",,"338,061","4,622","68,043","1,457","32,619,228","382,016","85,387,081 ",Asia,156863,,,"3,959",,
9,Argentina,"5,274,766",,"115,737 ",,"5,141,288",,"17,741",789,"115,336","2,531","24,588,472","537,643","45,733,844 ",South America,93952,,,388,,
10,Spain,"4,990,767",,"87,051 ",,"4,842,516",,"61,200",433,"106,690","1,861","66,213,858","1,415,482","46,778,296 ",Europe,95371,,,"1,308",,
11,Colombia,"4,983,527",,"126,910 ",,"4,828,195",,"28,422",342,"96,605","2,460","26,320,481","510,221","51,586,395 ",South America,104062,,,551,,
12,Italy,"4,722,188",,"131,655 ",,"4,515,987",,"74,546",355,"78,251","2,182","98,606,298","1,634,006","60,346,350 ",Europe,134581,,,"1,235",,
13,Germany,"4,410,332",,"95,588 ",,"4,164,600",,"150,144","1,336","52,422","1,136","73,348,901","871,834","84,131,757 ",Europe,198801,,,"1,785",,
14,Indonesia,"4,236,287",,"143,049 ",,"4,076,541",,"16,697",,"15,278",516,"43,884,162","158,269","277,275,481 ",Asia,"651,9386",,,60,,
15,Mexico,"3,762,689","+4,220","284,923 ",+446,"3,122,072",,"355,694","4,798","28,791","2,180","11,105,568","84,976","130,689,948 ",North America,3545912,32,3,"2,722",,
16,Poland,"2,945,056",,"76,179 ",,"2,678,296",,"190,581",318,"77,926","2,016","21,607,857","571,746","37,792,774 ",Europe,134962,,,"5,043",,
17,South Africa,"2,917,255",,"88,674 ",,"2,808,160",,"20,421",546,"48,396","1,471","18,217,612","302,225","60,278,408 ",Africa,216803,,,339,,
18,Philippines,"2,731,735",,"40,972 ",,"2,627,126",,"63,637","3,194","24,506",368,"22,296,827","200,021","111,472,297 ",Asia,"412,7215",,,571,,
19,Ukraine,"2,679,185","+18,912","61,843 ",+495,"2,344,799","+7,605","272,543",177,"61,743","1,425","13,709,705","315,947","43,392,370 ",Europe,167023,436,11,"6,281",,
20,Malaysia,"2,401,866",,"28,062 ",,"2,287,888",,"85,916",676,"72,997",853,"32,744,958","995,174","32,903,755 ",Asia,"141,1731",,,"2,611",,
21,Peru,"2,191,171",,"199,928 ",,N/A,N/A,N/A,907,"65,277","5,956","18,594,953","553,959","33,567,374 ",South America,151682,,,"8,061",,
22,Netherlands,"2,054,960",,"18,263 ",,"1,966,652",,"70,045",151,"119,585","1,063","17,790,280","1,035,276","17,184,099 ",Europe,89411,,,"4,076",,
23,Iraq,"2,038,847",,"22,810 ",,"1,973,969",,"42,068",236,"49,258",551,"15,580,096","376,410","41,391,262 ",Asia,"201,8153",,,"1,016",,
24,Thailand,"1,811,852","+8,918","18,486 ",+79,"1,689,859","+10,878","103,507","2,728","25,873",264,"9,201,621","131,400","70,027,386 ",Asia,"393,7888",127,1,"1,478",,
25,Czechia,"1,715,515","+3,246","30,574 ",+1,"1,664,526",+37,"20,415",102,"159,809","2,848","39,502,867","3,679,896","10,734,778 ",Europe,63510,302,0.09,"1,902",,
26,Japan,"1,715,017",,"18,121 ",,"1,689,692",,"7,204",294,"13,614",144,"25,848,086","205,187","125,973,501 ",Asia,"736,9525",,,57,,
