#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"257,922,919","+97,254","5,170,487","+2,570","232,825,608","+109,852","19,926,824","79,478","33,089",663.3,,,,All,,,,,,,
1,USA,"48,592,810",,"793,651 ",,"38,463,041",,"9,336,118","11,775","145,620","2,378","739,889,385","2,217,252","333,696,583 ",North America,74200,,,"27,978",,
2,India,"34,518,901",,"465,911 ",,"33,934,547","+12,510","118,443","8,944","24,677",333,"632,524,259","452,182","1,398,828,020 ",Asia,"413,0022",,,85,,
3,Brazil,"22,017,276",,"612,722 ",,"21,222,032",,"182,522","8,318","102,570","2,854","63,776,166","297,108","214,656,275 ",South America,103503,,,850,,
4,UK,"9,845,492",,"143,927 ",,"8,087,993",,"1,613,572",923,"143,980","2,105","351,529,646","5,140,752","68,380,977 ",Europe,74750,,,"23,597",,
5,Russia,"9,366,839","+35,681","265,336 ","+1,241","8,053,643","+28,713","1,047,860","2,300","64,147","1,817","221,000,000","1,513,477","146,021,348 ",Europe,165501,244,8,"7,176",,
6,Turkey,"8,571,554",,"75,042 ",,"8,091,947",,"404,565","1,405","100,137",877,"104,438,985","1,220,109","85,598,043 ",Asia,"101,1411",,,"4,726",,
7,France,"7,414,971",,"118,461 ",,"7,050,282",,"246,228","1,049","113,251","1,809","151,204,954","2,309,388","65,474,034 ",Europe,95530,,,"3,761",,
8,Iran,"6,077,438",,"128,956 ",,"5,783,425",,"165,057","3,409","71,094","1,509","37,359,561","437,036","85,484,011 ",Asia,146632,,,"1,931",,
9,Germany,"5,378,192",,"99,613 ",,"4,649,300","+23,000","629,279","2,828","63,908","1,184","81,975,529","974,092","84,155,849 ",Europe,168451,,,"7,478",,
10,Argentina,"5,315,348",,"116,377 ",,"5,181,366",,"17,605",561,"116,129","2,543","25,903,897","565,943","45,771,201 ",South America,93932,,,385,,
11,Spain,"5,080,663",,"87,810 ",,"4,901,074",,"91,779",458,"108,608","1,877","66,213,858","1,415,433","46,779,923 ",Europe,95331,,,"1,962",,
