#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"258,974,257","+529,629","5,182,028","+7,201","234,281,558","+426,694","19,510,671","81,600","33,224",664.8,,,,All,,,,,,,
1,USA,"48,823,711","+75,131","796,031 ","+1,051","38,694,764","+60,874","9,332,916","12,066","146,307","2,385","744,537,801","2,231,111","333,707,170 ",North America,74190,225,3,"27,967",,
2,India,"34,533,473","+6,993","466,147 ",,"33,946,749","+12,202","120,577","8,944","24,686",333,"633,489,239","452,847","1,398,902,101 ",Asia,"413,0012",5,,86,,
3,Brazil,"22,030,182","+10,312","613,066 ",+224,"21,247,982","+17,625","169,134","8,318","102,626","2,856","63,776,166","297,097","214,664,519 ",South America,103503,48,1,788,,
4,UK,"9,932,408","+42,484","144,137 ",+165,"8,791,315","+39,370","996,956",928,"145,247","2,108","355,369,515","5,196,758","68,382,922 ",Europe,74740,621,2,"14,579",,
5,Russia,"9,400,835","+33,996","266,579 ","+1,243","8,089,694","+36,051","1,044,562","2,300","64,380","1,826","221,400,000","1,516,213","146,021,689 ",Europe,165481,233,9,"7,153",,
6,Turkey,"8,624,580","+28,170","75,443 ",+208,"8,150,235","+29,353","398,902","1,405","100,751",881,"105,165,402","1,228,525","85,602,999 ",Asia,"101,1351",329,2,"4,660",,
7,France,"7,450,691","+30,454","118,653 ",+98,"7,062,277","+9,956","269,761","1,406","113,795","1,812","161,863,693","2,472,152","65,474,821 ",Europe,95520,465,1,"4,120",,
8,Iran,"6,088,009","+5,144","129,177 ",+132,"5,807,089","+12,029","151,743","3,386","71,213","1,511","37,996,904","444,461","85,489,886 ",Asia,146622,60,2,"1,775",,
9,Germany,"5,472,949","+54,268","100,160 ",+343,"4,680,000","+30,700","692,789","3,845","65,032","1,190","81,975,529","974,075","84,157,309 ",Europe,158401,645,4,"8,232",,
10,Argentina,"5,317,633","+1,644","116,415 ",+33,"5,183,960","+1,139","17,258",570,"116,173","2,543","25,947,674","566,872","45,773,465 ",South America,93932,36,0.7,377,,
11,Spain,"5,103,315","+6,777","87,866 ",+34,"4,909,900","+2,556","105,549",547,"109,092","1,878","66,213,858","1,415,430","46,780,022 ",Europe,95321,145,0.7,"2,256",,
12,Colombia,"5,052,733","+2,478","128,188 ",+50,"4,893,420","+2,430","31,125",342,"97,849","2,482","27,788,024","538,129","51,638,228 ",South America,104032,48,1.0,603,,
13,Italy,"4,942,135","+10,047","133,330 ",+67,"4,654,295","+6,965","154,510",560,"81,908","2,210","115,456,590","1,913,501","60,337,881 ",Europe,124531,167,1,"2,561",,
14,Indonesia,"4,253,992",+394,"143,753 ",+9,"4,102,323",+434,"7,916",,"15,327",518,"52,531,079","189,266","277,551,902 ",Asia,"651,9315",1,0.03,29,,
15,Mexico,"3,864,278",+916,"292,524 ",+53,"3,227,027","+2,423","344,727","4,798","29,539","2,236","11,709,481","89,509","130,819,408 ",North America,3444711,7,0.4,"2,635",,
16,Poland,"3,377,698","+19,936","81,228 ",+398,"2,913,320","+11,520","383,150","1,551","89,384","2,150","23,788,624","629,515","37,788,825 ",Europe,114652,528,11,"10,139",,
17,Ukraine,"3,353,136","+12,729","82,318 ",+720,"2,796,597","+23,107","474,221",177,"77,319","1,898","15,595,737","359,619","43,367,377 ",Europe,135273,294,17,"10,935",,
18,South Africa,"2,931,042",+868,"89,635 ",+51,"2,821,481",,"19,926",546,"48,567","1,485","19,126,699","316,930","60,349,910 ",Africa,216733,14,0.8,330,,
19,Philippines,"2,827,820","+1,153","47,482 ",+195,"2,761,617","+2,182","18,721","1,170","25,336",425,"23,984,981","214,896","111,611,785 ",Asia,"392,3515",10,2,168,,
20,Malaysia,"2,597,080","+5,594","30,110 ",+47,"2,498,345","+4,908","68,625",532,"78,835",914,"36,888,543","1,119,755","32,943,410 ",Asia,"131,0941",170,1,"2,083",,
21,Netherlands,"2,488,244","+22,956","19,048 ",+53,"2,063,568","+6,261","405,628",499,"144,769","1,108","19,205,114","1,117,374","17,187,715 ",Europe,79021,"1,336",3,"23,600",,
22,Peru,"2,225,117",,"200,894 ",,N/A,N/A,N/A,896,"66,201","5,977","19,964,326","593,976","33,611,307 ",South America,151672,,,"9,031",,
23,Iraq,"2,076,146",+898,"23,712 ",+26,"2,035,630","+1,334","16,804",110,"50,054",572,"16,215,201","390,937","41,477,784 ",Asia,"201,7493",22,0.6,405,,
24,Thailand,"2,076,135","+5,126","20,487 ",+53,"1,972,553","+7,748","83,095","1,595","29,640",292,"14,913,135","212,911","70,044,088 ",Asia,"343,4195",73,0.8,"1,186",,
25,Czechia,"2,018,069","+14,480","32,304 ",+51,"1,776,603",+362,"209,162",764,"187,960","3,009","42,846,389","3,990,658","10,736,672 ",Europe,53320,"1,349",5,"19,481",,
26,Canada,"1,772,319","+2,213","29,555 ",+29,"1,719,116","+2,663","23,648",501,"46,392",774,"48,148,527","1,260,330","38,203,121 ",North America,"221,2931",58,0.8,619,,
27,Romania,"1,766,987","+2,736","55,386 ",+243,"1,653,179","+7,447","58,422","1,490","92,713","2,906","15,783,964","828,175","19,058,731 ",Europe,113441,144,13,"3,065",,
28,Chile,"1,747,065","+1,760","38,161 ",+12,"1,643,679","+1,779","65,225",654,"90,312","1,973","25,126,071","1,298,855","19,344,785 ",South America,115071,91,0.6,"3,372",,
29,Japan,"1,726,527",+50,"18,349 ",+2,"1,706,997",+130,"1,181",60,"13,709",146,"27,551,935","218,776","125,936,639 ",Asia,"736,8635",0.4,0.02,9,,
30,Belgium,"1,623,560","+14,338","26,669 ",+35,"1,266,361",,"330,530",632,"139,243","2,287","23,782,072","2,039,644","11,659,912 ",Europe,74370,"1,230",3,"28,348",,
31,Bangladesh,"1,574,636",+284,"27,958 ",+3,"1,538,855",+318,"7,823","1,377","9,430",167,"10,761,979","64,453","166,974,687 ",Asia,"1065,97216",2,0.02,47,,
32,Israel,"1,341,305",+140,"8,177 ",,"1,327,046",+35,"6,082",128,"143,824",877,"31,188,024","3,344,202","9,326,000 ",Asia,"71,1410",15,,652,,
