#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"269,543,846","+129,031","5,314,668","+2,973","242,482,440","+214,978","21,746,738","88,968","34,580",681.8,,,,All,,,,,,,
1,USA,"50,705,257",,"817,326 ",,"39,951,693",,"9,936,238","14,839","151,904","2,449","772,474,927","2,314,205","333,797,157 ",North America,74080,,,"29,767",,
2,India,"34,682,736",,"475,128 ",,"34,114,331","+9,265","93,277","8,944","24,782",339,"654,627,300","467,747","1,399,531,786 ",Asia,"402,9462",,,67,,
3,Brazil,"22,184,824",,"616,733 ",,"21,407,699",,"160,392","8,318","103,313","2,872","63,776,166","297,000","214,734,593 ",South America,103483,,,747,,
4,UK,"10,719,165",,"146,255 ",,"9,414,117",,"1,158,793",900,"156,714","2,138","374,468,898","5,474,735","68,399,452 ",Europe,64680,,,"16,942",,
5,Russia,"9,986,967","+30,288","288,351 ","+1,171","8,709,964","+36,446","988,652","2,300","68,392","1,975","231,000,000","1,581,925","146,024,586 ",Europe,155061,207,8,"6,770",,
6,Turkey,"9,002,968",,"78,778 ",,"8,568,914",,"355,276","1,128","105,119",920,"111,213,349","1,298,537","85,645,129 ",Asia,"101,0871",,,"4,148",,
7,France,"8,105,785",,"120,168 ",,"7,275,054","+22,678","710,563","2,461","123,787","1,835","170,480,237","2,603,487","65,481,511 ",Europe,85450,,,"10,851",,
8,Germany,"6,463,737",,"105,931 ",,"5,368,300","+39,000","989,506","4,636","76,794","1,259","87,852,398","1,043,753","84,169,720 ",Europe,137951,,,"11,756",,
9,Iran,"6,150,843",,"130,603 ",,"5,957,017",,"63,223","3,154","71,906","1,527","39,846,085","465,819","85,539,819 ",Asia,146552,,,739,,
10,Argentina,"5,354,440",,"116,748 ",,"5,211,264",,"26,428",706,"116,928","2,549","26,619,622","581,307","45,792,710 ",South America,93922,,,577,,
11,Spain,"5,290,190",,"88,381 ",,"4,943,735",,"258,074","1,056","113,084","1,889","66,213,858","1,415,405","46,780,860 ",Europe,95291,,,"5,517",,
12,Italy,"5,185,270",,"134,669 ",,"4,787,453",,"263,148",816,"85,943","2,232","124,925,626","2,070,576","60,333,768 ",Europe,124480,,,"4,362",,
13,Colombia,"5,089,695",,"129,011 ",,"4,930,529",,"30,155",342,"98,516","2,497","28,559,483","552,799","51,663,404 ",South America,104002,,,584,,
14,Indonesia,"4,258,752",,"143,923 ",,"4,109,675",,"5,154",,"15,337",518,"57,596,611","207,416","277,686,164 ",Asia,"651,9295",,,19,,
15,Mexico,"3,914,706","+2,992","296,385 ",+199,"3,269,036","+2,071","349,285","4,798","29,910","2,265","12,046,280","92,039","130,882,288 ",North America,3344211,23,2,"2,669",,
