#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"272,585,454","+126,781","5,348,476","+2,950","244,997,784","+198,068","22,239,194","89,212","34,970",686.2,,,,All,,,,,,,
1,USA,"51,290,979",,"823,390 ",,"40,343,561",,"10,124,028","15,556","153,647","2,467","781,366,086","2,340,655","333,823,623 ",North America,74050,,,"30,327",,
2,India,"34,718,669",,"476,478 ",,"34,154,879","+7,948","87,312","8,944","24,804",340,"660,247,762","471,701","1,399,716,988 ",Asia,"402,9382",,,62,,
3,Brazil,"22,201,221",,"617,348 ",,"21,414,318",,"169,555","8,318","103,379","2,875","63,776,166","296,971","214,755,203 ",South America,103483,,,790,,
4,UK,"11,010,286",,"146,791 ",,"9,617,941",,"1,245,554",896,"160,959","2,146","380,861,666","5,567,802","68,404,314 ",Europe,64660,,,"18,209",,
5,Russia,"10,131,646","+28,486","294,024 ","+1,133","8,876,788","+37,155","960,834","2,300","69,383","2,014","233,300,000","1,597,667","146,025,438 ",Europe,144971,195,8,"6,580",,
6,Turkey,"9,100,324",,"79,696 ",,"8,687,265",,"333,363","1,128","106,241",930,"112,975,302","1,318,919","85,657,520 ",Asia,"91,0751",,,"3,892",,
7,France,"8,399,846",,"120,983 ",,"7,395,763",,"883,100","2,843","128,274","1,848","175,073,861","2,673,558","65,483,478 ",Europe,85410,,,"13,486",,
8,Germany,"6,656,161",,"107,675 ",,"5,618,600","+58,900","929,886","4,636","79,077","1,279","87,852,398","1,043,708","84,173,371 ",Europe,137821,,,"11,047",,
9,Iran,"6,162,954",,"130,883 ",,"5,985,735",,"46,336","3,004","72,035","1,530","40,362,269","471,773","85,554,505 ",Asia,146542,,,542,,
10,Spain,"5,393,268",,"88,619 ",,"4,961,880",,"342,769","1,245","115,287","1,894","66,213,858","1,415,397","46,781,107 ",Europe,95281,,,"7,327",,
11,Argentina,"5,371,341",,"116,857 ",,"5,222,213",,"32,271",742,"117,282","2,552","26,836,671","585,974","45,798,370 ",South America,93922,,,705,,
12,Italy,"5,282,076",,"135,178 ",,"4,841,245",,"305,653",870,"87,549","2,241","127,717,255","2,116,888","60,332,558 ",Europe,114460,,,"5,066",,
13,Colombia,"5,099,746",,"129,256 ",,"4,940,312",,"30,178",342,"98,697","2,502","28,778,306","556,955","51,670,809 ",South America,104002,,,584,,
14,Indonesia,"4,259,644",,"143,969 ",,"4,110,811",,"4,864",,"15,338",518,"59,039,281","212,581","277,725,653 ",Asia,"651,9295",,,18,,
15,Mexico,"3,924,638","+2,956","297,187 ",+204,"3,279,903","+2,283","347,548","4,798","29,982","2,270","12,114,652","92,548","130,900,782 ",North America,3344011,23,2,"2,655",,
16,Poland,"3,903,445","+22,097","90,306 ",+592,"3,361,528","+17,306","451,611","2,130","103,303","2,390","25,659,484","679,068","37,786,343 ",Europe,104181,585,16,"11,952",,
17,Ukraine,"3,588,147","+9,590","92,313 ",+355,"3,284,815","+25,499","211,019",177,"82,768","2,129","16,405,911","378,438","43,351,667 ",Europe,124703,221,8,"4,868",,
18,South Africa,"3,231,031",,"90,226 ",,"2,949,209",,"191,596",546,"53,498","1,494","20,436,207","338,377","60,394,854 ",Africa,196693,,,"3,172",,
19,Netherlands,"2,920,438",,"20,255 ",,"2,294,049",,"606,134",625,"169,892","1,178","19,205,114","1,117,227","17,189,987 ",Europe,68491,,,"35,261",,
20,Philippines,"2,837,016",+289,"50,496 ",+47,"2,776,425",+380,"10,095",899,"25,399",452,"24,734,754","221,440","111,699,463 ",Asia,"392,2125",3,0.4,90,,
21,Malaysia,"2,703,140",,"30,989 ",,"2,615,162",,"56,989",384,"81,992",940,"39,369,907","1,194,173","32,968,335 ",Asia,"121,0641",,,"1,729",,
22,Czechia,"2,378,728","+11,625","34,923 ",+45,"2,100,324",+404,"243,481",942,"221,527","3,252","45,849,736","4,269,913","10,737,863 ",Europe,53070,"1,083",4,"22,675",,
23,Peru,"2,258,456",,"201,992 ",,N/A,N/A,N/A,941,"67,138","6,005","20,969,226","623,362","33,638,923 ",South America,151672,,,"9,982",,
24,Thailand,"2,181,960","+3,684","21,284 ",+26,"2,115,232","+4,531","45,444","1,061","31,147",304,"14,913,135","212,879","70,054,586 ",Asia,"323,2915",53,0.4,649,,
25,Iraq,"2,089,259",,"24,017 ",,"2,057,506",,"7,736",91,"50,305",578,"16,608,469","399,894","41,532,169 ",Asia,"201,7293",,,186,,
26,Belgium,"1,980,120","+11,851","27,729 ",+44,"1,466,281",,"486,110",815,"169,779","2,378","26,170,803","2,243,929","11,662,937 ",Europe,64210,"1,016",4,"41,680",,
27,Canada,"1,851,057",,"29,994 ",,"1,780,679",,"40,384",455,"48,428",785,"50,364,181","1,317,641","38,222,990 ",North America,"211,2741",,,"1,057",,
28,Romania,"1,795,418",,"57,935 ",,"1,720,505",,"16,978",639,"94,242","3,041","16,526,044","867,461","19,051,059 ",Europe,113291,,,891,,
29,Chile,"1,786,184",,"38,727 ",,"1,690,040",,"57,417",668,"92,287","2,001","26,489,558","1,368,641","19,354,637 ",South America,115001,,,"2,967",,
30,Japan,"1,729,208",+173,"18,376 ",+1,"1,709,839",+115,993,27,"13,733",146,"28,655,863","227,584","125,913,469 ",Asia,"736,8524",1,0.01,8,,
31,Bangladesh,"1,580,302",,"28,038 ",,"1,544,933",,"7,331","1,352","9,459",168,"11,193,258","66,996","167,073,236 ",Asia,"1065,95915",,,44,,
32,Vietnam,"1,459,175",,"28,616 ",,"1,063,428",,"367,131","7,822","14,797",290,"71,771,988","727,828","98,611,149 ",Asia,"683,4461",,,"3,723",,
33,Israel,"1,352,403",,"8,227 ",,"1,337,834",,"6,342",81,"145,014",882,"36,081,323","3,868,896","9,326,000 ",Asia,"71,1340",,,680,,
34,Pakistan,"1,290,214",+301,"28,849 ",+6,"1,251,914",+136,"9,451",704,"5,681",127,"22,689,025","99,900","227,118,046 ",Asia,"1767,87310",1,0.03,42,,
35,Serbia,"1,278,120",,"12,275 ",,"1,234,299",,"31,546",144,"147,144","1,413","7,018,345","807,989","8,686,194 ",Europe,77081,,,"3,632",,
36,Sweden,"1,242,733",,"15,185 ",,"1,169,877",,"57,671",79,"121,947","1,490","14,208,757","1,394,275","10,190,786 ",Europe,86711,,,"5,659",,
37,Austria,"1,242,333","+3,046","13,386 ",+53,"1,174,915","+7,102","54,032",534,"136,804","1,474","116,555,934","12,835,023","9,081,085 ",Europe,76780,335,6,"5,950",,
38,Hungary,"1,213,318","+5,298","37,376 ",+144,"1,016,089","+10,503","159,853",542,"126,063","3,883","8,919,775","926,760","9,624,684 ",Europe,82581,550,15,"16,609",,
39,Portugal,"1,205,993",,"18,698 ",,"1,119,335",,"67,960",150,"118,776","1,842","22,855,272","2,250,980","10,153,478 ",Europe,85430,,,"6,693",,
40,Switzerland,"1,149,097",,"11,905 ",,"904,359",,"232,833",291,"131,376","1,361","13,315,455","1,522,358","8,746,599 ",Europe,87351,,,"26,620",,
