#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"275,075,803","+72,492","5,372,281","+1,910","246,876,279","+158,430","22,827,243","88,513","35,290",689.2,,,,All,,,,,,,
1,USA,"51,765,714",,"827,323 ",,"40,539,875",,"10,398,516","15,741","155,059","2,478","786,478,329","2,355,820","333,844,797 ",North America,64040,,,"31,148",,
2,India,"34,746,838",,"477,554 ",,"34,187,017","+8,077","82,267","8,944","24,822",341,"664,109,365","474,410","1,399,865,149 ",Asia,"402,9312",,,59,,
3,Brazil,"22,213,762",,"617,838 ",,"21,414,318",,"181,606","8,318","103,430","2,877","63,776,166","296,949","214,771,691 ",South America,103483,,,846,,
4,UK,"11,361,387",,"147,218 ",,"9,783,355",,"1,430,814",875,"166,082","2,152","384,287,490","5,617,564","68,408,203 ",Europe,64650,,,"20,916",,
5,Russia,"10,241,812","+27,022","298,222 ","+1,019","9,014,980","+30,059","928,610","2,300","70,137","2,042","235,600,000","1,613,410","146,026,119 ",Europe,144901,185,7,"6,359",,
6,Turkey,"9,171,119",,"80,415 ",,"8,785,600",,"305,104","1,128","107,055",939,"114,375,538","1,335,111","85,667,433 ",Asia,"91,0651",,,"3,561",,
7,France,"8,625,849",,"121,493 ",,"7,506,834",,"997,522","2,933","131,722","1,855","178,020,146","2,718,485","65,485,052 ",Europe,85390,,,"15,233",,
8,Germany,"6,812,736",,"108,963 ",,"5,801,400","+48,100","902,373","4,636","80,934","1,294","87,852,398","1,043,672","84,176,291 ",Europe,127731,,,"10,720",,
9,Iran,"6,170,979",,"131,083 ",,"6,004,277",,"35,619","2,876","72,119","1,532","40,463,565","472,892","85,566,254 ",Asia,146532,,,416,,
10,Spain,"5,455,527",,"88,708 ",,"4,968,287",,"398,532","1,306","116,618","1,896","66,213,858","1,415,391","46,781,304 ",Europe,95271,,,"8,519",,
11,Argentina,"5,389,707",,"116,903 ",,"5,233,769",,"39,035",797,"117,672","2,552","27,035,741","590,263","45,802,898 ",South America,83922,,,852,,
12,Italy,"5,389,155",,"135,641 ",,"4,891,239",,"362,275",966,"89,326","2,248","130,368,736","2,160,870","60,331,591 ",Europe,114450,,,"6,005",,
13,Colombia,"5,107,323",,"129,458 ",,"4,946,899",,"30,966",342,"98,832","2,505","28,957,976","560,368","51,676,733 ",South America,103992,,,599,,
14,Indonesia,"4,260,544",,"144,002 ",,"4,111,619",,"4,923",,"15,339",518,"60,204,039","216,751","277,757,244 ",Asia,"651,9295",,,18,,
15,Poland,"3,968,450","+9,609","91,514 ",+29,"3,458,870","+22,887","418,066","2,116","105,025","2,422","26,243,534","694,533","37,785,892 ",Europe,104131,254,0.8,"11,064",,
16,Mexico,"3,933,386",+841,"297,858 ",+23,"3,287,874","+1,956","347,654","4,798","30,045","2,275","12,173,363","92,986","130,915,577 ",North America,3344011,6,0.2,"2,656",,
17,Ukraine,"3,610,687","+2,536","93,262 ",+157,"3,338,555","+6,690","178,870",177,"83,294","2,151","16,503,941","380,724","43,348,811 ",Europe,124653,59,4,"4,126",,
18,South Africa,"3,308,074",,"90,348 ",,"3,010,513",,"207,213",546,"54,767","1,496","20,985,692","347,428","60,403,026 ",Africa,186693,,,"3,431",,
19,Netherlands,"2,980,003",,"20,468 ",,"2,379,381",,"580,154",624,"173,353","1,191","19,205,114","1,117,200","17,190,400 ",Europe,68401,,,"33,749",,
20,Philippines,"2,837,730",+263,"50,784 ",+45,"2,777,354",+390,"9,592",899,"25,401",455,"24,814,389","222,121","111,715,405 ",Asia,"392,2005",2,0.4,86,,
21,Malaysia,"2,718,955",,"31,092 ",,"2,634,381",,"53,482",390,"82,460",943,"39,751,855","1,205,593","32,972,867 ",Asia,"121,0601",,,"1,622",,
22,Czechia,"2,406,989","+3,740","35,288 ",+22,"2,173,844",+99,"197,857",838,"224,155","3,286","46,159,025","4,298,630","10,738,079 ",Europe,43040,348,2,"18,426",,
23,Peru,"2,265,320",,"202,225 ",,N/A,N/A,N/A,939,"67,332","6,011","21,169,755","629,229","33,643,944 ",South America,151662,,,"10,178",,
24,Thailand,"2,194,053","+2,525","21,408 ",+31,"2,132,548","+4,190","40,097",899,"31,318",306,"17,270,775","246,526","70,056,495 ",Asia,"323,2724",36,0.4,572,,
25,Iraq,"2,090,480",,"24,063 ",,"2,059,866",,"6,551",89,"50,322",579,"16,667,670","401,224","41,542,058 ",Asia,"201,7262",,,158,,
26,Belgium,"1,999,764",,"27,895 ",,"1,487,522",,"484,347",804,"171,455","2,392","26,251,807","2,250,768","11,663,487 ",Europe,64180,,,"41,527",,
27,Canada,"1,883,217",,"30,045 ",,"1,790,996",,"62,176",455,"49,265",786,"50,635,831","1,324,623","38,226,603 ",North America,"201,2721",,,"1,627",,
28,Romania,"1,798,205",,"58,196 ",,"1,724,809",,"15,200",526,"94,396","3,055","16,683,712","875,801","19,049,664 ",Europe,113271,,,798,,
29,Chile,"1,791,776",,"38,864 ",,"1,699,021",,"53,891",626,"92,567","2,008","26,754,880","1,382,222","19,356,429 ",South America,114981,,,"2,784",,
30,Japan,"1,729,964",+187,"18,379 ",,"1,710,316",+116,"1,269",27,"13,740",146,"28,827,171","228,952","125,909,256 ",Asia,"736,8514",1,,10,,
31,Bangladesh,"1,581,083",,"28,048 ",,"1,545,571",,"7,464","1,352","9,462",168,"11,266,074","67,425","167,091,154 ",Asia,"1065,95715",,,45,,
32,Vietnam,"1,540,478",,"29,566 ",,"1,107,962",,"402,950","7,587","15,620",300,"72,701,838","737,186","98,620,711 ",Asia,"643,3361",,,"4,086",,
33,Israel,"1,355,491",,"8,232 ",,"1,340,532",,"6,727",84,"145,345",883,"36,880,800","3,954,621","9,326,000 ",Asia,"71,1330",,,721,,
34,Pakistan,"1,291,467",+359,"28,878 ",+6,"1,253,001",+354,"9,588",666,"5,685",127,"22,864,737","100,653","227,164,999 ",Asia,"1767,86610",2,0.03,42,,
35,Serbia,"1,282,461",,"12,401 ",,"1,242,509",,"27,551",125,"147,650","1,428","7,064,541","813,343","8,685,811 ",Europe,77001,,,"3,172",,
36,Sweden,"1,250,885",,"15,197 ",,"1,174,809","+1,314","60,879",79,"122,738","1,491","14,208,757","1,394,181","10,191,473 ",Europe,86711,,,"5,974",,
37,Austria,"1,249,641",,"13,479 ",,"1,191,530",,"44,632",479,"137,601","1,484","117,580,481","12,947,045","9,081,646 ",Europe,76740,,,"4,915",,
38,Hungary,"1,228,400","+10,105","37,896 ",+366,"1,048,633","+22,379","141,871",503,"127,634","3,937","9,014,430","936,621","9,624,417 ",Europe,82541,"1,050",38,"14,741",,
39,Portugal,"1,225,102",,"18,778 ",,"1,133,335",,"72,989",145,"120,662","1,849","23,826,316","2,346,691","10,153,154 ",Europe,85410,,,"7,189",,
40,Switzerland,"1,169,968",,"11,968 ",,"928,155",,"229,845",294,"133,752","1,368","13,462,260","1,539,021","8,747,289 ",Europe,77311,,,"26,276",,
41,Jordan,"1,036,665",,"12,230 ",,"963,726",,"60,709","1,289","100,147","1,181","13,066,806","1,262,322","10,351,406 ",Asia,108461,,,"5,865",,
42,Greece,"1,034,070",,"19,891 ",,"958,603",,"55,576",662,"99,925","1,922","42,946,380","4,150,025","10,348,464 ",Europe,105200,,,"5,370",,
43,Kazakhstan,"983,294",+379,"12,923 ",+6,"953,206",+456,"17,165",528,"51,467",676,"11,575,012","605,850","19,105,416 ",Asia,"191,4782",20,0.3,898,,
44,Cuba,"964,097",,"8,314 ",,"955,368",,415,14,"85,194",735,"11,433,976","1,010,382","11,316,489 ",North America,"121,3611",,,37,,
45,Morocco,"952,814",,"14,809 ",,"936,450",,"1,555",103,"25,374",394,"10,650,872","283,639","37,550,865 ",Africa,"392,5364",,,41,,
