#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"248,998,541","+199,408","5,040,537","+3,777","225,563,085","+140,366","18,394,919","76,081","31,944",646.7,,,,All,,,,,,,
1,USA,"47,105,468",,"770,854 ",,"37,116,604",,"9,218,010","11,883","141,203","2,311","705,145,283","2,113,737","333,601,303 ",North America,74330,,,"27,632",,
2,India,"34,320,142",,"459,661 ",,"33,704,365",,"156,116","8,944","24,547",329,"611,278,853","437,202","1,398,161,295 ",Asia,"413,0422",,,112,,
3,Brazil,"21,835,785",,"608,304 ",,"21,035,263",,"192,218","8,318","101,760","2,835","63,776,166","297,211","214,582,079 ",South America,103533,,,896,,
4,UK,"9,171,660",,"141,181 ",,"7,462,157",,"1,568,322","1,030","134,160","2,065","336,227,289","4,918,230","68,363,475 ",Europe,74840,,,"22,941",,
5,Russia,"8,673,860","+40,217","243,255 ","+1,195","7,477,366","+31,928","953,239","2,300","59,403","1,666","216,000,000","1,479,267","146,018,281 ",Europe,176001,275,8,"6,528",,
6,Turkey,"8,121,226",,"71,298 ",,"7,582,624",,"467,304","1,405","94,926",833,"98,046,105","1,146,022","85,553,435 ",Asia,"111,2001",,,"5,462",,
7,France,"7,180,832",,"117,802 ",,"6,956,474",,"106,556","1,049","109,686","1,799","151,204,954","2,309,638","65,466,952 ",Europe,95560,,,"1,628",,
8,Iran,"5,954,962",,"126,763 ",,"5,547,349",,"280,850","3,789","69,705","1,484","35,834,817","419,458","85,431,140 ",Asia,146742,,,"3,287",,
9,Argentina,"5,292,549",,"116,029 ",,"5,158,505",,"18,015",596,"115,682","2,536","25,234,179","551,557","45,750,825 ",South America,93942,,,394,,
10,Spain,"5,019,255",,"87,462 ",,"4,875,129",,"56,664",411,"107,297","1,870","66,213,858","1,415,460","46,779,036 ",Europe,95351,,,"1,211",,
11,Colombia,"5,007,099",,"127,380 ",,"4,851,007",,"28,712",342,"97,021","2,468","26,911,559","521,455","51,608,609 ",South America,104052,,,556,,
12,Italy,"4,782,802",,"132,224 ",,"4,565,291",,"85,287",381,"79,261","2,191","105,354,348","1,745,933","60,342,720 ",Europe,134561,,,"1,413",,
13,Germany,"4,662,011",,"96,623 ",,"4,328,400","+13,300","236,988","1,984","55,406","1,148","77,993,513","926,919","84,142,708 ",Europe,188711,,,"2,817",,
14,Indonesia,"4,246,802",+628,"143,500 ",+19,"4,091,938",+837,"11,364",,"15,310",517,"47,709,218","171,991","277,393,947 ",Asia,"651,9336",2,0.07,41,,
