#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"258,912,113","+496,199","5,181,348","+6,534","234,256,902","+402,038","19,473,863","81,286","33,216",664.7,,,,All,,,,,,,
1,USA,"48,811,860","+63,280","795,834 ",+854,"38,680,003","+46,113","9,336,023","12,046","146,274","2,385","744,393,633","2,230,715","333,701,877 ",North America,74190,190,3,"27,977",,
2,India,"34,533,473","+6,993","466,147 ",,"33,946,749","+12,202","120,577","8,944","24,687",333,"633,489,239","452,859","1,398,865,061 ",Asia,"413,0012",5,,86,,
3,Brazil,"22,030,182","+10,312","613,066 ",+224,"21,247,982","+17,625","169,134","8,318","102,628","2,856","63,776,166","297,103","214,660,397 ",South America,103503,48,1,788,,
4,UK,"9,932,408","+42,484","144,137 ",+165,"8,791,315","+39,370","996,956",928,"145,249","2,108","355,369,515","5,196,832","68,381,950 ",Europe,74740,621,2,"14,579",,
5,Russia,"9,400,835","+33,996","266,579 ","+1,243","8,089,694","+36,051","1,044,562","2,300","64,380","1,826","221,400,000","1,516,215","146,021,519 ",Europe,165481,233,9,"7,153",,
6,Turkey,"8,624,580","+28,170","75,443 ",+208,"8,150,235","+29,353","398,902","1,405","100,754",881,"105,165,402","1,228,560","85,600,521 ",Asia,"101,1351",329,2,"4,660",,
7,France,"7,450,691","+30,454","118,653 ",+98,"7,062,277","+9,956","269,761","1,406","113,795","1,812","161,863,693","2,472,167","65,474,428 ",Europe,95520,465,1,"4,120",,
8,Iran,"6,088,009","+5,144","129,177 ",+132,"5,807,089","+12,029","151,743","3,386","71,216","1,511","37,996,904","444,476","85,486,948 ",Asia,146622,60,2,"1,775",,
9,Germany,"5,472,949","+54,268","100,160 ",+343,"4,680,000","+30,700","692,789","3,845","65,033","1,190","81,975,529","974,083","84,156,579 ",Europe,158401,645,4,"8,232",,
10,Argentina,"5,317,633","+1,644","116,415 ",+33,"5,183,960","+1,139","17,258",570,"116,176","2,543","25,947,674","566,886","45,772,333 ",South America,93932,36,0.7,377,,
11,Spain,"5,103,315","+6,777","87,866 ",+34,"4,909,900","+2,556","105,549",547,"109,092","1,878","66,213,858","1,415,432","46,779,973 ",Europe,95321,145,0.7,"2,256",,
12,Colombia,"5,052,733","+2,478","128,188 ",+50,"4,893,420","+2,430","31,125",342,"97,851","2,482","27,788,024","538,144","51,636,747 ",South America,104032,48,1.0,603,,
13,Italy,"4,942,135","+10,047","133,330 ",+67,"4,654,295","+6,965","154,510",560,"81,907","2,210","115,456,590","1,913,493","60,338,123 ",Europe,124531,167,1,"2,561",,
14,Indonesia,"4,253,992",+394,"143,753 ",+9,"4,102,323",+434,"7,916",,"15,327",518,"52,531,079","189,271","277,544,004 ",Asia,"651,9315",1,0.03,29,,
15,Mexico,"3,864,278",+916,"292,524 ",+53,"3,227,027","+2,423","344,727","4,798","29,540","2,236","11,709,481","89,511","130,815,709 ",North America,3444711,7,0.4,"2,635",,
16,Poland,"3,377,698","+19,936","81,228 ",+398,"2,913,320","+11,520","383,150","1,551","89,383","2,150","23,788,624","629,513","37,788,938 ",Europe,114652,528,11,"10,139",,
17,Ukraine,"3,353,136","+12,729","82,318 ",+720,"2,796,597","+23,107","474,221",177,"77,318","1,898","15,595,737","359,613","43,368,091 ",Europe,135273,294,17,"10,935",,
18,South Africa,"2,931,042",+868,"89,635 ",+51,"2,821,481",,"19,926",546,"48,569","1,485","19,126,699","316,941","60,347,867 ",Africa,216733,14,0.8,330,,
19,Philippines,"2,827,820","+1,153","47,482 ",+195,"2,761,617","+2,182","18,721","1,170","25,337",425,"23,924,429","214,362","111,607,800 ",Asia,"392,3515",10,2,168,,
20,Malaysia,"2,597,080","+5,594","30,110 ",+47,"2,498,345","+4,908","68,625",532,"78,837",914,"36,888,543","1,119,793","32,942,277 ",Asia,"131,0941",170,1,"2,083",,
21,Netherlands,"2,488,244","+22,956","19,048 ",+53,"2,063,568","+6,261","405,628",499,"144,770","1,108","19,205,114","1,117,381","17,187,611 ",Europe,79021,"1,336",3,"23,600",,
22,Peru,"2,225,117",,"200,894 ",,N/A,N/A,N/A,896,"66,204","5,977","19,964,326","593,999","33,610,052 ",South America,151672,,,"9,032",,
23,Iraq,"2,076,146",+898,"23,712 ",+26,"2,035,630","+1,334","16,804",110,"50,057",572,"16,215,201","390,960","41,475,312 ",Asia,"201,7493",22,0.6,405,,
24,Thailand,"2,076,135","+5,126","20,487 ",+53,"1,972,553","+7,748","83,095","1,595","29,641",292,"14,913,135","212,912","70,043,611 ",Asia,"343,4195",73,0.8,"1,186",,
25,Czechia,"2,018,069","+14,480","32,304 ",+51,"1,776,603",+362,"209,162",764,"187,961","3,009","42,846,389","3,990,678","10,736,618 ",Europe,53320,"1,349",5,"19,481",,
26,Canada,"1,771,418","+1,312","29,537 ",+11,"1,717,862","+1,409","24,019",501,"46,370",773,"48,148,527","1,260,359","38,202,217 ",North America,"221,2931",34,0.3,629,,
27,Romania,"1,766,987","+2,736","55,386 ",+243,"1,653,179","+7,447","58,422","1,490","92,711","2,906","15,783,964","828,160","19,059,080 ",Europe,113441,144,13,"3,065",,
28,Chile,"1,747,065","+1,760","38,161 ",+12,"1,643,679","+1,779","65,225",654,"90,314","1,973","25,126,071","1,298,885","19,344,337 ",South America,115071,91,0.6,"3,372",,
29,Japan,"1,726,527",+50,"18,349 ",+2,"1,706,997",+130,"1,181",60,"13,709",146,"27,551,935","218,774","125,937,692 ",Asia,"736,8635",0.4,0.02,9,,
30,Belgium,"1,623,560","+14,338","26,669 ",+35,"1,266,361",,"330,530",632,"139,245","2,287","23,782,072","2,039,668","11,659,774 ",Europe,74370,"1,230",3,"28,348",,
31,Bangladesh,"1,574,636",+284,"27,958 ",+3,"1,538,855",+318,"7,823","1,377","9,431",167,"10,761,979","64,454","166,970,207 ",Asia,"1065,97216",2,0.02,47,,
32,Israel,"1,341,305",+140,"8,177 ",,"1,327,046",+35,"6,082",128,"143,824",877,"31,188,024","3,344,202","9,326,000 ",Asia,"71,1410",15,,652,,
33,Pakistan,"1,282,510",+315,"28,668 ",+5,"1,238,980","+8,010","14,862","1,026","5,654",126,"21,717,637","95,736","226,848,065 ",Asia,"1777,91310",1,0.02,66,,
34,Serbia,"1,238,861","+3,033","11,335 ",+54,"1,163,052","+5,669","64,474",213,"142,588","1,305","6,693,075","770,347","8,688,395 ",Europe,77671,349,6,"7,421",,
35,Sweden,"1,192,560",,"15,094 ",,"1,152,609",+824,"24,857",25,"117,069","1,482","13,586,095","1,333,691","10,186,836 ",Europe,96751,,,"2,440",,
36,Portugal,"1,126,318","+2,560","18,353 ",+14,"1,062,195","+2,535","45,770",93,"110,909","1,807","20,530,528","2,021,649","10,155,338 ",Europe,95530,252,1,"4,507",,
37,Vietnam,"1,104,835",,"23,951 ",,"910,276",,"170,608","4,992","11,210",243,"66,125,473","670,942","98,556,168 ",Asia,"894,1151",,,"1,731",,
38,Austria,"1,079,932","+9,513","12,114 ",+72,"918,366","+12,973","149,452",577,"118,963","1,334","107,616,106","11,854,785","9,077,862 ",Europe,87490,"1,048",8,"16,463",,
39,Hungary,"1,032,215","+6,518","33,343 ",+171,"851,314","+3,322","147,558",663,"107,230","3,464","8,157,875","847,464","9,626,219 ",Europe,92891,677,18,"15,329",,
40,Kazakhstan,"965,518",+769,"12,577 ",+16,"927,618","+1,482","25,323",528,"50,580",659,"11,575,012","606,376","19,088,851 ",Asia,"201,5182",40,0.8,"1,327",,
41,Cuba,"961,276",+234,"8,298 ",+3,"951,670",+346,"1,308",39,"84,941",733,"10,961,558","968,592","11,316,997 ",North America,"121,3641",21,0.3,116,,
42,Switzerland,"957,764","+4,388","11,427 ",+2,"850,413",,"95,924",148,"109,551","1,307","12,048,025","1,378,078","8,742,627 ",Europe,97651,502,0.2,"10,972",,
43,Morocco,"949,133",+157,"14,766 ",+2,"931,298",+155,"3,069",347,"25,298",394,"10,355,588","276,012","37,518,600 ",Africa,"402,5414",4,0.05,82,,
44,Jordan,"923,722","+4,549","11,403 ",+26,"869,540","+2,551","42,779",936,"89,301","1,102","11,840,048","1,144,636","10,343,939 ",Asia,119071,440,3,"4,136",,
45,Greece,"894,555","+8,100","17,517 ",+92,"797,643","+6,659","79,395",597,"86,412","1,692","33,781,234","3,263,193","10,352,201 ",Europe,125910,782,9,"7,669",,
46,Nepal,"819,699",+313,"11,509  ",+9,"800,890",+273,"7,300",,"27,447",385,"4,576,966","153,257","29,864,621 ",Asia,"362,5957",10,0.3,244,,
47,Georgia,"819,182","+5,085","11,615 ",+62,"759,657","+4,428","47,910",,"205,902","2,919","11,265,085","2,831,482","3,978,512 ",Asia,53430,"1,278",16,"12,042",,
48,UAE,"741,570",+70,"2,144 ",,"736,333",+86,"3,093",,"73,741",213,"99,402,000","9,884,375","10,056,478 ",Asia,"144,6910",7,,308,,
49,Tunisia,"716,298",,"25,347 ",,"690,033",,918,58,"59,739","2,114","3,146,043","262,378","11,990,519 ",Africa,174734,,,77,,
50,Bulgaria,"676,750",,"27,507 ",,"542,727",,"106,516",775,"98,427","4,001","6,339,272","921,990","6,875,643 ",Europe,102501,,,"15,492",,
51,Lebanon,"659,404",,"8,645 ",,"627,512",,"23,247",186,"97,216","1,275","4,795,578","707,009","6,782,909 ",Asia,107851,,,"3,427",,
52,Belarus,"643,372","+1,453","4,979 ",+14,"627,789","+1,461","10,604",,"68,118",527,"10,228,936","1,083,000","9,444,999 ",Europe,"151,8971",154,1,"1,123",,
53,Slovakia,"621,423","+6,739","13,985 ",+66,"512,689","+4,900","94,749",558,"113,745","2,560","4,414,168","807,964","5,463,321 ",Europe,93911,"1,233",12,"17,343",,
54,Guatemala,"614,910",+960,"15,855 ",+6,"597,044",+854,"2,011",5,"33,463",863,"3,074,517","167,313","18,375,800 ",North America,"301,1596",52,0.3,109,,
55,Azerbaijan,"576,703","+1,904","7,686 ",+29,"541,327","+1,833","27,690",,"56,175",749,"5,449,379","530,806","10,266,229 ",Asia,"181,3362",185,3,"2,697",,
56,Croatia,"576,633","+4,926","10,438 ",+62,"535,654","+4,048","30,541",317,"141,678","2,565","3,366,965","827,257","4,070,033 ",Europe,73901,"1,210",15,"7,504",,
57,Costa Rica,"565,952",,"7,264 ",,"540,478",,"18,210",116,"109,706","1,408","2,674,625","518,460","5,158,787 ",North America,97102,,,"3,530",,
58,Sri Lanka,"558,860","+1,499","14,182 ",+24,"527,528",+418,"17,150",,"25,947",658,"5,500,800","255,398","21,538,123 ",Asia,"391,5194",70,1,796,,
59,Saudi Arabia,"549,556",+38,"8,827 ",+1,"538,672",+32,"2,057",50,"15,451",248,"31,078,369","873,796","35,567,074 ",Asia,"654,0291",1,0.03,58,,
60,Ireland,"538,255","+3,661","5,609 ",,"425,860","+1,731","106,786",130,"107,341","1,119","8,614,740","1,717,983","5,014,450 ",Europe,98941,730,,"21,296",,
61,Bolivia,"530,369",+883,"19,080 ",+12,"487,824",+776,"23,465",220,"44,590","1,604","2,569,451","216,024","11,894,276 ",South America,226235,74,1,"1,973",,
62,Ecuador,"524,353",,"33,125 ",,"443,880",,"47,348",759,"29,106","1,839","1,990,850","110,509","18,015,255 ",South America,345449,,,"2,628",,
63,Myanmar,"519,102",+631,"19,041 ",+7,"492,558",+777,"7,503",,"9,452",347,"5,422,639","98,742","54,917,005 ",Asia,"1062,88410",11,0.1,137,,
64,Panama,"476,129",,"7,354 ",,"466,320",,"2,455",20,"107,987","1,668","4,187,923","949,831","4,409,124 ",North America,96001,,,557,,
65,Paraguay,"462,331",,"16,363 ",,"445,378",,590,33,"63,732","2,256","1,932,561","266,402","7,254,299 ",South America,164434,,,81,,
66,Lithuania,"458,298","+1,839","6,578 ",+18,"422,785","+3,905","28,935",136,"171,685","2,464","6,012,112","2,252,228","2,669,406 ",Europe,64060,689,7,"10,839",,
67,Denmark,"458,001","+4,199","2,820 ",+4,"403,118",,"52,063",50,"78,687",484,"91,411,505","15,704,898","5,820,573 ",Europe,"132,0640",721,0.7,"8,945",,
68,Palestine,"428,342",,"4,513 ",,"421,249",,"2,580",40,"81,341",857,"2,704,107","513,503","5,266,001 ",Asia,"121,1672",,,490,,
69,Venezuela,"426,014",,"5,088 ",,"412,440",,"8,486",681,"15,041",180,"3,359,014","118,593","28,323,827 ",South America,"665,5678",,,300,,
70,S. Korea,"420,950","+2,698","3,328 ",+30,"378,561","+1,855","39,061",549,"8,201",65,"15,804,065","307,888","51,330,568 ",Asia,"12215,4243",53,0.6,761,,
71,Kuwait,"413,177",+12,"2,465 ",+1,"410,471",+21,241,2,"94,802",566,"5,216,088","1,196,812","4,358,319 ",Asia,"111,7681",3,0.2,55,,
72,Slovenia,"405,477","+3,394","5,103 ",+23,"355,539","+3,324","44,835",204,"195,003","2,454","1,895,871","911,768","2,079,336 ",Europe,54071,"1,632",11,"21,562",,
73,Dominican Republic,"404,284",+846,"4,194 ",+4,"396,135","+1,244","3,955",193,"36,756",381,"2,416,483","219,698","10,999,129 ",North America,"272,6235",77,0.4,360,,
74,Uruguay,"397,990",,"6,115 ",,"389,941",,"1,934",15,"114,022","1,752","4,033,096","1,155,458","3,490,475 ",South America,95711,,,554,,
75,Mongolia,"378,199",+525,"1,958 ",+10,"313,256",,"62,985",192,"112,840",584,"4,030,048","1,202,416","3,351,626 ",Asia,"91,7121",157,3,"18,792",,
76,Honduras,"377,420",,"10,388 ",,"119,346",,"247,686",68,"37,282","1,026","1,113,653","110,007","10,123,442 ",North America,279759,,,"24,467",,
77,Ethiopia,"370,522",+190,"6,704 ",+11,"347,569",+627,"16,249",231,"3,116",56,"3,830,074","32,208","118,915,021 ",Africa,"32117,73831",2,0.09,137,,
78,Libya,"368,987",+595,"5,403 ",+13,"332,892","+1,906","30,692",,"52,704",772,"1,881,458","268,736","7,001,127 ",Africa,"191,2964",85,2,"4,384",,
79,Moldova,"359,401",+544,"8,915 ",+46,"342,356","+1,313","8,130",145,"89,383","2,217","2,171,504","540,052","4,020,917 ",Europe,114512,135,11,"2,022",,
80,Egypt,"351,267",,"19,991 ",,"292,655",,"38,621",90,"3,345",190,"3,693,367","35,170","105,014,683 ",Africa,"2995,25328",,,368,,
81,Armenia,"334,878",+531,"7,356 ",+48,"308,922","+1,438","18,600",,"112,718","2,476","2,318,552","780,408","2,970,948 ",Asia,94041,179,16,"6,261",,
82,Oman,"304,509",+10,"4,113 ",,"299,928",+7,468,13,"57,598",778,"25,000,000","4,728,735","5,286,826 ",Asia,"171,2850",2,,89,,
83,Bahrain,"277,444",+23,"1,394 ",,"275,794",+17,256,2,"155,558",782,"7,283,971","4,083,992","1,783,542 ",Asia,"61,2790",13,,144,,
84,Bosnia and Herzegovina,"269,904",,"12,309 ",,"192,218",,"65,377",,"82,986","3,785","1,371,490","421,683","3,252,417 ",Europe,122642,,,"20,101",,
85,Kenya,"254,781",+53,"5,330 ",+2,"247,992",+17,"1,459",20,"4,598",96,"2,807,014","50,654","55,415,403 ",Africa,"21810,39720",1.0,0.04,26,,
86,Singapore,"253,649",,667 ,,"234,856",,"18,126",62,"42,887",113,"21,098,774","3,567,408","5,914,315 ",Asia,"238,8670",,,"3,065",,
87,Latvia,"247,758","+1,293","4,007 ",+40,"228,732",+407,"15,019",184,"133,406","2,158","5,268,128","2,836,646","1,857,168 ",Europe,74630,696,22,"8,087",,
88,Norway,"245,302",,"1,002 ",,"88,952",,"155,348",57,"44,762",183,"8,461,423","1,544,004","5,480,181 ",Europe,"225,4691",,,"28,347",,
89,Qatar,"242,375",+147,611 ,,"239,888",+176,"1,876",11,"86,322",218,"2,956,625","1,053,002","2,807,805 ",Asia,"124,5951",52,,668,,
90,Estonia,"218,604",+821,"1,754 ",+8,"193,601",+671,"23,249",48,"164,639","1,321","2,296,506","1,729,588","1,327,776 ",Europe,67571,618,6,"17,510",,
91,Nigeria,"213,625",,"2,974 ",,"206,778",,"3,873",11,"1,002",14,"3,440,172","16,134","213,229,123 ",Africa,"99871,69862",,,18,,
92,North Macedonia,"212,865",+490,"7,464 ",+15,"197,120",+484,"8,281",,"102,179","3,583","1,453,084","697,507","2,083,255 ",Europe,102791,235,7,"3,975",,
93,Zambia,"210,090",+17,"3,667 ",,"206,322",+6,101,5,"11,001",192,"2,691,302","140,920","19,098,078 ",Africa,"915,2087",0.9,,5,,
94,Algeria,"209,283",+172,"6,030 ",+4,"143,532",+119,"59,721",22,"4,656",134,"230,861","5,136","44,950,745 ",Africa,"2157,455195",4,0.09,"1,329",,
95,Australia,"200,651","+1,000","1,968 ",+20,"185,236",,"13,447",80,"7,744",76,"46,829,634","1,807,320","25,911,097 ",Australia/Oceania,"12913,1661",39,0.8,519,,
96,Albania,"197,167",+556,"3,053 ",+4,"186,267",+698,"7,847",3,"68,617","1,062","1,376,320","478,982","2,873,425 ",Europe,159412,193,1,"2,731",,
