#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"279,939,177","+114,765","5,415,197","+1,932","250,199,305","+172,516","24,324,675","88,333","35,914",694.7,,,,All,,,,,,,
1,USA,"53,026,765",,"837,779 ",,"41,001,184",,"11,187,802","16,104","158,821","2,509","798,517,464","2,391,655","333,876,557 ",North America,63990,,,"33,509",,
2,India,"34,786,802",,"479,682 ",,"34,230,354","+7,091","76,766","8,944","24,846",343,"671,997,082","479,968","1,400,087,391 ",Asia,"402,9192",,,55,,
3,Brazil,"22,234,626",,"618,457 ",,"21,414,318",,"201,851","8,318","103,515","2,879","63,776,166","296,914","214,796,423 ",South America,103473,,,940,,
4,UK,"11,891,292",,"147,857 ",,"9,961,369",,"1,782,066",842,"173,814","2,161","395,579,689","5,782,142","68,414,037 ",Europe,64630,,,"26,048",,
5,Russia,"10,392,020","+23,721","304,218 ",+968,"9,259,771","+37,285","828,031","2,300","71,165","2,083","238,300,000","1,631,888","146,027,142 ",Europe,144801,162,7,"5,670",,
6,Turkey,"9,286,986",,"81,403 ",,"8,922,510",,"283,073","1,128","108,389",950,"116,501,775","1,359,695","85,682,302 ",Asia,"91,0531",,,"3,304",,
7,France,"9,088,371",,"122,546 ",,"7,794,718",,"1,171,107","3,254","138,780","1,871","182,873,794","2,792,503","65,487,413 ",Europe,75340,,,"17,883",,
8,Germany,"6,999,476",,"111,025 ",,"6,113,500","+26,200","774,951","4,636","83,148","1,319","89,622,218","1,064,641","84,180,671 ",Europe,127581,,,"9,206",,
9,Iran,"6,184,762","+1,857","131,400 ",+52,"6,026,378","+2,167","26,984","2,774","72,266","1,535","41,491,521","484,805","85,583,878 ",Asia,146512,22,0.6,315,,
10,Spain,"5,718,007",,"89,019 ",,"5,002,310",,"626,678","1,515","122,228","1,903","66,213,858","1,415,383","46,781,600 ",Europe,85261,,,"13,396",,
11,Italy,"5,622,431",,"136,530 ",,"4,985,435",,"500,466","1,071","93,194","2,263","135,138,103","2,239,977","60,330,139 ",Europe,114420,,,"8,295",,
12,Argentina,"5,452,419",,"117,020 ",,"5,259,080",,"76,319",809,"119,023","2,554","27,433,892","598,867","45,809,690 ",South America,83912,,,"1,666",,
13,Colombia,"5,121,668",,"129,729 ",,"4,957,334",,"34,605",342,"99,093","2,510","29,255,860","566,035","51,685,618 ",South America,103982,,,670,,
14,Indonesia,"4,261,759",+92,"144,055 ",+2,"4,113,049",+148,"4,655",,"15,341",519,"62,036,721","223,311","277,804,630 ",Asia,"651,9284",0.3,0.01,17,,
15,Poland,"4,049,838","+6,252","94,327 ",+16,"3,563,434","+19,606","392,077","2,028","107,180","2,496","26,681,046","706,124","37,785,215 ",Europe,94011,165,0.4,"10,376",,
16,Mexico,"3,950,200","+2,916","298,759 ",+89,"3,298,990","+1,569","352,451","4,798","30,169","2,282","12,272,528","93,728","130,937,770 ",North America,3343811,22,0.7,"2,692",,
17,Ukraine,"3,645,124","+2,810","94,838 ",+138,"3,428,212","+4,279","122,074",177,"84,097","2,188","16,669,943","384,592","43,344,526 ",Europe,124573,65,3,"2,816",,
18,South Africa,"3,407,937",,"90,773 ",,"3,102,717",,"214,447",546,"56,409","1,502","21,038,633","348,234","60,415,283 ",Africa,186663,,,"3,550",,
19,Netherlands,"3,053,124",,"20,705 ",,"2,513,432",,"518,987",537,"177,600","1,204","19,205,114","1,117,160","17,191,020 ",Europe,68301,,,"30,189",,
20,Philippines,"2,838,640",+433,"51,200 ",+13,"2,777,918",+283,"9,522",899,"25,404",458,"25,078,068","224,434","111,739,317 ",Asia,"392,1824",4,0.1,85,,
21,Malaysia,"2,738,401",,"31,315 ",,"2,661,495",,"45,591",324,"83,033",950,"40,469,185","1,227,095","32,979,665 ",Asia,"121,0531",,,"1,382",,
22,Czechia,"2,445,741","+1,086","35,749 ",+20,"2,259,601",+90,"150,391",708,"227,756","3,329","46,616,780","4,341,127","10,738,404 ",Europe,43000,101,2,"14,005",,
23,Peru,"2,278,807",,"202,488 ",,N/A,N/A,N/A,875,"67,718","6,017","21,507,541","639,126","33,651,475 ",South America,151662,,,"10,569",,
24,Thailand,"2,209,970","+2,532","21,580 ",+22,"2,152,528","+3,771","35,862",899,"31,544",308,"17,270,775","246,516","70,059,358 ",Asia,"323,2464",36,0.3,512,,
25,Iraq,"2,092,484",+172,"24,130 ",+8,"2,062,983",+335,"5,371",80,"50,352",581,"16,766,798","403,466","41,556,890 ",Asia,"201,7222",4,0.2,129,,
26,Belgium,"2,038,111",,"28,149 ",,"1,595,493",,"414,469",660,"174,730","2,413","26,828,439","2,300,045","11,664,312 ",Europe,64140,,,"35,533",,
27,Canada,"1,959,518",,"30,143 ",,"1,817,744",,"111,631",455,"51,253",788,"51,486,352","1,346,681","38,232,022 ",North America,"201,2681",,,"2,920",,
28,Romania,"1,802,745",+349,"58,551 ",+15,"1,732,591",+588,"11,603",443,"94,644","3,074","16,902,077","887,361","19,047,572 ",Europe,113251,18,0.8,609,,
29,Chile,"1,799,125",,"39,013 ",,"1,712,756",,"47,356",555,"92,934","2,015","27,075,787","1,398,607","19,359,116 ",South America,114961,,,"2,446",,
