#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"256,878,895","+552,665","5,154,056","+6,853","231,908,087","+381,968","19,816,752","79,185","32,955",661.2,,,,All,,,,,,,
1,USA,"48,492,731","+84,659","790,562 ","+1,030","38,373,812","+43,739","9,328,357","11,716","145,327","2,369","730,306,450","2,188,639","333,680,703 ",North America,74220,254,3,"27,956",,
2,India,"34,495,506","+5,883","465,082 ",,"33,897,921","+12,789","132,503","8,944","24,662",333,"629,387,540","449,975","1,398,716,899 ",Asia,"413,0072",4,,95,,
3,Brazil,"22,003,317","+13,355","612,370 ",+193,"21,214,823","+7,826","176,124","8,318","102,511","2,853","63,776,166","297,125","214,643,909 ",South America,103513,62,0.9,821,,
4,UK,"9,766,153","+44,242","143,716 ",+157,"8,011,285","+33,404","1,611,152",923,"142,826","2,102","351,529,646","5,140,971","68,378,060 ",Europe,74760,647,2,"23,562",,
5,Russia,"9,257,068","+37,156","261,589 ","+1,254","7,956,254","+37,004","1,039,225","2,300","63,396","1,791","219,400,000","1,502,525","146,020,837 ",Europe,165581,254,9,"7,117",,
6,Turkey,"8,527,030","+23,810","74,646 ",+218,"8,028,494","+28,749","423,890","1,405","99,626",872,"103,736,487","1,212,008","85,590,608 ",Asia,"101,1471",278,3,"4,953",,
7,France,"7,372,544","+21,220","118,423 ",+50,"7,042,175","+7,308","211,946","1,049","112,605","1,809","151,204,954","2,309,430","65,472,854 ",Europe,95530,324,0.8,"3,237",,
8,Iran,"6,069,559","+5,784","128,734 ",+100,"5,759,378","+12,891","181,447","3,431","71,010","1,506","37,359,561","437,081","85,475,199 ",Asia,146642,68,1,"2,123",,
9,Argentina,"5,313,607","+1,518","116,360 ",+19,"5,178,639","+1,437","18,608",560,"116,099","2,542","25,854,639","564,909","45,767,805 ",South America,93932,33,0.4,407,,
10,Germany,"5,293,087","+59,266","99,399 ",+230,"4,588,200","+24,000","605,488","2,828","62,898","1,181","81,975,529","974,117","84,153,659 ",Europe,168471,704,3,"7,195",,
11,Spain,"5,080,663","+6,636","87,810 ",+6,"4,901,074","+1,469","91,779",458,"108,608","1,877","66,213,858","1,415,438","46,779,775 ",Europe,95331,142,0.1,"1,962",,
12,Colombia,"5,042,822","+2,157","128,013 ",+50,"4,884,383","+2,239","30,426",342,"97,671","2,479","27,610,201","534,762","51,630,824 ",South America,104032,42,1.0,589,,
13,Italy,"4,904,441","+10,544","133,082 ",+48,"4,634,229","+5,889","137,130",512,"81,281","2,206","113,434,021","1,879,942","60,339,091 ",Europe,124531,175,0.8,"2,273",,
14,Indonesia,"4,252,705",+360,"143,714 ",+5,"4,100,837",+516,"8,154",,"15,324",518,"51,483,621","185,518","277,512,413 ",Asia,"651,9315",1,0.02,29,,
15,Mexico,"3,854,994","+3,915","291,929 ",+356,"3,217,051","+2,421","346,014","4,798","29,472","2,232","11,654,187","89,099","130,800,913 ",North America,3444811,30,3,"2,645",,
16,Ukraine,"3,304,058","+20,050","80,231 ",+725,"2,726,521","+22,304","497,306",177,"76,181","1,850","15,461,886","356,503","43,370,948 ",Europe,135413,462,17,"11,466",,
17,Poland,"3,303,046","+23,242","80,399 ",+403,"2,858,972","+15,702","363,675","1,381","87,407","2,128","23,392,459","619,022","37,789,389 ",Europe,114702,615,11,"9,624",,
18,South Africa,"2,928,288",+789,"89,562 ",+7,"2,820,731",+118,"17,995",546,"48,530","1,484","19,061,166","315,898","60,339,695 ",Africa,216743,13,0.1,298,,
19,Philippines,"2,823,210","+1,485","46,698 ",+277,"2,753,312","+1,393","23,200","1,247","25,299",418,"23,718,039","212,543","111,591,858 ",Asia,"402,3905",13,2,208,,
20,Malaysia,"2,575,888","+6,355","29,937 ",+45,"2,477,314","+5,031","68,637",542,"78,205",909,"36,470,400","1,107,252","32,937,745 ",Asia,"131,1001",193,1,"2,084",,
21,Netherlands,"2,399,849","+21,026","18,900 ",+37,"2,040,671","+4,540","340,278",442,"139,630","1,100","19,205,114","1,117,408","17,187,198 ",Europe,79091,"1,223",2,"19,798",,
22,Peru,"2,219,617",,"200,767 ",,N/A,N/A,N/A,870,"66,050","5,974","19,798,022","589,139","33,605,031 ",South America,151672,,,"8,873",,
23,Iraq,"2,073,267",+789,"23,628 ",+21,"2,031,304","+1,216","18,335",131,"50,000",570,"16,152,057","389,531","41,465,424 ",Asia,"201,7553",19,0.5,442,,
24,Thailand,"2,050,980","+6,855","20,303 ",+51,"1,940,854","+7,655","89,823","1,776","29,282",290,"14,913,135","212,918","70,041,702 ",Asia,"343,4505",98,0.7,"1,282",,
25,Czechia,"1,957,816","+13,374","31,879 ",+48,"1,741,316",+335,"184,621",696,"182,353","2,969","42,406,016","3,949,742","10,736,402 ",Europe,53370,"1,246",4,"17,196",,
26,Canada,"1,761,098","+1,538","29,468 ",+6,"1,707,834","+1,280","23,796",501,"46,104",771,"47,772,982","1,250,647","38,198,605 ",North America,"221,2961",40,0.2,623,,
27,Romania,"1,758,068","+2,889","54,624 ",+254,"1,623,419","+9,836","80,025","1,604","92,236","2,866","15,647,225","820,925","19,060,474 ",Europe,113491,152,13,"4,198",,
28,Chile,"1,737,885","+2,698","38,079 ",+30,"1,636,177","+1,195","63,629",635,"89,848","1,969","24,855,246","1,285,004","19,342,546 ",South America,115081,139,2,"3,290",,
29,Japan,"1,726,063",+163,"18,342 ",+6,"1,706,303",+191,"1,418",62,"13,705",146,"27,387,016","217,458","125,941,905 ",Asia,"736,8665",1,0.05,11,,
30,Bangladesh,"1,573,458",,"27,939 ",,"1,537,518",,"8,001","1,594","9,425",167,"10,673,431","63,931","166,952,289 ",Asia,"1065,97616",,,48,,
31,Belgium,"1,559,998","+16,699","26,526 ",+42,"1,262,549","+3,481","270,923",568,"133,799","2,275","23,343,172","2,002,121","11,659,224 ",Europe,74400,"1,432",4,"23,237",,
32,Israel,"1,339,723",+306,"8,154 ",,"1,325,983",+107,"5,586",126,"143,655",874,"30,896,760","3,312,970","9,326,000 ",Asia,"71,1440",33,,599,,
33,Pakistan,"1,281,240",+418,"28,648 ",+10,"1,230,094",+411,"22,498","1,083","5,649",126,"21,565,738","95,087","226,801,112 ",Asia,"1777,91711",2,0.04,99,,
34,Serbia,"1,228,328","+3,086","11,115 ",+53,"1,137,583","+5,841","79,630",240,"141,369","1,279","6,654,238","765,843","8,688,778 ",Europe,77821,355,6,"9,165",,
35,Sweden,"1,188,735",,"15,078 ",,"1,150,118",+782,"23,539",30,"116,701","1,480","13,485,270","1,323,883","10,186,149 ",Europe,96761,,,"2,311",,
36,Portugal,"1,117,451","+2,371","18,300 ",+5,"1,056,880","+1,230","42,271",79,"110,032","1,802","20,530,528","2,021,585","10,155,661 ",Europe,95550,233,0.5,"4,162",,
37,Vietnam,"1,075,094","+9,625","23,578 ",+102,"883,564","+1,971","167,952","4,596","10,909",239,"65,475,964","664,416","98,546,606 ",Asia,"924,1802",98,1,"1,704",,
38,Austria,"1,027,274","+15,809","11,951 ",+48,"876,482","+8,881","138,841",520,"113,170","1,317","105,877,454","11,663,978","9,077,302 ",Europe,97600,"1,742",5,"15,295",,
39,Hungary,"998,488","+11,289","32,780 ",+135,"837,584","+4,168","128,124",613,"103,723","3,405","8,006,581","831,724","9,626,485 ",Europe,102941,"1,173",14,"13,310",,
40,Kazakhstan,"961,734","+1,125","12,517 ",+20,"922,753","+1,554","26,464",528,"50,388",656,"11,575,012","606,453","19,086,397 ",Asia,"201,5252",59,1,"1,387",,
41,Cuba,"960,185",+316,"8,290 ",+1,"950,453",+348,"1,442",56,"84,844",733,"10,849,865","958,717","11,317,072 ",North America,"121,3651",28,0.09,127,,
42,Morocco,"948,705",+72,"14,758 ",+3,"930,767",+165,"3,180",347,"25,289",393,"10,313,336","274,921","37,513,820 ",Africa,"402,5424",2,0.08,85,,
43,Switzerland,"941,216","+6,169","11,387 ",+4,"848,933","+1,293","80,896",137,"107,667","1,303","12,339,927","1,411,578","8,741,936 ",Europe,97681,706,0.5,"9,254",,
44,Jordan,"909,415","+3,677","11,331 ",+21,"861,254","+2,059","36,830",786,"87,927","1,096","11,686,449","1,129,908","10,342,833 ",Asia,119131,356,2,"3,561",,
45,Greece,"868,868","+7,751","17,168 ",+93,"767,829","+4,220","83,871",575,"83,926","1,658","32,369,507","3,126,656","10,352,755 ",Europe,126030,749,9,"8,101",,
46,Nepal,"818,578",+271,"11,494 ",+5,"799,545",+369,"7,539",,"27,415",385,"4,546,326","152,260","29,858,886 ",Asia,"362,5987",9,0.2,252,,
47,Georgia,"804,571","+4,278","11,352 ",+63,"741,470","+4,154","51,749",,"202,225","2,853","11,104,310","2,791,012","3,978,596 ",Asia,53500,"1,075",16,"13,007",,
48,UAE,"741,291",+77,"2,144 ",,"735,992",+93,"3,155",,"73,722",213,"98,227,683","9,768,871","10,055,173 ",Asia,"144,6900",8,,314,,
49,Tunisia,"716,074",+86,"25,334 ",+4,"689,834",+61,906,58,"59,727","2,113","3,137,322","261,680","11,989,168 ",Africa,174734,7,0.3,76,,
50,Bulgaria,"668,363",,"26,985 ",,"532,234",,"109,144",775,"97,199","3,924","6,220,894","904,698","6,876,211 ",Europe,102551,,,"15,873",,
51,Lebanon,"656,192",,"8,616 ",,"626,053",,"21,523",186,"96,737","1,270","4,795,578","706,974","6,783,242 ",Asia,107871,,,"3,173",,
52,Belarus,"636,543","+1,812","4,916 ",+15,"619,485","+2,493","12,142",,"67,394",520,"10,160,146","1,075,713","9,445,032 ",Europe,"151,9211",192,2,"1,286",,
53,Guatemala,"613,014",+813,"15,822 ",+47,"595,089","+1,677","2,103",5,"33,366",861,"3,052,925","166,171","18,372,172 ",North America,"301,1616",44,3,114,,
54,Slovakia,"593,242","+7,418","13,781 ",+56,"493,070","+6,767","86,391",515,"108,587","2,522","4,328,673","792,320","5,463,292 ",Europe,93961,"1,358",10,"15,813",,
55,Azerbaijan,"570,322","+2,233","7,579 ",+28,"533,175","+2,401","29,568",,"55,559",738,"5,418,169","527,817","10,265,232 ",Asia,"181,3542",218,3,"2,880",,
56,Costa Rica,"565,347",,"7,248 ",,"535,289",,"22,810",139,"109,600","1,405","2,674,625","518,511","5,158,279 ",North America,97122,,,"4,422",,
57,Croatia,"560,504","+2,234","10,178 ",+65,"515,353","+6,230","34,973",327,"137,706","2,501","3,326,609","817,287","4,070,308 ",Europe,74001,549,16,"8,592",,
58,Sri Lanka,"555,204",+745,"14,086 ",+14,"525,911",+351,"15,207",,"25,779",654,"5,500,800","255,410","21,537,144 ",Asia,"391,5294",35,0.7,706,,
59,Saudi Arabia,"549,412",+35,"8,822 ",+1,"538,505",+42,"2,085",44,"15,450",248,"31,030,819","872,605","35,561,145 ",Asia,"654,0311",1.0,0.03,59,,
60,Bolivia,"527,380","+1,074","19,049 ",+6,"485,421",+510,"22,910",220,"44,345","1,602","2,563,530","215,558","11,892,536 ",South America,236245,90,0.5,"1,926",,
61,Ecuador,"521,792",,"33,088 ",,"443,880",,"44,824",759,"28,969","1,837","1,917,796","106,471","18,012,325 ",South America,355449,,,"2,489",,
62,Ireland,"518,824","+3,133","5,609 ",,"417,185","+2,155","96,030",118,"103,478","1,119","8,614,740","1,718,190","5,013,847 ",Europe,108941,625,,"19,153",,
63,Myanmar,"516,770",+624,"19,000 ",+11,"489,140",+887,"8,630",,"9,411",346,"5,326,256","96,994","54,913,025 ",Asia,"1062,89010",11,0.2,157,,
64,Panama,"475,369",,"7,350 ",,"465,662",,"2,357",49,"107,833","1,667","4,166,135","945,049","4,408,382 ",North America,96001,,,535,,
65,Paraguay,"462,146",,"16,349 ",,"445,200",,597,42,"63,715","2,254","1,925,107","265,410","7,253,342 ",South America,164444,,,82,,
66,Lithuania,"452,268","+1,707","6,461 ",+17,"413,716","+2,419","32,091",147,"169,400","2,420","5,948,954","2,228,225","2,669,818 ",Europe,64130,639,6,"12,020",,
67,Denmark,"442,881","+4,070","2,797 ",+5,"396,367","+2,338","43,717",48,"76,092",481,"90,256,836","15,507,112","5,820,351 ",Europe,"132,0810",699,0.9,"7,511",,
68,Palestine,"427,824",+230,"4,505 ",+3,"420,529",+195,"2,790",48,"81,263",856,"2,699,834","512,818","5,264,702 ",Asia,"121,1692",44,0.6,530,,
69,Venezuela,"422,915",,"5,057 ",,"409,205",,"8,653",681,"14,931",179,"3,359,014","118,590","28,324,704 ",South America,"675,6018",,,305,,
70,Kuwait,"413,106",+16,"2,464 ",,"410,383",+23,259,2,"94,801",565,"5,147,207","1,181,195","4,357,628 ",Asia,"111,7691",4,,59,,
71,S. Korea,"409,099","+3,034","3,215 ",+28,"368,723","+1,145","37,161",499,"7,970",63,"15,804,065","307,891","51,330,087 ",Asia,"12515,9663",59,0.5,724,,
72,Dominican Republic,"400,846","+1,073","4,183 ",+1,"391,436",+892,"5,227",224,"36,447",380,"2,375,640","216,008","10,997,941 ",North America,"272,6295",98,0.09,475,,
73,Uruguay,"397,318",,"6,110 ",,"389,244",,"1,964",16,"113,833","1,751","4,000,634","1,146,200","3,490,344 ",South America,95711,,,563,,
74,Slovenia,"395,203","+3,517","5,022 ",+21,"344,995","+3,758","45,186",186,"190,062","2,415","1,872,916","900,730","2,079,332 ",Europe,54141,"1,691",10,"21,731",,
75,Honduras,"377,360",+67,"10,386 ",+13,"119,108",+260,"247,866",85,"37,282","1,026","1,112,411","109,903","10,121,719 ",North America,279759,7,1,"24,489",,
76,Mongolia,"376,342",+595,"1,925 ",+6,"313,256",,"61,161",192,"112,306",574,"4,030,048","1,202,623","3,351,049 ",Asia,"91,7411",178,2,"18,251",,
77,Ethiopia,"369,867",+200,"6,662 ",+7,"346,547",+114,"16,658",265,"3,111",56,"3,807,103","32,024","118,883,805 ",Africa,"32117,84531",2,0.06,140,,
78,Libya,"367,218",+429,"5,365 ",+19,"326,451","+1,941","35,402",,"52,459",766,"1,867,855","266,832","7,000,106 ",Africa,"191,3054",61,3,"5,057",,
79,Moldova,"357,211",+763,"8,756 ",+47,"338,245",+785,"10,210",246,"88,836","2,178","2,151,172","534,982","4,021,019 ",Europe,114592,190,12,"2,539",,
80,Egypt,"347,719",,"19,780 ",,"289,952",,"37,987",90,"3,312",188,"3,693,367","35,177","104,993,557 ",Africa,"3025,30828",,,362,,
81,Armenia,"332,713",+799,"7,212 ",+29,"301,856","+1,903","23,645",,"111,991","2,428","2,289,360","770,598","2,970,887 ",Asia,94121,269,10,"7,959",,
82,Oman,"304,466",,"4,113 ",,"299,884",,469,12,"57,605",778,"25,000,000","4,730,009","5,285,402 ",Asia,"171,2850",,,89,,
83,Bahrain,"277,322",+18,"1,393 ",,"275,712",+14,217,3,"155,546",781,"7,222,351","4,050,919","1,782,892 ",Asia,"61,2800",10,,122,,
84,Bosnia and Herzegovina,"268,572",+721,"12,219 ",+39,"192,218",,"64,135",,"82,570","3,757","1,364,521","419,512","3,252,639 ",Europe,122662,222,12,"19,718",,
85,Kenya,"254,629",+88,"5,325 ",,"247,874",+57,"1,430",23,"4,596",96,"2,790,474","50,367","55,402,428 ",Africa,"21810,40420",2,,26,,
