#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"268,623,490","+524,149","5,300,661","+5,867","241,672,499","+382,534","21,650,330","88,928","34,462",680.0,,,,All,,,,,,,
1,USA,"50,494,082","+71,672","814,571 ",+661,"39,852,886","+37,020","9,826,625","14,595","151,277","2,440","769,407,701","2,305,089","333,786,570 ",North America,74100,215,2,"29,440",,
2,India,"34,666,241",,"474,111 ",,"34,097,388","+8,251","94,742","8,944","24,771",339,"651,950,127","465,859","1,399,457,705 ",Asia,"402,9522",,,68,,
3,Brazil,"22,167,781",,"616,298 ",,"21,399,316",,"152,167","8,318","103,237","2,870","63,776,166","297,011","214,726,349 ",South America,103483,,,709,,
4,UK,"10,660,981","+50,867","146,135 ",+148,"9,378,165","+37,775","1,136,681",890,"155,868","2,137","373,037,852","5,453,969","68,397,507 ",Europe,64680,744,2,"16,619",,
5,Russia,"9,925,806","+30,209","286,004 ","+1,181","8,637,861","+35,794","1,001,941","2,300","67,974","1,959","229,800,000","1,573,711","146,024,245 ",Europe,155111,207,8,"6,861",,
6,Turkey,"8,984,407","+19,696","78,602 ",+195,"8,543,785","+27,263","362,020","1,128","104,909",918,"110,866,117","1,294,557","85,640,173 ",Asia,"101,0901",230,2,"4,227",,
7,France,"8,105,785","+56,854","120,168 ",+136,"7,252,512","+21,087","733,105","2,461","123,789","1,835","170,480,237","2,603,518","65,480,724 ",Europe,85450,868,2,"11,196",,
8,Germany,"6,355,888","+16,295","105,010 ",+78,"5,225,700",,"1,025,178","4,636","75,514","1,248","85,782,441","1,019,178","84,168,260 ",Europe,138021,194,0.9,"12,180",,
9,Iran,"6,147,872","+3,228","130,524 ",+78,"5,950,425","+6,958","66,923","3,169","71,876","1,526","39,739,512","464,605","85,533,945 ",Asia,146552,38,0.9,782,,
10,Argentina,"5,348,123",,"116,708 ",,"5,206,911",,"24,504",692,"116,796","2,549","26,536,077","579,511","45,790,446 ",South America,93922,,,535,,
11,Spain,"5,273,178","+13,957","88,321 ",+50,"4,941,596","+2,089","243,261","1,041","112,721","1,888","66,213,858","1,415,408","46,780,761 ",Europe,95301,298,1,"5,200",,
12,Italy,"5,164,780","+12,527","134,551 ",+79,"4,775,676","+7,098","254,553",811,"85,603","2,230","124,209,339","2,058,687","60,334,252 ",Europe,124480,208,1,"4,219",,
13,Colombia,"5,086,381",,"128,929 ",,"4,927,104",,"30,348",342,"98,458","2,496","28,478,384","551,261","51,660,442 ",South America,104012,,,587,,
14,Indonesia,"4,258,560",+220,"143,918 ",+9,"4,109,364",+296,"5,278",,"15,337",518,"57,287,944","206,316","277,670,368 ",Asia,"651,9295",0.8,0.03,19,,
15,Mexico,"3,908,534","+3,215","295,893 ",+292,"3,264,585","+2,163","348,056","4,798","29,865","2,261","12,000,517","91,695","130,874,890 ",North America,3344211,25,2,"2,659",,
16,Poland,"3,760,048","+27,458","87,357 ",+562,"3,211,558","+16,827","461,133","2,053","99,506","2,312","25,322,586","670,138","37,787,133 ",Europe,104331,727,15,"12,203",,
17,Ukraine,"3,532,357","+12,376","89,901 ",+465,"3,133,970","+24,547","308,486",177,"81,472","2,074","16,199,355","373,630","43,356,666 ",Europe,124823,285,11,"7,115",,
18,South Africa,"3,093,452","+22,388","90,060 ",+22,"2,870,329","+2,363","133,063",546,"51,233","1,492","19,988,045","331,034","60,380,554 ",Africa,206703,371,0.4,"2,204",,
19,Philippines,"2,835,996",+562,"49,936 ",+176,"2,773,891",+882,"12,169",899,"25,396",447,"24,522,686","219,597","111,671,566 ",Asia,"392,2365",5,2,109,,
20,Netherlands,"2,828,655","+19,763","19,919 ",+77,"2,204,254","+11,210","604,482",645,"164,559","1,159","19,205,114","1,117,274","17,189,264 ",Europe,68631,"1,150",4,"35,166",,
21,Malaysia,"2,678,465","+5,446","30,787 ",+41,"2,586,822","+5,427","60,856",419,"81,263",934,"38,880,624","1,179,616","32,960,404 ",Asia,"121,0711",165,1,"1,846",,
22,Czechia,"2,298,441","+16,179","34,129 ",+47,"1,972,936",+493,"291,376","1,072","214,058","3,178","45,172,922","4,207,030","10,737,484 ",Europe,53150,"1,507",4,"27,136",,
23,Peru,"2,248,447",,"201,490 ",,N/A,N/A,N/A,987,"66,858","5,991","20,674,445","614,759","33,630,136 ",South America,151672,,,"9,702",,
24,Thailand,"2,156,587","+4,203","21,082 ",+49,"2,075,088","+7,939","60,417","1,369","30,786",301,"14,913,135","212,889","70,051,246 ",Asia,"323,3235",60,0.7,862,,
25,Iraq,"2,086,702",+510,"23,943 ",+12,"2,053,418",+762,"9,341",94,"50,264",577,"16,507,647","397,632","41,514,865 ",Asia,"201,7343",12,0.3,225,,
26,Belgium,"1,898,498","+18,714","27,416 ",+56,"1,403,052","+7,693","468,030",815,"162,794","2,351","25,571,605","2,192,734","11,661,974 ",Europe,64250,"1,605",5,"40,133",,
27,Canada,"1,821,890","+3,148","29,863 ",+11,"1,760,830","+1,850","31,197",497,"47,673",781,"49,600,916","1,297,887","38,216,668 ",North America,"211,2801",82,0.3,816,,
