#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
132,French Polynesia,"40,178",,635 ,,"33,500",,"6,043",12,"141,948","2,243","26,355","93,112","283,047 ",Australia/Oceania,744611,,,"21,350",,
133,Cabo Verde,"38,151",,349 ,,"37,524",,278,23,"67,651",619,"211,025","374,201","563,935 ",Africa,"151,6163",,,493,,
134,Laos,"37,751",+733,59 ,+3,"6,558",,"31,134",,"5,092",8,"616,667","83,171","7,414,455 ",Asia,"196125,66912",99,0.4,"4,199",,
135,Malta,"37,595",+15,460 ,,"36,524",+19,611,3,"84,847","1,038","1,211,456","2,734,096","443,092 ",Europe,129630,34,,"1,379",,
136,Mauritania,"37,032",,792 ,,"35,736",,504,22,"7,699",165,"484,600","100,745","4,810,167 ",Africa,"1306,07310",,,105,,
137,Guyana,"35,170",,899 ,,"30,933",,"3,338",23,"44,432","1,136","348,832","440,694","791,551 ",South America,238802,,,"4,217",,
138,Gabon,"34,898",,230 ,,"28,567",,"6,101",24,"15,208",100,"1,305,320","568,833","2,294,735 ",Africa,"669,9772",,,"2,659",,
139,Guinea,"30,647",+2,385 ,,"29,511",+10,751,24,"2,253",28,"565,705","41,594","13,600,567 ",Africa,"44435,32624",0.1,,55,,
140,Papua New Guinea,"28,487",+314,335 ,,"25,219",+717,"2,933",7,"3,107",37,"207,207","22,597","9,169,851 ",Australia/Oceania,"32227,37344",34,,320,,
141,Belize,"26,152",,482 ,,"22,957",,"2,713",10,"64,237","1,184","303,238","744,837","407,120 ",North America,168451,,,"6,664",,
142,Tanzania,"26,115",,725 ,,N/A,N/A,N/A,7,421,12,,,"61,967,997 ",Africa,"2,37385,473",,,407,,
143,Togo,"26,011",,242 ,,"25,474",,295,,"3,048",28,"543,576","63,698","8,533,655 ",Africa,"32835,26316",,,35,,
144,Benin,"24,749",+71,161 ,,"24,346",+375,242,5,"1,974",13,"604,310","48,190","12,540,234 ",Africa,"50777,89021",6,,19,,
145,Haiti,"23,619",,662 ,,"20,249",,"2,708",,"2,039",57,"120,507","10,402","11,585,458 ",North America,"49117,50196",,,234,,
146,Bahamas,"22,259",,642 ,,"20,261",,"1,356",15,"55,900","1,612","155,049","389,383","398,191 ",North America,186203,,,"3,405",,
147,Seychelles,"22,086",,119 ,,"21,747",,220,,"222,756","1,200","21,504","216,886","99,149 ",Africa,48335,,,"2,219",,
148,Lesotho,"21,598",,657 ,,"12,227",,"8,714",,"9,978",304,"234,404","108,289","2,164,610 ",Africa,"1003,2959",,,"4,026",,
149,Somalia,"21,269",,"1,180 ",,"9,927",,"10,162",,"1,291",72,"239,292","14,524","16,475,414 ",Africa,"77513,96269",,,617,,
150,Mayotte,"20,497",,182 ,,"2,964",,"17,351",,"72,823",647,"176,919","628,569","281,463 ",Africa,"141,5472",,,"61,646",,
151,Burundi,"19,954",+9,38 ,,773,,"19,143",,"1,615",3,"345,742","27,983","12,355,639 ",Africa,"619325,14836",0.7,,"1,549",,
152,Timor-Leste,"19,785",+7,121 ,,"19,608",+3,56,,"14,640",90,"169,501","125,421","1,351,460 ",Asia,"6811,1698",5,,41,,
153,Mauritius,"17,416",,160 ,,"1,854",,"15,402",,"13,664",126,"358,675","281,413","1,274,549 ",Africa,"737,9664",,,"12,084",,
154,Tajikistan,"17,086",,124 ,,"16,960",,2,,"1,740",13,,,"9,819,148 ",Asia,"57579,187",,,0.2,,
155,Curaçao,"17,027",,173 ,,"16,703",,151,4,"103,208","1,049","305,800","1,853,592","164,977 ",North America,109541,,,915,,
156,Congo,"16,868",,249 ,,"12,421",,"4,198",,"2,961",44,"188,207","33,039","5,696,509 ",Africa,"33822,87830",,,737,,
157,Nicaragua,"16,422",,207 ,,"4,225",,"11,990",,"2,441",31,,,"6,728,281 ",North America,"41032,504",,,"1,782",,
158,Taiwan,"16,388",+8,847 ,,"15,424",+4,117,,686,35,"7,327,671","306,937","23,873,571 ",Asia,"1,45728,1863",0.3,,5,,
159,Barbados,"16,033",,143 ,,"10,429",,"5,461",,"55,701",497,"378,335","1,314,398","287,839 ",North America,"182,0131",,,"18,972",,
160,Mali,"15,924",+45,561 ,+2,"14,606",+9,757,,758,27,"449,901","21,407","21,016,578 ",Africa,"1,32037,46347",2,0.10,36,,
161,Aruba,"15,848",,171 ,,"15,513",,164,7,"147,611","1,593","177,885","1,656,856","107,363 ",North America,76281,,,"1,528",,
162,Andorra,"15,462",+37,130 ,,"15,219",+14,113,4,"199,695","1,679","193,595","2,500,323","77,428 ",Europe,55960,478,,"1,459",,
163,Burkina Faso,"14,793",,214 ,,"14,287",,292,,683,10,"222,837","10,290","21,655,917 ",Africa,"1,464101,19697",,,13,,
164,Djibouti,"13,461",,181 ,,"13,215",,65,,"13,369",180,"234,424","232,817","1,006,902 ",Africa,"755,5634",,,65,,
165,Iceland,"13,313",+77,33 ,,"12,484",+57,796,1,"38,683",96,"1,130,767","3,285,585","344,160 ",Europe,"2610,4290",224,,"2,313",,
166,Equatorial Guinea,"13,236",,163 ,,"12,565",,508,1,"9,044",111,"238,486","162,960","1,463,460 ",Africa,"1118,9786",,,347,,
167,Channel Islands,"12,827",,99 ,,"12,135",,593,,"72,892",563,"1,001,746","5,692,612","175,973 ",Europe,"141,7780",,,"3,370",,
168,Brunei ,"12,710",+115,82 ,,"10,275",+228,"2,353",3,"28,691",185,"487,898","1,101,365","442,994 ",Asia,"355,4021",260,,"5,312",,
169,Saint Lucia,"12,465",,250 ,,"11,842",,373,6,"67,476","1,353","85,636","463,569","184,732 ",North America,157392,,,"2,019",,
170,Hong Kong,"12,336",+5,213 ,,"12,033",+4,90,,"1,628",28,"26,499,519","3,497,333","7,577,065 ",Asia,"61435,5730",0.7,,12,,
171,South Sudan,"12,293",,133 ,,"12,008",,152,2,"1,082",12,"247,059","21,736","11,366,444 ",Africa,"92585,46246",,,13,,
172,CAR,"11,518",,100 ,,"6,859",,"4,559",2,"2,331",20,"60,228","12,191","4,940,197 ",Africa,"42949,40282",,,923,,
173,New Caledonia,"10,768",+81,263 ,+2,55,,"10,450",28,"37,245",910,"42,756","147,888","289,111 ",Australia/Oceania,"271,0997",280,7,"36,145",,
174,Gambia,"9,959",,340 ,,"9,603",,16,3,"3,974",136,"103,948","41,483","2,505,809 ",Africa,"2527,37024",,,6,,
175,Yemen,"9,728",+17,"1,868 ",+10,"6,332",+23,"1,528",23,317,61,"265,253","8,643","30,689,226 ",Asia,"3,15516,429116",0.6,0.3,50,,
176,Isle of Man,"9,417",+90,57 ,,"8,492",,868,1,"109,978",666,"128,771","1,503,877","85,626 ",Europe,"91,5021","1,051",,"10,137",,
177,Eritrea,"6,800",+2,45 ,,"6,719",+2,36,,"1,883",12,"23,693","6,561","3,611,001 ",Africa,"53180,244152",0.6,,10,,
178,Sierra Leone,"6,396",,121 ,,"4,393",,"1,882",,781,15,"160,729","19,625","8,190,217 ",Africa,"1,28167,68851",,,230,,
179,Niger,"6,300",+40,211 ,+3,"5,954",+19,135,,248,8,"170,116","6,709","25,355,726 ",Africa,"4,025120,169149",2,0.1,5,,
180,Guinea-Bissau,"6,133",,141 ,,"5,492",,500,,"3,023",69,"102,067","50,301","2,029,112 ",Africa,"33114,39120",,,246,,
181,Gibraltar,"5,919",+15,98 ,,"5,646",+5,175,1,"175,753","2,910","382,855","11,368,104","33,678 ",Europe,63440,445,,"5,196",,
