#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"263,055,409","+33,301","5,233,145",+446,"237,529,683","+19,304","20,292,581","84,797","33,748",671.4,,,,All,,,,,,,
1,USA,"49,428,913",,"803,045 ",,"39,205,902",,"9,419,966","13,201","148,104","2,406","753,993,369","2,259,195","333,744,223 ",North America,74160,,,"28,225",,
2,India,"34,595,573",,"469,056 ",,"34,018,299",,"108,218","8,944","24,726",335,"641,303,848","458,349","1,399,161,383 ",Asia,"402,9832",,,77,,
3,Brazil,"22,094,459",,"614,754 ",,"21,321,631",,"158,074","8,318","102,912","2,863","63,776,166","297,057","214,693,373 ",South America,103493,,,736,,
4,UK,"10,228,772",,"144,969 ",,"9,062,561",,"1,021,242",916,"149,566","2,120","362,531,048","5,300,958","68,389,728 ",Europe,74720,,,"14,933",,
5,Russia,"9,636,881",,"275,193 ",,"8,329,253",,"1,032,435","2,300","65,996","1,885","224,900,000","1,540,170","146,022,882 ",Europe,155311,,,"7,070",,
6,Turkey,"8,795,588",,"76,842 ",,"8,326,381",,"392,365","1,405","102,728",897,"107,680,920","1,257,656","85,620,347 ",Asia,"101,1141",,,"4,583",,
7,France,"7,675,504",,"119,131 ",,"7,124,909",,"431,464","1,824","117,223","1,819","162,981,031","2,489,112","65,477,576 ",Europe,95500,,,"6,589",,
8,Iran,"6,117,445",,"129,830 ",,"5,883,470",,"104,145","3,334","71,540","1,518","38,439,240","449,527","85,510,446 ",Asia,146592,,,"1,218",,
9,Germany,"5,881,423",,"102,137 ",,"4,893,300",,"885,986","4,459","69,882","1,214","83,816,414","995,889","84,162,420 ",Europe,148241,,,"10,527",,
10,Argentina,"5,330,748",,"116,589 ",,"5,193,691",,"20,468",617,"116,439","2,547","26,222,843","572,784","45,781,390 ",South America,93932,,,447,,
11,Spain,"5,164,184",,"88,052 ",,"4,923,140",,"152,992",713,"110,392","1,882","66,213,858","1,415,420","46,780,367 ",Europe,95311,,,"3,270",,
12,Colombia,"5,069,644",,"128,528 ",,"4,909,572",,"31,544",342,"98,156","2,489","28,112,712","544,307","51,648,595 ",South America,104022,,,611,,
13,Italy,"5,028,547",,"133,828 ",,"4,700,449",,"194,270",683,"83,342","2,218","119,331,735","1,977,780","60,336,188 ",Europe,124511,,,"3,220",,
14,Indonesia,"4,256,409",,"143,830 ",,"4,104,657",,"7,922",,"15,332",518,"54,475,477","196,232","277,607,186 ",Asia,"651,9305",,,29,,
