#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"249,736,761","+416,413","5,050,899","+5,921","226,104,271","+285,609","18,581,591","76,126","32,039",648.0,,,,All,,,,,,,
1,USA,"47,247,809","+54,474","773,554 ",+970,"37,237,644","+43,533","9,236,611","11,649","141,627","2,319","708,036,041","2,122,368","333,606,597 ",North America,74310,163,3,"27,687",,
2,India,"34,333,199",+792,"459,880 ",+5,"33,716,632",+910,"156,687","8,944","24,555",329,"611,278,853","437,190","1,398,198,335 ",Asia,"413,0402",0.6,,112,,
3,Brazil,"21,849,137",,"608,715 ",,"21,047,296",,"193,126","8,318","101,820","2,837","63,776,166","297,205","214,586,201 ",South America,103533,,,900,,
4,UK,"9,241,916","+34,029","141,588 ",+193,"7,523,972","+31,497","1,576,356","1,034","135,186","2,071","338,310,440","4,948,631","68,364,447 ",Europe,74830,498,3,"23,058",,
5,Russia,"8,714,595","+40,735","244,447 ","+1,192","7,505,971","+28,605","964,177","2,300","59,681","1,674","211,800,000","1,450,502","146,018,452 ",Europe,175971,279,8,"6,603",,
6,Turkey,"8,178,901","+28,193","71,724 ",+198,"7,649,568","+32,201","457,609","1,405","95,597",838,"98,770,359","1,154,454","85,555,914 ",Asia,"101,1931",330,2,"5,349",,
7,France,"7,199,332","+8,998","117,875 ",+26,"6,967,425","+4,852","114,032","1,049","109,968","1,801","151,204,954","2,309,624","65,467,345 ",Europe,95550,137,0.4,"1,742",,
8,Iran,"5,973,457","+8,633","127,053 ",+132,"5,574,246","+13,295","272,158","3,732","69,919","1,487","35,834,817","419,444","85,434,078 ",Asia,146722,101,2,"3,186",,
9,Argentina,"5,293,989",,"116,055 ",,"5,160,163",,"17,771",606,"115,711","2,537","25,284,121","552,635","45,751,957 ",South America,93942,,,388,,
10,Spain,"5,025,639","+3,093","87,504 ",+27,"4,877,922","+1,408","60,213",386,"107,433","1,871","66,213,858","1,415,459","46,779,085 ",Europe,95351,66,0.6,"1,287",,
11,Colombia,"5,009,007",,"127,417 ",,"4,852,854",,"28,736",342,"97,055","2,469","26,952,495","522,233","51,610,090 ",South America,104052,,,557,,
