#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"255,072,442","+12,967","5,129,420",+140,"230,587,236","+11,975","19,355,786","78,038","32,723",658.1,,,,All,,,,,,,
1,USA,"48,161,377",,"786,268 ",,"38,139,928",,"9,235,181","11,412","144,338","2,356","725,352,987","2,173,863","333,670,117 ",North America,74240,,,"27,678",,
2,India,"34,456,401",,"463,852 ",,"33,861,756",,"130,793","8,944","24,636",332,"625,774,159","447,415","1,398,642,819 ",Asia,"413,0152",,,94,,
3,Brazil,"21,965,684",,"611,524 ",,"21,177,367",,"176,793","8,318","102,339","2,849","63,776,166","297,137","214,635,665 ",South America,103513,,,824,,
4,UK,"9,637,190",,"143,159 ",,"7,903,418",,"1,590,613",999,"140,944","2,094","348,362,751","5,094,802","68,376,115 ",Europe,74780,,,"23,263",,
5,Russia,"9,145,912",,"257,837 ",,"7,846,448",,"1,041,627","2,300","62,634","1,766","217,800,000","1,491,571","146,020,496 ",Europe,165661,,,"7,133",,
6,Turkey,"8,457,119",,"73,973 ",,"7,941,664",,"441,482","1,405","98,815",864,"102,663,917","1,199,546","85,585,652 ",Asia,"101,1571",,,"5,158",,
7,France,"7,310,664",,"118,271 ",,"7,022,023",,"170,370","1,049","111,661","1,806","151,204,954","2,309,457","65,472,067 ",Europe,95540,,,"2,602",,
8,Iran,"6,051,642",,"128,406 ",,"5,720,893",,"202,343","3,477","70,805","1,502","37,254,424","435,881","85,469,325 ",Asia,146662,,,"2,367",,
9,Argentina,"5,308,781",,"116,294 ",,"5,174,548",,"17,939",578,"116,000","2,541","25,717,039","561,930","45,765,541 ",South America,93942,,,392,,
10,Germany,"5,108,904",,"98,660 ",,"4,516,000",,"494,244","2,828","60,710","1,172","80,348,721","954,802","84,152,199 ",Europe,168531,,,"5,873",,
11,Spain,"5,061,045",,"87,745 ",,"4,896,670",,"76,630",427,"108,189","1,876","66,213,858","1,415,441","46,779,677 ",Europe,95331,,,"1,638",,
12,Colombia,"5,036,287",,"127,865 ",,"4,877,518",,"30,904",342,"97,550","2,477","27,465,596","531,992","51,627,862 ",South America,104042,,,599,,
13,Italy,"4,873,075",,"132,893 ",,"4,616,786",,"123,396",481,"80,761","2,202","111,735,792","1,851,783","60,339,575 ",Europe,124541,,,"2,045",,
14,Indonesia,"4,251,423",,"143,685 ",,"4,099,399",,"8,339",,"15,321",518,"50,682,476","182,642","277,496,618 ",Asia,"651,9315",,,30,,
15,Mexico,"3,847,243",+735,"291,241 ",+37,"3,211,986","+2,123","344,016","4,798","29,415","2,227","11,604,734","88,726","130,793,516 ",North America,3444911,6,0.3,"2,630",,
16,Ukraine,"3,244,749",,"77,985 ",,"2,664,373",,"502,391",177,"74,811","1,798","15,292,648","352,590","43,372,376 ",Europe,135563,,,"11,583",,
17,Poland,"3,230,634",,"79,161 ",,"2,827,027",,"324,446","1,270","85,490","2,095","23,113,362","611,633","37,789,615 ",Europe,124772,,,"8,586",,
18,South Africa,"2,926,348",,"89,504 ",,"2,820,030",,"16,814",546,"48,501","1,483","18,962,806","314,289","60,335,609 ",Africa,216743,,,279,,
19,Philippines,"2,819,341",,"45,808 ",,"2,748,069",,"25,464","1,253","25,267",411,"23,675,873","212,180","111,583,887 ",Asia,"402,4365",,,228,,
20,Malaysia,"2,556,865",,"29,769 ",,"2,461,780",,"65,316",545,"77,633",904,"36,005,549","1,093,215","32,935,479 ",Asia,"131,1061",,,"1,983",,
21,Netherlands,"2,334,472",,"18,785  ",,"2,028,926",,"286,761",376,"135,828","1,093","19,205,114","1,117,421","17,186,992 ",Europe,79151,,,"16,685",,
22,Peru,"2,215,373",,"200,672 ",,N/A,N/A,N/A,907,"65,929","5,972","19,664,890","585,221","33,602,521 ",South America,151672,,,"8,750",,
23,Iraq,"2,070,883",,"23,562 ",,"2,027,560",,"19,761",139,"49,948",568,"16,097,977","388,273","41,460,480 ",Asia,"201,7603",,,477,,
24,Thailand,"2,037,224","+6,524","20,197 ",+56,"1,925,643","+7,191","91,384","1,776","29,086",288,"14,913,135","212,921","70,040,747 ",Asia,"343,4685",93,0.8,"1,305",,
25,Czechia,"1,907,629",,"31,636 ",,"1,725,968",,"150,025",635,"177,680","2,947","42,055,310","3,917,116","10,736,293 ",Europe,63390,,,"13,974",,
26,Canada,"1,754,375",,"29,403 ",,"1,701,340",,"23,632",545,"45,930",770,"47,608,467","1,246,399","38,196,798 ",North America,"221,2991",,,619,,
27,Romania,"1,748,568",,"53,661 ",,"1,598,656",,"96,251","1,681","91,735","2,815","15,509,313","813,660","19,061,172 ",Europe,113551,,,"5,050",,
28,Chile,"1,730,456",,"38,005 ",,"1,632,745",,"59,706",599,"89,468","1,965","24,633,609","1,273,604","19,341,650 ",South America,115091,,,"3,087",,
29,Japan,"1,725,561",,"18,327 ",,"1,705,666",,"1,568",82,"13,701",146,"27,223,924","216,159","125,944,012 ",Asia,"736,8725",,,12,,
30,Bangladesh,"1,572,948",,"27,928 ",,"1,536,967",,"8,053","1,400","9,422",167,"10,634,254","63,700","166,943,330 ",Asia,"1065,97816",,,48,,
31,Belgium,"1,512,474",,"26,403 ",,"1,253,548",,"232,523",471,"129,726","2,265","23,022,800","1,974,689","11,658,949 ",Europe,84421,,,"19,944",,
32,Israel,"1,338,233",,"8,148 ",,"1,324,000",,"6,085",134,"143,495",874,"30,655,451","3,287,095","9,326,000 ",Asia,"71,1450",,,652,,
33,Pakistan,"1,280,092",,"28,618 ",,"1,228,848",,"22,626","1,101","5,645",126,"21,452,460","94,597","226,777,635 ",Asia,"1777,92411",,,100,,
34,Serbia,"1,218,423",,"10,951 ",,"1,114,763",,"92,709",267,"140,226","1,260","6,603,023","759,932","8,688,969 ",Europe,77931,,,"10,670",,
35,Sweden,"1,185,093",,"15,063 ",,"1,147,441",,"22,589",32,"116,348","1,479","13,485,270","1,323,928","10,185,805 ",Europe,96761,,,"2,218",,
36,Portugal,"1,110,155",,"18,274 ",,"1,053,609",,"38,272",80,"109,312","1,799","20,385,083","2,007,231","10,155,823 ",Europe,95560,,,"3,768",,
37,Vietnam,"1,045,397",,"23,270 ",,"870,997",,"151,130","4,101","10,609",236,"64,714,626","656,722","98,541,825 ",Asia,"944,2352",,,"1,534",,
38,Austria,"981,904",,"11,807 ",,"850,926",,"119,171",458,"108,175","1,301","104,177,857","11,477,098","9,077,021 ",Europe,97690,,,"13,129",,
39,Hungary,"966,167",,"32,336 ",,"827,237",,"106,594",545,"100,364","3,359","7,876,457","818,196","9,626,619 ",Europe,102981,,,"11,073",,
40,Cuba,"959,307",,"8,284 ",,"949,340",,"1,683",52,"84,766",732,"10,831,678","957,106","11,317,110 ",North America,"121,3661",,,149,,
41,Kazakhstan,"958,468",,"12,450 ",,"916,872",,"29,146",528,"50,221",652,"11,575,012","606,492","19,085,170 ",Asia,"201,5332",,,"1,527",,
42,Morocco,"948,391",,"14,747 ",,"930,379",,"3,265",347,"25,283",393,"10,279,270","274,030","37,511,430 ",Africa,"402,5444",,,87,,
43,Switzerland,"923,037",,"11,369 ",,"845,400",,"66,268",125,"105,591","1,301","12,199,175","1,395,533","8,741,591 ",Europe,97691,,,"7,581",,
44,Jordan,"898,682",,"11,279 ",,"855,172",,"32,231",743,"86,894","1,091","11,555,786","1,117,334","10,342,280 ",Asia,129171,,,"3,116",,
45,Greece,"847,188",,"16,923 ",,"750,538",,"79,727",547,"81,830","1,635","31,171,430","3,010,850","10,353,032 ",Europe,126120,,,"7,701",,
46,Nepal,"817,672",,"11,482 ",,"798,714",,"7,476",,"27,387",385,"4,520,580","151,413","29,856,019 ",Asia,"372,6007",,,250,,
47,Georgia,"791,115",,"11,140 ",,"727,184",,"52,791",,"198,841","2,800","10,952,279","2,752,771","3,978,638 ",Asia,53570,,,"13,269",,
48,UAE,"741,074",,"2,144 ",,"735,723",,"3,207",,"73,706",213,"97,258,646","9,673,127","10,054,520 ",Asia,"144,6900",,,319,,
49,Tunisia,"715,818",,"25,320 ",,"689,639",,859,58,"59,709","2,112","3,128,507","260,959","11,988,493 ",Africa,174734,,,72,,
50,Bulgaria,"662,739",,"26,676 ",,"524,401",,"111,662",767,"96,377","3,879","6,157,900","895,500","6,876,495 ",Europe,102581,,,"16,238",,
51,Lebanon,"654,068",,"8,596 ",,"625,313",,"20,159",186,"96,422","1,267","4,795,578","706,957","6,783,408 ",Asia,107891,,,"2,972",,
