#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"261,926,083","+157,693","5,220,328","+3,075","236,583,744","+196,522","20,122,011","83,757","33,603",669.7,,,,All,,,,,,,
1,USA,"49,099,590",,"799,414 ",,"38,880,081",,"9,420,095","12,539","147,122","2,395","748,524,599","2,242,880","333,733,637 ",North America,74170,,,"28,226",,
2,India,"34,580,832",,"468,790 ",,"34,008,183","+9,905","103,859","8,944","24,717",335,"640,291,325","457,649","1,399,087,302 ",Asia,"402,9842",,,74,,
3,Brazil,"22,080,906",,"614,314 ",,"21,293,314",,"173,278","8,318","102,853","2,861","63,776,166","297,068","214,685,129 ",South America,103493,,,807,,
4,UK,"10,146,915",,"144,775 ",,"8,985,054",,"1,017,086",925,"148,373","2,117","358,682,719","5,244,836","68,387,784 ",Europe,74720,,,"14,872",,
5,Russia,"9,604,233","+33,860","273,964 ","+1,209","8,295,811","+27,700","1,034,458","2,300","65,772","1,876","224,500,000","1,537,434","146,022,541 ",Europe,155331,232,8,"7,084",,
6,Turkey,"8,746,055",,"76,446 ",,"8,278,610",,"390,999","1,405","102,155",893,"106,962,684","1,249,339","85,615,390 ",Asia,"101,1201",,,"4,567",,
7,France,"7,620,048",,"118,894 ",,"7,100,787",,"400,367","1,563","116,378","1,816","162,981,031","2,489,142","65,476,789 ",Europe,95510,,,"6,115",,
8,Iran,"6,113,192","+4,310","129,711 ",+82,"5,873,441","+10,193","110,040","3,338","71,495","1,517","38,439,240","449,558","85,504,572 ",Asia,146592,50,1.0,"1,287",,
9,Germany,"5,782,961",,"101,411 ",,"4,852,800","+29,100","828,750","4,202","68,713","1,205","83,816,414","995,906","84,160,960 ",Europe,158301,,,"9,847",,
10,Argentina,"5,326,448",,"116,529 ",,"5,191,054",,"18,865",600,"116,351","2,545","26,132,048","570,829","45,779,126 ",South America,93932,,,412,,
11,Spain,"5,131,012",,"87,955 ",,"4,914,286",,"128,771",597,"109,683","1,880","66,213,858","1,415,423","46,780,268 ",Europe,95321,,,"2,753",,
12,Colombia,"5,065,373",,"128,437 ",,"4,905,431",,"31,505",342,"98,079","2,487","28,017,929","542,503","51,645,633 ",South America,104022,,,610,,
13,Italy,"5,007,818",,"133,674  ",,"4,687,701",,"186,443",638,"82,998","2,215","118,335,763","1,961,258","60,336,672 ",Europe,124511,,,"3,090",,
14,Indonesia,"4,256,112",+176,"143,819 ",+11,"4,104,333",+419,"7,960",,"15,332",518,"54,160,249","195,108","277,591,391 ",Asia,"651,9305",0.6,0.04,29,,
15,Mexico,"3,883,842","+1,050","293,897 ",+38,"3,240,521","+1,963","349,424","4,798","29,684","2,246","11,834,145","90,449","130,837,902 ",North America,3444511,8,0.3,"2,671",,
16,Poland,"3,520,961","+13,115","83,055 ",+18,"3,022,771","+22,459","415,135","1,820","93,176","2,198","24,289,149","642,770","37,788,261 ",Europe,114552,347,0.5,"10,986",,
17,Ukraine,"3,427,827","+5,804","85,414 ",+297,"2,920,714","+10,477","421,699",177,"79,048","1,970","15,832,613","365,111","43,363,807 ",Europe,135083,134,7,"9,725",,
18,South Africa,"2,961,406",,"89,797 ",,"2,847,771",,"23,838",546,"49,062","1,488","19,413,079","321,621","60,360,124 ",Africa,206723,,,395,,
19,Philippines,"2,832,375",+665,"48,501 ",+141,"2,767,585",+993,"16,289","1,023","25,372",434,"24,146,328","216,303","111,631,712 ",Asia,"392,3025",6,1,146,,
20,Malaysia,"2,623,816",,"30,309 ",,"2,527,052",,"66,455",511,"79,632",920,"37,558,312","1,139,890","32,949,075 ",Asia,"131,0871",,,"2,017",,
21,Netherlands,"2,599,579",,"19,317 ",,"2,096,621",,"483,641",546,"151,242","1,124","19,205,114","1,117,341","17,188,231 ",Europe,78901,,,"28,138",,
22,Peru,"2,234,075",,"201,108 ",,N/A,N/A,N/A,956,"66,456","5,982","20,249,074","602,336","33,617,584 ",South America,151672,,,"9,290",,
23,Czechia,"2,132,380","+9,292","32,929 ",+51,"1,835,044",+115,"264,407",947,"198,602","3,067","43,539,197","4,055,083","10,736,943 ",Europe,53260,865,5,"24,626",,
24,Thailand,"2,111,566","+4,753","20,732 ",+27,"2,013,021","+6,165","77,813","1,369","30,145",296,"14,913,135","212,903","70,046,474 ",Asia,"333,3795",68,0.4,"1,111",,
25,Iraq,"2,080,448",+826,"23,807 ",+14,"2,043,666","+1,367","12,975",103,"50,143",574,"16,320,352","393,355","41,490,144 ",Asia,"201,7433",20,0.3,313,,
26,Canada,"1,786,246",,"29,633 ",,"1,728,979",,"27,634",480,"46,751",776,"48,485,587","1,269,003","38,207,636 ",North America,"211,2891",,,723,,
27,Romania,"1,778,045","+1,096","56,382 ",+92,"1,683,204","+3,262","38,459","1,203","93,301","2,959","15,990,674","839,098","19,056,987 ",Europe,113381,58,5,"2,018",,
28,Chile,"1,759,405",,"38,313 ",,"1,652,422",,"68,670",676,"90,939","1,980","25,485,043","1,317,259","19,347,024 ",South America,115051,,,"3,549",,
29,Japan,"1,727,143",+73,"18,358 ",,"1,707,902",+144,883,43,"13,715",146,"27,821,836","220,929","125,931,373 ",Asia,"736,8605",0.6,,7,,
30,Belgium,"1,701,633",,"26,840 ",,"1,307,154",,"367,639",669,"145,930","2,302","24,287,332","2,082,855","11,660,599 ",Europe,74340,,,"31,528",,
31,Bangladesh,"1,576,011",+227,"27,980 ",+2,"1,540,597",+280,"7,434","1,382","9,437",168,"10,868,949","65,085","166,997,084 ",Asia,"1065,96815",1,0.01,45,,
32,Israel,"1,342,210",,"8,189 ",,"1,327,046",,"6,975",125,"143,921",878,"31,188,024","3,344,202","9,326,000 ",Asia,"71,1390",,,748,,
33,Pakistan,"1,284,365",+176,"28,709 ",,"1,241,761",,"13,895",946,"5,660",127,"21,913,668","96,571","226,918,495 ",Asia,"1777,90410",0.8,,61,,
34,Serbia,"1,250,393",,"11,588 ",,"1,185,545",,"53,260",209,"143,925","1,334","6,782,905","780,737","8,687,821 ",Europe,77501,,,"6,130",,
35,Vietnam,"1,224,110","+13,770","25,055 ",+173,"974,724","+16,088","224,331","6,413","12,419",254,"68,108,275","690,960","98,570,511 ",Asia,"813,9341",140,2,"2,276",,
36,Sweden,"1,198,848",,"15,113 ",,"1,158,200",+862,"25,535",41,"117,674","1,483","13,708,481","1,345,569","10,187,866 ",Europe,86741,,,"2,506",,
37,Austria,"1,151,809","+8,526","12,425 ",+37,"994,091","+11,799","145,293",619,"126,869","1,369","110,110,679","12,128,459","9,078,703 ",Europe,87310,939,4,"16,004",,
38,Portugal,"1,142,707",,"18,417 ",,"1,070,573",,"53,717",104,"112,528","1,814","21,165,845","2,084,308","10,154,853 ",Europe,95510,,,"5,290",,
39,Hungary,"1,096,718","+27,830","34,326 ",+460,"877,251","+14,717","185,141",538,"113,935","3,566","8,423,435","875,088","9,625,818 ",Europe,92801,"2,891",48,"19,234",,
40,Switzerland,"1,001,549","+2,508","11,505 ",+3,"860,263","+1,828","129,781",182,"114,546","1,316","12,351,333","1,412,604","8,743,663 ",Europe,97601,287,0.3,"14,843",,
41,Kazakhstan,"970,887",+795,"12,678 ",+11,"934,813",+827,"23,396",528,"50,852",664,"11,575,012","606,259","19,092,532 ",Asia,"201,5062",42,0.6,"1,225",,
42,Cuba,"962,220",,"8,300 ",,"952,938",,982,30,"85,025",733,"11,066,303","977,858","11,316,884 ",North America,"121,3631",,,87,,
43,Morocco,"949,732",,"14,774 ",,"931,985",,"2,973",347,"25,309",394,"10,416,645","277,586","37,525,770 ",Africa,"402,5404",,,79,,
44,Jordan,"943,305",,"11,551 ",,"880,572",,"51,182","1,028","91,179","1,117","12,057,798","1,165,500","10,345,598 ",Asia,118961,,,"4,947",,
45,Greece,"924,506",,"17,959 ",,"829,327",,"77,220",647,"89,312","1,735","35,624,841","3,441,558","10,351,371 ",Europe,115760,,,"7,460",,
46,Georgia,"840,593","+1,954","11,974 ",+47,"783,987","+4,477","44,632",,"211,290","3,010","11,506,875","2,892,347","3,978,387 ",Asia,53320,491,12,"11,219",,
47,Nepal,"821,121",+243,"11,524 ",+1,"802,653",+264,"6,944",,"27,487",386,"4,618,231","154,594","29,873,223 ",Asia,"362,5926",8,0.03,232,,
48,UAE,"741,976",+58,"2,146 ",,"736,862",+84,"2,968",,"73,767",213,"101,032,600","10,044,563","10,058,437 ",Asia,"144,6870",6,,295,,
49,Tunisia,"717,258",,"25,363 ",,"690,791",,"1,104",58,"59,809","2,115","3,169,379","264,279","11,992,545 ",Africa,174734,,,92,,
50,Bulgaria,"689,356",,"28,101 ",,"555,963",,"105,292",756,"100,273","4,088","6,513,142","947,395","6,874,790 ",Europe,102451,,,"15,316",,
51,Slovakia,"673,015","+5,054","14,341 ",+67,"549,171","+3,299","109,503",549,"123,187","2,625","4,563,162","835,229","5,463,364 ",Europe,83811,925,12,"20,043",,
52,Lebanon,"668,087",,"8,709 ",,"631,294",,"28,084",186,"98,503","1,284","4,795,578","707,061","6,782,411 ",Asia,107791,,,"4,141",,
53,Belarus,"653,323","+1,484","5,067 ",+13,"640,132","+1,288","8,124",,"69,172",536,"10,381,143","1,099,121","9,444,948 ",Europe,"141,8641",157,1,860,,
54,Guatemala,"617,610",,"15,928 ",,"600,034",,"1,648",5,"33,600",867,"3,110,368","169,214","18,381,240 ",North America,"301,1546",,,90,,
55,Croatia,"604,347","+1,031","10,826 ",+67,"563,630","+5,399","29,891",308,"148,502","2,660","3,437,227","844,606","4,069,620 ",Europe,73761,253,16,"7,345",,
56,Azerbaijan,"586,640",+857,"7,833 ",+26,"552,815","+1,091","25,992",,"57,134",763,"5,526,664","538,256","10,267,726 ",Asia,"181,3112",83,3,"2,531",,
57,Costa Rica,"566,560",,"7,287 ",,"543,875",,"15,398",92,"109,808","1,412","2,715,029","526,214","5,159,549 ",North America,97082,,,"2,984",,
58,Sri Lanka,"562,520",,"14,305 ",,"529,662",,"18,553",,"26,116",664,"5,640,979","261,889","21,539,591 ",Asia,"381,5064",,,861,,
59,Ireland,"560,054",,"5,652 ",,"436,646",,"117,756",117,"111,668","1,127","8,762,233","1,747,082","5,015,353 ",Europe,98871,,,"23,479",,
60,Saudi Arabia,"549,720",+25,"8,834 ",+1,"538,885",+29,"2,001",44,"15,452",248,"31,078,369","873,578","35,575,968 ",Asia,"654,0271",0.7,0.03,56,,
61,Bolivia,"536,472",+715,"19,161 ",+7,"491,946",+759,"25,365",220,"45,093","1,611","2,586,370","217,399","11,896,887 ",South America,226215,60,0.6,"2,132",,
62,Ecuador,"524,432",,"33,128 ",,"443,880",,"47,424",759,"29,103","1,838","1,991,800","110,535","18,019,649 ",South America,345449,,,"2,632",,
63,Myanmar,"521,561",,"19,088 ",,"496,081",,"6,392",,"9,496",348,"5,541,974","100,904","54,922,975 ",Asia,"1052,87710",,,116,,
64,Denmark,"483,253","+4,326","2,883 ",+11,"403,118",,"77,252",60,"83,020",495,"93,454,969","16,055,056","5,820,906 ",Europe,"122,0190",743,2,"13,271",,
65,Panama,"477,514",,"7,362 ",,"467,459",,"2,693",20,"108,274","1,669","4,229,187","958,947","4,410,239 ",North America,95991,,,611,,
66,Lithuania,"468,494",+584,"6,719 ",+23,"432,559",+374,"29,216",121,"175,546","2,518","6,118,609","2,292,655","2,668,788 ",Europe,63970,219,9,"10,947",,
67,Paraguay,"462,956",,"16,463 ",,"445,657",,836,41,"63,806","2,269","1,943,738","267,890","7,255,735 ",South America,164414,,,115,,
68,S. Korea,"444,200","+3,304","3,580 ",+32,"393,617","+1,306","47,003",629,"8,654",70,"15,804,065","307,884","51,331,289 ",Asia,"11614,3383",64,0.6,916,,
69,Venezuela,"430,696",,"5,138 ",,"417,831",,"7,727",681,"15,207",181,"3,359,014","118,599","28,322,512 ",South America,"665,5128",,,273,,
70,Palestine,"429,697",,"4,528 ",,"422,442",,"2,727",38,"81,568",860,"2,720,854","516,492","5,267,950 ",Asia,"121,1632",,,518,,
71,Slovenia,"418,410","+1,034","5,206 ",+18,"374,785","+1,801","38,419",193,"201,223","2,504","1,930,022","928,190","2,079,340 ",Europe,53991,497,9,"18,477",,
72,Kuwait,"413,266",,"2,465 ",,"410,575",,226,,"94,800",565,"5,268,253","1,208,494","4,359,355 ",Asia,"111,7691",,,52,,
73,Dominican Republic,"406,803",,"4,204 ",,"399,438",,"3,161",199,"36,979",382,"2,449,337","222,649","11,000,911 ",North America,"272,6174",,,287,,
74,Uruguay,"399,348",,"6,129 ",,"391,083",,"2,136",12,"114,404","1,756","4,090,729","1,171,903","3,490,672 ",South America,95701,,,612,,
75,Mongolia,"381,135",+190,"1,995 ",+5,"313,256",,"65,884",192,"113,687",595,"4,030,048","1,202,105","3,352,493 ",Asia,"91,6801",57,1,"19,652",,
76,Honduras,"377,888",,"10,403 ",,"120,308",,"247,177",59,"37,318","1,027","1,121,382","110,743","10,126,026 ",North America,279739,,,"24,410",,
77,Libya,"372,209",+638,"5,448 ",+10,"344,087","+2,364","22,674",,"53,153",778,"1,904,933","272,030","7,002,659 ",Africa,"191,2854",91,1,"3,238",,
78,Ethiopia,"371,262",,"6,740 ",,"348,799",,"15,723",233,"3,121",57,"3,860,277","32,450","118,961,845 ",Africa,"32017,65031",,,132,,
79,Moldova,"362,433",,"9,069 ",,"346,629",,"6,735",205,"90,140","2,256","2,196,983","546,409","4,020,764 ",Europe,114432,,,"1,675",,
80,Egypt,"356,718",,"20,347 ",,"296,167",,"40,204",90,"3,396",194,"3,693,367","35,159","105,046,372 ",Africa,"2945,16328",,,383,,
81,Armenia,"338,120",+189,"7,535 ",+21,"316,198","+1,072","14,387",,"113,805","2,536","2,360,218","794,409","2,971,038 ",Asia,93941,64,7,"4,842",,
82,Oman,"304,519",,"4,113 ",,"299,951",,455,7,"57,576",778,"25,000,000","4,726,826","5,288,961 ",Asia,"171,2860",,,86,,
83,Bahrain,"277,585",,"1,394 ",,"275,910",,281,2,"155,552",781,"7,367,419","4,128,523","1,784,517 ",Asia,"61,2800",,,157,,
84,Bosnia and Herzegovina,"272,798",,"12,456 ",,"192,218",,"68,124",,"83,884","3,830","1,385,921","426,164","3,252,085 ",Europe,122612,,,"20,948",,
85,Singapore,"262,383",,701 ,,"248,323",,"13,359",55,"44,358",119,"21,098,774","3,566,954","5,915,068 ",Asia,"238,4380",,,"2,258",,
