#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"243,680,228","+427,501","4,952,311","+7,171","220,817,592","+372,343","17,910,325","76,419","31,262",635.3,,,,All,,,,,,,
1,USA,"46,246,687","+66,605","755,497 ","+1,434","35,993,385","+95,344","9,497,805","14,018","138,657","2,265","678,946,215","2,035,622","333,532,490 ",North America,74410,200,4,"28,476",,
2,India,"34,158,772","+16,331","453,742 ",+666,"33,524,450","+17,633","180,580","8,944","24,440",325,"597,066,481","427,184","1,397,679,771 ",Asia,"413,0802",12,0.5,129,,
3,Brazil,"21,711,843","+14,502","605,139 ",+375,"20,885,484","+9,485","221,220","8,318","101,207","2,821","63,776,166","297,285","214,528,493 ",South America,103553,68,2,"1,031",,
4,UK,"8,689,949","+49,298","139,326 ",+180,"7,086,096","+28,510","1,464,527",892,"127,137","2,038","324,387,705","4,745,922","68,350,834 ",Europe,84910,721,3,"21,427",,
5,Russia,"8,168,305","+37,141","228,453 ","+1,064","7,117,060","+25,453","822,792","2,300","55,941","1,565","202,100,000","1,384,094","146,016,066 ",Europe,186391,254,7,"5,635",,
6,Turkey,"7,800,796","+28,192","68,700 ",+228,"7,231,922","+30,302","500,174",633,"91,215",803,"93,813,758","1,096,965","85,521,219 ",Asia,"111,2451",330,3,"5,849",,
7,France,"7,114,572","+6,366","117,440 ",+29,"6,905,904","+4,913","91,228","1,049","108,683","1,794","151,204,954","2,309,818","65,461,836 ",Europe,95570,97,0.4,"1,394",,
8,Iran,"5,844,589","+11,064","124,928 ",+165,"5,388,496","+13,021","331,165","4,422","68,443","1,463","32,619,228","381,990","85,392,956 ",Asia,156843,130,2,"3,878",,
9,Argentina,"5,278,910","+1,385","115,819 ",+23,"5,144,364","+1,294","18,727",739,"115,421","2,532","24,744,001","541,017","45,736,108 ",South America,93952,30,0.5,409,,
10,Spain,"4,997,732","+2,556","87,132 ",+30,"4,848,432","+1,976","62,168",435,"106,838","1,863","66,213,858","1,415,479","46,778,395 ",Europe,95371,55,0.6,"1,329",,
11,Colombia,"4,988,021","+1,772","126,994 ",+35,"4,832,049","+1,303","28,978",342,"96,687","2,462","26,451,223","512,726","51,589,357 ",South America,104062,34,0.7,562,,
12,Italy,"4,733,557","+3,882","131,763 ",+39,"4,528,065","+3,861","73,729",343,"78,440","2,183","100,153,800","1,659,663","60,345,866 ",Europe,134581,64,0.6,"1,222",,
13,Germany,"4,455,400","+8,543","95,794 ",+41,"4,192,000","+9,200","167,606","1,336","52,956","1,139","73,348,901","871,819","84,133,217 ",Europe,198781,102,0.5,"1,992",,
14,Indonesia,"4,238,594",+760,"143,153 ",+33,"4,080,351","+1,231","15,090",,"15,286",516,"44,580,411","160,771","277,291,276 ",Asia,"651,9376",3,0.1,54,,
15,Mexico,"3,772,556","+4,798","285,669 ",+322,"3,133,267","+3,723","353,620","4,798","28,865","2,186","11,158,446","85,376","130,697,346 ",North America,3545812,37,2,"2,706",,
16,Poland,"2,961,923","+5,706","76,359 ",+59,"2,681,591","+1,767","203,973",353,"78,373","2,020","21,758,129","575,725","37,792,548 ",Europe,134952,151,2,"5,397",,
17,South Africa,"2,918,883",+517,"88,891 ",+56,"2,810,740",+424,"19,252",546,"48,420","1,475","18,314,612","303,813","60,282,494 ",Africa,216783,9,0.9,319,,
18,Philippines,"2,745,889","+5,823","41,520 ",+283,"2,637,531","+4,748","66,838","3,194","24,631",372,"22,430,739","201,208","111,480,268 ",Asia,"412,6855",52,3,600,,
19,Ukraine,"2,725,385","+23,785","63,003 ",+614,"2,361,365","+8,530","301,017",177,"62,810","1,452","13,854,545","319,296","43,390,942 ",Europe,166893,548,14,"6,937",,
20,Malaysia,"2,420,222","+6,630","28,312 ",+78,"2,311,213","+7,630","80,697",643,"73,550",860,"33,158,632","1,007,677","32,906,021 ",Asia,"141,1621",201,2,"2,452",,
21,Peru,"2,193,089",,"199,978 ",,N/A,N/A,N/A,874,"65,329","5,957","18,683,017","556,541","33,569,884 ",South America,151682,,,"8,116",,
22,Netherlands,"2,070,597","+5,868","18,290 ",+10,"1,971,525","+1,893","80,782",174,"120,493","1,064","17,790,280","1,035,263","17,184,306 ",Europe,89401,341,0.6,"4,701",,
23,Iraq,"2,043,963","+1,846","22,901 ",+26,"1,982,232","+2,669","38,830",225,"49,376",553,"15,645,551","377,946","41,396,206 ",Asia,"201,8083",45,0.6,938,,
24,Thailand,"1,831,389","+9,810","18,625 ",+66,"1,710,447","+10,513","102,317","2,728","26,152",266,"9,201,621","131,399","70,028,340 ",Asia,"383,7608",140,0.9,"1,461",,
25,Czechia,"1,722,446","+3,638","30,593 ",+3,"1,665,000",+41,"26,853",119,"160,453","2,850","39,680,356","3,696,393","10,734,886 ",Europe,63510,339,0.3,"2,501",,
26,Japan,"1,716,088",+345,"18,173 ",+16,"1,691,688",+642,"6,227",217,"13,623",144,"26,021,893","206,570","125,971,395 ",Asia,"736,9325",3,0.1,49,,
27,Canada,"1,694,095",+926,"28,687 ",+20,"1,636,245",+952,"29,163",765,"44,379",751,"45,394,437","1,189,167","38,173,316 ",North America,"231,3311",24,0.5,764,,
