#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"253,110,164","+453,386","5,102,169","+6,082","228,932,116","+362,466","19,075,879","77,020","32,472",654.6,,,,All,,,,,,,
1,USA,"47,770,635","+53,129","782,170 ",+649,"37,808,280","+59,296","9,180,185","11,322","143,179","2,344","718,661,946","2,153,981","333,643,650 ",North America,74270,159,2,"27,515",,
2,India,"34,414,609",+423,"462,893 ",+203,"33,814,080","+13,155","137,636","8,944","24,609",331,"621,067,350","444,109","1,398,457,617 ",Asia,"413,0212",0.3,0.1,98,,
3,Brazil,"21,939,196","+12,670","610,491 ",+168,"21,138,584","+8,202","190,121","8,318","102,226","2,845","63,776,166","297,165","214,615,055 ",South America,103523,59,0.8,886,,
4,UK,"9,487,302","+40,375","142,678 ",+145,"7,758,625","+29,313","1,585,999",999,"138,762","2,087","344,837,715","5,043,607","68,371,254 ",Europe,74790,591,2,"23,197",,
5,Russia,"8,992,595","+40,123","252,926 ","+1,235","7,720,962","+33,645","1,018,707","2,300","61,585","1,732","215,600,000","1,476,514","146,019,644 ",Europe,165771,275,8,"6,977",,
6,Turkey,"8,363,959","+23,637","73,127 ",+217,"7,843,155","+25,164","447,677","1,405","97,740",855,"101,262,402","1,183,342","85,573,261 ",Asia,"101,1701",276,3,"5,232",,
7,France,"7,260,503","+3,860","118,121 ",+48,"7,002,790","+6,274","139,592","1,049","110,898","1,804","151,204,954","2,309,527","65,470,099 ",Europe,95540,59,0.7,"2,132",,
8,Iran,"6,027,269","+7,322","127,918 ",+109,"5,670,656","+14,209","228,695","3,582","70,532","1,497","36,829,133","430,979","85,454,638 ",Asia,146682,86,1,"2,676",,
9,Argentina,"5,304,059","+1,614","116,222 ",+13,"5,169,697","+1,149","18,140",617,"115,911","2,540","25,589,359","559,209","45,759,881 ",South America,93942,35,0.3,396,,
10,Spain,"5,047,156","+4,353","87,673 ",+26,"4,889,801","+1,247","69,682",394,"107,893","1,874","66,213,858","1,415,448","46,779,430 ",Europe,95341,93,0.6,"1,490",,
11,Colombia,"5,026,822","+2,559","127,721 ",+41,"4,868,397","+1,930","30,704",342,"97,380","2,474","27,307,446","529,004","51,620,457 ",South America,104042,50,0.8,595,,
12,Germany,"4,974,112","+48,184","98,050 ",+228,"4,450,200","+17,600","425,862","2,616","59,111","1,165","77,993,513","926,855","84,148,549 ",Europe,178581,573,3,"5,061",,
13,Italy,"4,843,957","+8,516","132,686 ",+68,"4,600,612","+4,715","110,659",445,"80,277","2,199","109,816,293","1,819,935","60,340,785 ",Europe,124551,141,1,"1,834",,
14,Indonesia,"4,250,157",+399,"143,628 ",+20,"4,097,224",+560,"9,305",,"15,318",518,"49,638,862","178,906","277,457,129 ",Asia,"651,9326",1,0.07,34,,
15,Mexico,"3,838,308","+3,493","290,630 ",+256,"3,200,268","+2,210","347,410","4,798","29,350","2,222","11,546,549","88,293","130,775,022 ",North America,3445011,27,2,"2,657",,
16,Ukraine,"3,179,577","+24,058","75,607 ",+750,"2,594,679","+21,941","509,291",177,"73,303","1,743","15,128,821","348,784","43,375,946 ",Europe,145743,555,17,"11,741",,
17,Poland,"3,175,769","+12,965","78,555 ",+31,"2,774,179","+9,828","323,035","1,063","84,037","2,079","22,948,661","607,265","37,790,179 ",Europe,124812,343,0.8,"8,548",,
18,South Africa,"2,925,371",+393,"89,469 ",+17,"2,819,307",+177,"16,595",546,"48,493","1,483","18,865,934","312,736","60,325,395 ",Africa,216743,7,0.3,275,,
19,Philippines,"2,813,115","+1,894","45,035 ",+170,"2,738,975","+1,421","29,105","1,292","25,215",404,"23,471,922","210,390","111,563,960 ",Asia,"402,4775",17,2,261,,
20,Malaysia,"2,535,338","+6,517","29,576 ",+41,"2,441,485","+6,026","64,277",543,"76,992",898,"35,527,222","1,078,877","32,929,814 ",Asia,"131,1131",198,1,"1,952",,
21,Netherlands,"2,269,235","+16,204","18,695 ",+32,"2,014,342","+3,690","236,198",345,"132,036","1,088","18,498,260","1,076,327","17,186,475 ",Europe,89191,943,2,"13,743",,
22,Peru,"2,211,366",,"200,554 ",,N/A,N/A,N/A,883,"65,822","5,970","19,503,585","580,529","33,596,244 ",South America,151682,,,"8,636",,
23,Iraq,"2,067,797",+892,"23,471 ",+26,"2,022,308","+1,452","22,018",151,"49,889",566,"16,033,442","386,832","41,448,119 ",Asia,"201,7663",22,0.6,531,,
24,Thailand,"2,004,274","+7,305","19,934 ",+51,"1,888,536","+7,900","95,804","1,997","28,617",285,"14,913,135","212,928","70,038,361 ",Asia,"353,5145",104,0.7,"1,368",,
25,Czechia,"1,866,969","+10,395","31,355 ",+28,"1,704,732",+169,"130,882",542,"173,898","2,921","41,663,191","3,880,691","10,736,023 ",Europe,63420,968,3,"12,191",,
26,Canada,"1,743,329","+1,746","29,274 ",+8,"1,689,217","+1,389","24,838",545,"45,646",766,"47,095,842","1,233,125","38,192,283 ",North America,"221,3051",46,0.2,650,,
27,Romania,"1,735,277","+4,844","52,513 ",+286,"1,556,403","+13,742","126,361","1,733","91,029","2,755","15,365,756","806,055","19,062,915 ",Europe,113631,254,15,"6,629",,
28,Japan,"1,724,938",+216,"18,323 ",+5,"1,704,821",+220,"1,794",87,"13,695",145,"27,039,631","214,687","125,949,278 ",Asia,"736,8745",2,0.04,14,,
29,Chile,"1,721,025","+2,940","37,936 ",+19,"1,626,808",+711,"56,281",582,"88,991","1,962","24,348,680","1,259,019","19,339,411 ",South America,115101,152,1.0,"2,910",,
30,Bangladesh,"1,572,127",+221,"27,912 ",+5,"1,536,111",+219,"8,104","1,400","9,418",167,"10,562,704","63,280","166,920,933 ",Asia,"1065,98016",1,0.03,49,,
31,Belgium,"1,463,548",,"26,261 ",,"1,238,392",,"198,895",434,"125,537","2,253","22,637,121","1,941,723","11,658,262 ",Europe,84441,,,"17,060",,
32,Israel,"1,336,587",+303,"8,140 ",+2,"1,321,957",+178,"6,490",149,"143,318",873,"30,392,264","3,258,875","9,326,000 ",Asia,"71,1460",32,0.2,696,,
33,Pakistan,"1,279,142",+391,"28,584 ",+9,"1,227,228",+322,"23,330","1,158","5,642",126,"21,318,930","94,032","226,718,944 ",Asia,"1777,93211",2,0.04,103,,
34,Serbia,"1,204,902","+3,822","10,722 ",+67,"1,087,614",,"106,566",276,"138,663","1,234","6,542,905","752,971","8,689,448 ",Europe,78101,440,8,"12,264",,
35,Sweden,"1,182,471",,"15,051 ",,"1,146,208",+791,"21,212",37,"116,100","1,478","13,398,797","1,315,549","10,184,947 ",Europe,96771,,,"2,083",,
36,Portugal,"1,104,189","+1,751","18,234 ",+3,"1,049,731",+774,"36,224",65,"108,720","1,795","20,283,015","1,997,101","10,156,228 ",Europe,95571,172,0.3,"3,567",,
37,Vietnam,"1,009,879","+8,982","22,930 ",+81,"856,211","+10,263","130,738","3,515","10,249",233,"63,675,966","646,261","98,529,873 ",Asia,"984,2972",91,0.8,"1,327",,
38,Cuba,"958,097",+362,"8,279 ",+1,"947,716",+390,"2,102",58,"84,658",732,"10,757,182","950,516","11,317,204 ",North America,"121,3671",32,0.09,186,,
39,Kazakhstan,"954,146","+1,260","12,377 ",+28,"910,246","+2,120","31,523",528,"50,002",649,"11,575,012","606,590","19,082,103 ",Asia,"201,5422",66,1,"1,652",,
40,Morocco,"948,025",+123,"14,737 ",+3,"929,775",+164,"3,513",347,"25,277",393,"10,239,800","273,022","37,505,455 ",Africa,"402,5454",3,0.08,94,,
41,Hungary,"939,784","+8,370","31,867 ",+116,"818,336","+2,491","89,581",509,"97,620","3,310","7,752,519","805,293","9,626,953 ",Europe,103021,869,12,"9,305",,
42,Austria,"934,948","+11,798","11,641 ",+40,"824,590","+5,725","98,717",436,"103,010","1,283","102,608,572","11,305,084","9,076,321 ",Europe,107800,"1,300",4,"10,876",,
43,Switzerland,"909,034","+3,922","11,333 ",+4,"841,810","+2,134","55,891",114,"104,000","1,297","12,070,902","1,380,995","8,740,728 ",Europe,107711,449,0.5,"6,394",,
44,Jordan,"888,435","+2,393","11,197 ",+14,"848,599","+1,440","28,639",678,"85,915","1,083","11,406,268","1,103,025","10,340,897 ",Asia,129241,231,1,"2,769",,
45,Greece,"821,900","+6,832","16,616 ",+56,"725,610","+2,655","79,674",508,"79,382","1,605","29,730,254","2,871,455","10,353,724 ",Europe,136230,660,5,"7,695",,
46,Nepal,"816,415",+355,"11,469 ",+3,"797,448",+389,"7,498",,"27,352",384,"4,493,288","150,535","29,848,850 ",Asia,"372,6037",12,0.1,251,,
47,Georgia,"775,826","+4,445","10,816 ",+77,"708,820","+3,508","56,190",,"194,993","2,718","10,784,444","2,710,516","3,978,742 ",Asia,53680,"1,117",19,"14,123",,
48,UAE,"740,801",+72,"2,142 ",,"735,362",+92,"3,297",,"73,690",213,"96,455,654","9,594,820","10,052,888 ",Asia,"144,6930",7,,328,,
49,Tunisia,"715,489",,"25,298 ",,"689,201",,990,58,"59,690","2,110","3,112,309","259,645","11,986,805 ",Africa,174744,,,83,,
50,Bulgaria,"650,063",,"25,950 ",,"510,884",,"113,229",760,"94,524","3,773","6,005,759","873,285","6,877,206 ",Europe,112651,,,"16,464",,
51,Lebanon,"649,696",,"8,566 ",,"622,384",,"18,746",200,"95,771","1,263","4,780,275","704,658","6,783,824 ",Asia,107921,,,"2,763",,
52,Belarus,"623,628","+1,939","4,820 ",+15,"602,070","+2,577","16,738",,"66,027",510,"9,984,551","1,057,115","9,445,092 ",Europe,"151,9601",205,2,"1,772",,
53,Guatemala,"609,136",+829,"15,675 ",+48,"590,601",+908,"2,860",5,"33,167",853,"2,999,570","163,323","18,365,825 ",North America,"301,1726",45,3,156,,
54,Costa Rica,"563,924",,"7,190 ",,"522,460",,"34,274",174,"109,343","1,394","2,575,363","499,354","5,157,390 ",North America,97172,,,"6,646",,
55,Azerbaijan,"556,430","+2,334","7,397 ",+25,"518,105","+2,092","30,928",,"54,215",721,"5,334,410","519,746","10,263,485 ",Asia,"181,3882",227,2,"3,013",,
56,Saudi Arabia,"549,148",+45,"8,810 ",+1,"538,160",+60,"2,178",53,"15,447",248,"30,799,682","866,358","35,550,768 ",Asia,"654,0351",1,0.03,61,,
57,Sri Lanka,"548,784",+723,"13,950 ",+23,"523,122",+333,"11,712",,"25,483",648,"5,500,800","255,430","21,535,431 ",Asia,"391,5444",34,1,544,,
58,Slovakia,"547,052","+6,843","13,446 ",+41,"461,190","+4,549","72,416",458,"100,133","2,461","4,176,937","764,553","5,463,242 ",Europe,104061,"1,253",8,"13,255",,
59,Croatia,"528,286","+6,449","9,774 ",+53,"478,666","+4,639","39,846",251,"129,775","2,401","3,246,065","797,404","4,070,790 ",Europe,84161,"1,584",13,"9,788",,
60,Bolivia,"521,518",+965,"18,998 ",+13,"481,256",+367,"21,264",220,"43,864","1,598","2,563,530","215,613","11,889,490 ",South America,236265,81,1,"1,788",,
61,Ecuador,"519,560",,"32,989 ",,"443,880",,"42,691",759,"28,853","1,832","1,917,796","106,502","18,007,198 ",South America,355469,,,"2,371",,
62,Myanmar,"511,717",+992,"18,899 ",+17,"482,877",+870,"9,941",,"9,320",344,"5,161,295","94,002","54,906,061 ",Asia,"1072,90511",18,0.3,181,,
63,Ireland,"490,001","+5,478","5,566 ",,"403,966","+2,059","80,469",96,"97,750","1,110","8,413,838","1,678,473","5,012,793 ",Europe,109011,"1,093",,"16,053",,
64,Panama,"474,002",,"7,338 ",,"465,082",,"1,582",49,"107,555","1,665","4,123,363","935,622","4,407,082 ",North America,96011,,,359,,
65,Paraguay,"461,574",,"16,273 ",,"444,835",,466,43,"63,651","2,244","1,915,725","264,177","7,251,666 ",South America,164464,,,64,,
66,Lithuania,"439,373","+2,641","6,271 ",+14,"394,809","+2,375","38,293",144,"164,526","2,348","5,812,118","2,176,384","2,670,539 ",Europe,64260,989,5,"14,339",,
67,Palestine,"426,523",+247,"4,479 ",+4,"418,676",+277,"3,368",50,"81,051",851,"2,675,081","508,336","5,262,428 ",Asia,"121,1752",47,0.8,640,,
68,Denmark,"417,151","+4,585","2,753 ",+4,"382,477","+1,776","31,921",43,"71,676",473,"88,245,485","15,162,556","5,819,961 ",Europe,"142,1140",788,0.7,"5,485",,
69,Venezuela,"417,120",,"5,005 ",,"402,954",,"9,161",681,"14,726",177,"3,359,014","118,583","28,326,238 ",South America,"685,6608",,,323,,
70,Kuwait,"412,960",+24,"2,462 ",,"410,208",+23,290,4,"94,793",565,"5,027,131","1,153,959","4,356,420 ",Asia,"111,7691",6,,67,,
71,Uruguay,"395,964",,"6,097 ",,"387,842",,"2,025",16,"113,453","1,747","3,936,990","1,128,041","3,490,114 ",South America,95721,,,580,,
72,Dominican Republic,"393,383","+1,160","4,165 ",+7,"385,107",+927,"4,111",250,"35,776",379,"2,308,089","209,905","10,995,862 ",North America,"282,6405",105,0.6,374,,
73,S. Korea,"390,719","+2,368","3,051 ",+18,"356,615","+1,601","31,053",475,"7,612",59,"15,804,065","307,896","51,329,246 ",Asia,"13116,8243",46,0.4,605,,
74,Honduras,"376,841",+79,"10,350 ",+9,"117,817",+448,"248,674",95,"37,242","1,023","1,105,251","109,229","10,118,704 ",North America,279789,8,0.9,"24,576",,
75,Slovenia,"372,109","+3,431","4,899 ",+14,"326,310","+2,501","40,900",137,"178,956","2,356","1,819,715","875,146","2,079,327 ",Europe,64241,"1,650",7,"19,670",,
76,Mongolia,"371,199",+875,"1,859 ",+9,"313,256",,"56,084",192,"110,804",555,"4,030,048","1,202,986","3,350,038 ",Asia,"91,8021",261,3,"16,741",,
77,Ethiopia,"368,346",+240,"6,601 ",+18,"344,113",+215,"17,632",318,"3,100",56,"3,767,231","31,703","118,829,177 ",Africa,"32318,00232",2,0.2,148,,
78,Libya,"364,076",+593,"5,275 ",+17,"314,829","+1,739","43,972",,"52,023",754,"1,840,509","262,993","6,998,319 ",Africa,"191,3274",85,2,"6,283",,
79,Moldova,"351,940","+1,243","8,391 ",+68,"331,024","+1,112","12,525",270,"87,521","2,087","2,109,789","524,667","4,021,198 ",Europe,114792,309,17,"3,115",,
80,Egypt,"341,188",,"19,309 ",,"285,615",,"36,264",90,"3,251",184,"3,693,367","35,189","104,956,587 ",Africa,"3085,43628",,,346,,
81,Armenia,"326,830","+1,309","6,937 ",+70,"289,900","+2,044","29,993",,"110,015","2,335","2,227,063","749,655","2,970,782 ",Asia,94281,441,24,"10,096",,
82,Oman,"304,410",,"4,113 ",,"299,810",,487,10,"57,622",779,"25,000,000","4,732,240","5,282,910 ",Asia,"171,2840",,,92,,
83,Bahrain,"277,184",+19,"1,393  ",,"275,525",+40,266,3,"155,568",782,"7,110,383","3,990,665","1,781,754 ",Asia,"61,2790",11,,149,,
84,Bosnia and Herzegovina,"263,587",+681,"11,962 ",+40,"192,218",,"59,407",,"81,028","3,677","1,343,252","412,924","3,253,027 ",Europe,122722,209,12,"18,262",,
85,Kenya,"254,215",+64,"5,316 ",+1,"247,574",+47,"1,325",31,"4,590",96,"2,761,828","49,871","55,379,723 ",Africa,"21810,41820",1,0.02,24,,
86,Qatar,"240,828",+123,611 ,,"238,575",+75,"1,642",13,"85,771",218,"2,896,118","1,031,453","2,807,805 ",Asia,"124,5951",44,,585,,
87,Latvia,"238,153","+1,388","3,683 ",+37,"208,532","+2,855","25,938",237,"128,191","1,982","5,165,347","2,780,370","1,857,791 ",Europe,85040,747,20,"13,962",,
88,Singapore,"230,077",,548 ,,"205,004",,"24,525",70,"38,911",93,"21,098,774","3,568,241","5,912,934 ",Asia,"2610,7900",,,"4,148",,
89,Norway,"225,191",+889,950 ,+2,"88,952",,"135,289",50,"41,101",173,"8,314,890","1,517,618","5,478,909 ",Europe,"245,7671",162,0.4,"24,693",,
90,Nigeria,"212,947",,"2,933 ",,"205,000",,"5,014",11,999,14,"3,340,313","15,677","213,075,104 ",Africa,"1,00172,64764",,,24,,
91,Estonia,"210,542","+1,039","1,662 ",+12,"181,537","+1,251","27,343",57,"158,571","1,252","2,233,695","1,682,317","1,327,749 ",Europe,67991,783,9,"20,594",,
92,Zambia,"209,963",+10,"3,664 ",,"206,142",+23,157,11,"11,003",192,"2,651,728","138,961","19,082,544 ",Africa,"915,2087",0.5,,8,,
93,North Macedonia,"208,467",+469,"7,307 ",+13,"192,745",+375,"8,415",,"100,068","3,507","1,421,951","682,561","2,083,258 ",Europe,102851,225,6,"4,039",,
94,Algeria,"207,764",+140,"5,971 ",+5,"142,566",+81,"59,227",16,"4,624",133,"230,861","5,139","44,926,916 ",Africa,"2167,524195",3,0.1,"1,318",,
95,Botswana,"193,701",,"2,411 ",,"190,577",,713,1,"80,170",998,"1,838,690","761,009","2,416,122 ",Africa,"121,0021",,,295,,
96,Albania,"192,013",+573,"2,983 ",+5,"180,687",+458,"8,343",3,"66,822","1,038","1,344,328","467,833","2,873,519 ",Europe,159632,199,2,"2,903",,
97,Uzbekistan,"189,186",+294,"1,351 ",+2,"185,301",+274,"2,534",23,"5,543",40,"1,377,915","40,374","34,128,562 ",Asia,"18025,26225",9,0.06,74,,
98,Australia,"187,041","+1,414","1,873 ",+11,"165,270",,"19,898",116,"7,221",72,"45,231,556","1,746,243","25,902,208 ",Australia/Oceania,"13813,8291",55,0.4,768,,
99,Kyrgyzstan,"182,197",+107,"2,699 ",+2,"176,615",+105,"2,883",131,"27,314",405,"1,793,298","268,841","6,670,475 ",Asia,"372,4714",16,0.3,432,,
100,Finland,"167,119",,"1,216 ",,"46,000",,"119,903",31,"30,098",219,"7,632,874","1,374,689","5,552,436 ",Europe,"334,5661",,,"21,595",,
101,Afghanistan,"156,487",+29,"7,292 ",,"129,049",+2,"20,146","1,124","3,901",182,"778,835","19,413","40,118,811 ",Asia,"2565,50252",0.7,,502,,
102,Mozambique,"151,414",+4,"1,934 ",,"149,350",+1,130,32,"4,667",60,"956,433","29,480","32,443,594 ",Africa,"21416,77534",0.1,,4,,
103,Montenegro,"151,272",+479,"2,194 ",+9,"143,484",+641,"5,594",51,"240,812","3,493","862,854","1,373,591","628,174 ",Europe,42861,763,14,"8,905",,
104,Zimbabwe,"133,329",,"4,694 ",,"128,231",,404,12,"8,797",310,"1,538,881","101,529","15,157,031 ",Africa,"1143,22910",,,27,,
105,Ghana,"130,649",,"1,206 ",,"128,331",,"1,112",12,"4,089",38,"1,916,587","59,980","31,953,879 ",Africa,"24526,49617",,,35,,
106,Namibia,"129,027",,"3,565 ",,"125,287",,175,,"49,560","1,369","762,953","293,057","2,603,426 ",Africa,207303,,,67,,
107,Uganda,"126,833",+70,"3,236 ",+2,"96,978",+19,"26,619",165,"2,659",68,"1,865,329","39,105","47,700,097 ",Africa,"37614,74026",1,0.04,558,,
108,Cyprus,"124,225",,577 ,,"90,755",,"32,893",27,"101,881",473,"9,477,138","7,772,504","1,219,316 ",Asia,"102,1130",,,"26,977",,
109,Cambodia,"119,421",+63,"2,856 ",+6,"115,797",+67,768,,"7,011",168,"2,664,513","156,428","17,033,517 ",Asia,"1435,9646",4,0.4,45,,
110,El Salvador,"117,544",+194,"3,715 ",+6,"100,099",+469,"13,730",319,"17,999",569,"1,400,377","214,429","6,530,739 ",North America,"561,7585",30,0.9,"2,102",,
