#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"250,862,304","+260,657","5,068,346","+3,749","227,079,139","+242,031","18,714,819","76,456","32,183",650.2,,,,All,,,,,,,
1,USA,"47,337,539",+962,"775,262 ",+44,"37,333,763",+814,"9,228,514","11,219","141,890","2,324","709,438,559","2,126,471","333,622,477 ",North America,74300,3,0.1,"27,662",,
2,India,"34,366,767",+153,"461,050 ",+7,"33,754,190",+702,"151,527","8,944","24,577",330,"616,071,949","440,583","1,398,309,456 ",Asia,"413,0332",0.1,0.01,108,,
3,Brazil,"21,880,439",,"609,484 ",,"21,069,794",,"201,161","8,318","101,960","2,840","63,776,166","297,188","214,598,567 ",South America,103523,,,937,,
4,UK,"9,333,891","+32,322","141,862 ",+57,"7,629,990","+35,791","1,562,039","1,026","136,526","2,075","340,788,296","4,984,663","68,367,364 ",Europe,74820,473,0.8,"22,848",,
5,Russia,"8,834,495","+39,400","248,004 ","+1,190","7,587,560","+25,582","998,931","2,300","60,502","1,698","213,400,000","1,461,454","146,018,963 ",Europe,175891,270,8,"6,841",,
6,Turkey,"8,259,503","+27,824","72,314 ",+187,"7,737,259","+28,255","449,930","1,405","96,531",845,"99,834,300","1,166,788","85,563,348 ",Asia,"101,1831",325,2,"5,258",,
7,France,"7,217,484",,"117,910 ",,"6,972,199",,"127,375","1,049","110,244","1,801","151,204,954","2,309,582","65,468,526 ",Europe,95550,,,"1,946",,
8,Iran,"5,996,155","+8,341","127,439 ",+140,"5,615,460","+13,696","253,256","3,669","70,177","1,492","36,278,187","424,590","85,442,889 ",Asia,146702,98,2,"2,964",,
9,Argentina,"5,296,781",,"116,104 ",,"5,163,900",,"16,777",608,"115,763","2,537","25,380,778","554,706","45,755,353 ",South America,93942,,,367,,
10,Spain,"5,025,639",,"87,504 ",,"4,877,922",,"60,213",386,"107,433","1,871","66,213,858","1,415,454","46,779,233 ",Europe,95351,,,"1,287",,
11,Colombia,"5,015,042",,"127,533 ",,"4,858,390",,"29,119",342,"97,163","2,471","27,073,018","524,523","51,614,533 ",South America,104052,,,564,,
