#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"265,583,224","+422,916","5,263,189","+5,111","239,326,516","+352,154","20,993,519","86,698","34,072",675.2,,,,All,,,,,,,
1,USA,"49,914,544","+36,495","808,534 ",+418,"39,488,009","+24,764","9,618,001","13,739","149,552","2,423","760,075,474","2,277,311","333,760,103 ",North America,74130,109,1,"28,817",,
2,India,"34,624,360",,"470,530 ",,"34,053,856","+8,190","99,974","8,944","24,745",336,"646,026,786","461,688","1,399,272,504 ",Asia,"402,9742",,,71,,
3,Brazil,"22,129,409",,"615,454 ",,"21,357,412",,"156,543","8,318","103,069","2,866","63,776,166","297,040","214,705,739 ",South America,103493,,,729,,
4,UK,"10,421,104","+42,848","145,551 ",+127,"9,188,131","+32,065","1,087,422",895,"152,372","2,128","366,108,215","5,353,035","68,392,645 ",Europe,74700,627,2,"15,900",,
5,Russia,"9,769,011","+32,974","280,072 ","+1,215","8,471,813","+35,182","1,017,126","2,300","66,900","1,918","227,400,000","1,557,285","146,023,393 ",Europe,155211,226,8,"6,966",,
6,Turkey,"8,881,760","+20,374","77,645 ",+228,"8,412,434","+19,463","391,681","1,405","103,725",907,"109,098,818","1,274,105","85,627,781 ",Asia,"101,1031",238,3,"4,574",,
7,France,"7,823,388",,"119,457  ",,"7,168,188","+12,369","535,743","2,058","119,480","1,824","167,925,512","2,564,580","65,478,756 ",Europe,85480,,,"8,182",,
8,Germany,"6,143,856","+46,379","103,530 ",+222,"5,058,200","+34,900","982,126","4,636","72,998","1,230","85,782,441","1,019,222","84,164,610 ",Europe,148131,551,3,"11,669",,
9,Iran,"6,131,356","+2,157","130,124 ",+58,"5,916,199","+7,298","85,033","3,278","71,696","1,522","39,093,355","457,129","85,519,258 ",Asia,146572,25,0.7,994,,
10,Argentina,"5,337,692",,"116,639 ",,"5,198,099",,"22,954",657,"116,582","2,548","26,355,038","575,629","45,784,786 ",South America,93932,,,501,,
11,Spain,"5,202,958",,"88,159 ",,"4,927,391",,"187,408",814,"111,221","1,885","66,213,858","1,415,415","46,780,515 ",Europe,95311,,,"4,006",,
12,Italy,"5,094,072","+16,632","134,152 ",+75,"4,736,202","+8,988","223,718",732,"84,429","2,223","121,810,009","2,018,879","60,335,462 ",Europe,124500,276,1,"3,708",,
13,Colombia,"5,076,378",,"128,685 ",,"4,916,313",,"31,380",342,"98,278","2,491","28,258,816","547,089","51,653,038 ",South America,104012,,,608,,
14,Indonesia,"4,257,489",+246,"143,863 ",+5,"4,105,994",+314,"7,632",,"15,335",518,"55,613,822","200,316","277,630,880 ",Asia,"651,9305",0.9,0.02,27,,
15,Mexico,"3,897,452","+3,088","294,903 ",+188,"3,253,066","+2,588","349,483","4,798","29,784","2,254","11,925,712","91,136","130,856,396 ",North America,3444411,24,1,"2,671",,
16,Poland,"3,649,027","+25,576","85,630 ",+502,"3,116,875","+25,616","446,522","1,978","96,567","2,266","24,764,134","655,349","37,787,697 ",Europe,104412,677,13,"11,817",,
17,Ukraine,"3,490,855","+13,206","88,002 ",+436,"3,041,385","+22,765","361,468",177,"80,508","2,030","16,051,772","370,196","43,360,236 ",Europe,124933,305,10,"8,336",,
18,South Africa,"3,020,569","+16,366","89,965 ",+21,"2,855,474","+2,576","75,130",546,"50,034","1,490","19,715,126","326,570","60,370,339 ",Africa,206713,271,0.3,"1,244",,
