#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"247,433,396","+317,299","5,014,524","+4,364","224,098,367","+249,077","18,320,505","72,916","31,743",643.3,,,,All,,,,,,,
1,USA,"46,815,698","+15,576","766,266 ",+149,"36,705,551","+13,287","9,343,881","12,434","140,343","2,297","698,676,986","2,094,480","333,580,130 ",North America,74350,47,0.4,"28,011",,
2,India,"34,285,551","+12,874","458,470 ",+251,"33,660,840","+12,661","166,241","8,944","24,524",328,"608,319,915","435,132","1,398,013,134 ",Asia,"413,0492",9,0.2,119,,
3,Brazil,"21,810,855","+6,761","607,824 ",+60,"20,996,772","+4,262","206,259","8,318","101,651","2,833","63,776,166","297,234","214,565,591 ",South America,103533,32,0.3,961,,
4,UK,"9,057,629","+38,009","140,632 ",+74,"7,356,576","+30,791","1,560,421",946,"132,500","2,057","331,717,146","4,852,533","68,359,586 ",Europe,84860,556,1,"22,827",,
5,Russia,"8,513,790","+40,993","238,538 ","+1,158","7,358,539","+27,115","916,713","2,300","58,307","1,634","209,100,000","1,432,019","146,017,600 ",Europe,176121,281,8,"6,278",,
6,Turkey,"8,032,988","+23,948","70,611 ",+201,"7,490,125","+26,175","472,252","1,405","93,905",825,"96,964,691","1,133,513","85,543,523 ",Asia,"111,2111",280,2,"5,521",,
7,France,"7,166,877","+6,329","117,683 ",+12,"6,939,960","+1,098","109,234","1,049","109,476","1,798","151,204,954","2,309,693","65,465,378 ",Europe,95560,97,0.2,"1,669",,
8,Iran,"5,924,638","+8,427","126,303 ",+177,"5,508,815","+14,126","289,520","3,888","69,359","1,479","35,516,399","415,788","85,419,391 ",Asia,146762,99,2,"3,389",,
9,Argentina,"5,288,807",+548,"115,950 ",+8,"5,155,184","+1,311","17,673",606,"115,612","2,535","25,110,230","548,902","45,746,297 ",South America,93952,12,0.2,386,,
10,Spain,"5,011,148",,"87,368 ",,"4,864,318",,"59,462",411,"107,124","1,868","66,213,858","1,415,466","46,778,838 ",Europe,95351,,,"1,271",,
11,Colombia,"5,002,387","+1,710","127,281 ",+23,"4,845,554","+1,280","29,552",342,"96,940","2,467","26,809,122","519,530","51,602,686 ",South America,104052,33,0.4,573,,
12,Italy,"4,771,964","+4,526","132,100 ",+26,"4,557,417","+2,432","82,447",342,"79,080","2,189","104,251,958","1,727,637","60,343,688 ",Europe,134571,75,0.4,"1,366",,
13,Germany,"4,607,958","+13,912","96,259 ",+25,"4,275,500","+8,000","236,199","1,336","54,766","1,144","77,993,513","926,952","84,139,788 ",Europe,188741,165,0.3,"2,807",,
14,Indonesia,"4,244,358",+523,"143,405 ",+17,"4,088,635",+497,"12,318",,"15,303",517,"46,747,475","168,543","277,362,356 ",Asia,"651,9346",2,0.06,44,,
15,Mexico,"3,805,765","+3,478","288,276 ",+325,"3,166,103","+2,982","351,386","4,798","29,112","2,205","11,343,255","86,768","130,730,636 ",North America,3445312,27,2,"2,688",,
16,Poland,"3,025,247","+7,145","76,999 ",+9,"2,706,968","+4,928","241,280",580,"80,051","2,037","22,102,885","584,863","37,791,533 ",Europe,124912,189,0.2,"6,384",,
17,Ukraine,"2,922,302","+17,430","67,729 ",+336,"2,436,213","+5,269","418,360",177,"67,358","1,561","14,426,626","332,529","43,384,515 ",Europe,156413,402,8,"9,643",,
18,South Africa,"2,922,116",+230,"89,177 ",+14,"2,814,264",+188,"18,675",546,"48,459","1,479","18,544,880","307,539","60,300,880 ",Africa,216763,4,0.2,310,,
19,Philippines,"2,787,276","+3,410","43,172 ",+128,"2,698,871","+5,825","45,233","2,047","24,994",387,"22,958,391","205,875","111,516,136 ",Asia,"402,5835",31,1,406,,
20,Malaysia,"2,471,642","+4,979","28,912 ",+36,"2,374,761","+6,127","67,969",562,"75,089",878,"34,291,849","1,041,792","32,916,218 ",Asia,"131,1381",151,1,"2,065",,
21,Peru,"2,200,908",,"200,217 ",,N/A,N/A,N/A,859,"65,540","5,962","19,043,600","567,091","33,581,181 ",South America,151682,,,"8,339",,
22,Netherlands,"2,132,052","+8,172","18,411 ",+14,"1,986,366","+1,700","127,275",213,"124,063","1,071","17,988,698","1,046,753","17,185,236 ",Europe,89331,476,0.8,"7,406",,
23,Iraq,"2,055,248","+1,046","23,170 ",+32,"2,002,372","+1,861","29,706",201,"49,622",559,"15,812,758","381,780","41,418,454 ",Asia,"201,7883",25,0.8,717,,
24,Thailand,"1,912,024","+8,859","19,205 ",+47,"1,792,128","+8,253","100,691","2,225","27,302",274,"14,913,135","212,946","70,032,635 ",Asia,"373,6475",126,0.7,"1,438",,
25,Czechia,"1,762,902","+5,057","30,753 ",+8,"1,674,755",+49,"57,394",192,"164,214","2,865","40,573,468","3,779,419","10,735,373 ",Europe,63490,471,0.7,"5,346",,
26,Japan,"1,722,610",+287,"18,261 ",+8,"1,700,201",+339,"4,148",124,"13,676",145,"26,466,988","210,119","125,961,916 ",Asia,"736,8985",2,0.06,33,,
27,Canada,"1,714,212",+907,"28,966 ",+2,"1,658,945",+373,"26,301",765,"44,896",759,"46,092,312","1,207,191","38,181,445 ",North America,"221,3181",24,0.05,689,,
28,Chile,"1,695,048","+2,171","37,757 ",+14,"1,641,786","+1,891","15,505",463,"87,672","1,953","23,575,066","1,219,356","19,334,037 ",South America,115121,112,0.7,802,,
29,Romania,"1,648,031","+7,424","47,751 ",+394,"1,405,694","+10,337","194,586","1,874","86,433","2,504","14,753,474","773,766","19,067,100 ",Europe,123991,389,21,"10,205",,
30,Bangladesh,"1,569,539",+211,"27,868 ",+6,"1,533,423",+276,"8,248","1,383","9,406",167,"10,349,870","62,025","166,867,179 ",Asia,"1065,98816",1,0.04,49,,
31,Belgium,"1,360,650",,"25,994 ",,"1,214,256",,"120,400",258,"116,728","2,230","21,692,310","1,860,945","11,656,612 ",Europe,94481,,,"10,329",,
32,Israel,"1,327,458",+271,"8,100 ",+9,"1,311,717","+1,415","7,641",218,"142,339",869,"29,462,039","3,159,129","9,326,000 ",Asia,"71,1510",29,1.0,819,,
33,Pakistan,"1,273,078",+733,"28,449 ",+10,"1,221,535",+594,"23,094","1,402","5,619",126,"20,799,170","91,797","226,578,084 ",Asia,"1787,96411",3,0.04,102,,
34,Sweden,"1,171,512",,"14,991 ",,"1,138,517",+666,"18,004",24,"115,047","1,472","13,154,558","1,291,830","10,182,885 ",Europe,96791,,,"1,768",,
35,Serbia,"1,142,749","+4,929","9,955 ",+65,"1,001,042",,"131,752",281,"131,493","1,145","6,312,619","726,374","8,690,596 ",Europe,88731,567,7,"15,160",,
36,Portugal,"1,090,651",+763,"18,157 ",+1,"1,040,604",+324,"31,890",59,"107,377","1,788","19,855,030","1,954,774","10,157,198 ",Europe,95591,75,0.10,"3,140",,
37,Cuba,"952,001",+676,"8,236 ",+6,"939,816",+887,"3,949",97,"84,118",728,"10,521,065","929,634","11,317,430 ",North America,"121,3741",60,0.5,349,,
38,Morocco,"946,145",+185,"14,668 ",+1,"926,433",+140,"5,044",347,"25,237",391,"10,098,826","269,366","37,491,115 ",Africa,"402,5564",5,0.03,135,,
39,Kazakhstan,"939,217","+1,526","12,096 ",+17,"885,975","+2,153","41,146",221,"49,239",634,"11,575,012","606,824","19,074,741 ",Asia,"201,5772",80,0.9,"2,157",,
40,Vietnam,"921,122","+5,519","22,083 ",+53,"820,334","+1,998","78,705",,"9,351",224,"42,517,091","431,640","98,501,187 ",Asia,"1074,4602",56,0.5,799,,
41,Switzerland,"872,556",,"11,247 ",,"828,031",,"33,278",91,"99,850","1,287","11,648,887","1,333,030","8,738,656 ",Europe,107771,,,"3,808",,
42,Hungary,"863,419",,"30,729 ",,"797,910",,"34,780",230,"89,680","3,192","7,371,187","765,619","9,627,753 ",Europe,113131,,,"3,612",,
43,Jordan,"862,541","+1,723","11,038 ",+10,"830,451","+1,362","21,052",590,"83,437","1,068","10,968,136","1,060,997","10,337,579 ",Asia,129371,167,1.0,"2,036",,
44,Austria,"830,981","+5,684","11,357 ",+12,"774,316","+3,161","45,308",280,"91,572","1,252","97,254,602","10,717,187","9,074,639 ",Europe,117990,626,1,"4,993",,
45,Nepal,"812,570",+376,"11,407 ",+8,"791,787",+518,"9,376",,"27,239",382,"4,420,774","148,191","29,831,646 ",Asia,"372,6157",13,0.3,314,,
46,Greece,"742,170","+2,722","15,938 ",+44,"685,065","+3,701","41,167",421,"71,670","1,539","26,007,643","2,511,509","10,355,385 ",Europe,146500,263,4,"3,975",,
47,UAE,"739,905",+81,"2,136 ",,"734,132",+118,"3,637",,"73,630",213,"93,369,178","9,291,417","10,048,971 ",Asia,"144,7050",8,,362,,
48,Georgia,"719,247","+3,382","10,045 ",+42,"660,518","+5,389","48,684",,"180,761","2,525","10,232,119","2,571,535","3,978,992 ",Asia,63960,850,11,"12,235",,
49,Tunisia,"712,747",+429,"25,241 ",+6,"686,023",+311,"1,483",68,"59,481","2,106","3,074,708","256,594","11,982,753 ",Africa,174754,36,0.5,124,,
50,Lebanon,"641,339",,"8,495 ",,"615,735",,"17,109",200,"94,526","1,252","4,780,275","704,554","6,784,821 ",Asia,117991,,,"2,522",,
51,Bulgaria,"602,492","+1,457","23,999 ",+81,"478,769",+600,"99,724",680,"87,585","3,489","5,572,026","810,016","6,878,911 ",Europe,112871,212,12,"14,497",,
52,Guatemala,"601,402",,"15,050 ",,"580,207",,"6,145",5,"32,765",820,"2,905,511","158,296","18,354,944 ",North America,"311,2206",,,335,,
53,Belarus,"600,168","+1,985","4,631 ",+17,"573,994","+2,648","21,543",,"63,542",490,"9,631,444","1,019,719","9,445,193 ",Europe,"162,0401",210,2,"2,281",,
54,Costa Rica,"559,698",,"7,029 ",,"500,425",,"52,244",269,"108,556","1,363","2,544,016","493,422","5,155,867 ",North America,97342,,,"10,133",,
55,Saudi Arabia,"548,617",+46,"8,794 ",+1,"537,570",+36,"2,253",61,"15,440",247,"30,349,713","854,128","35,532,980 ",Asia,"654,0411",1,0.03,63,,
56,Sri Lanka,"541,073","+1,092","13,743 ",+18,"512,798",+317,"14,532",,"25,128",638,"5,381,256","249,913","21,532,494 ",Asia,"401,5674",51,0.8,675,,
57,Azerbaijan,"531,370","+2,261","7,074 ",+25,"494,179","+1,805","30,117",,"51,788",689,"5,195,536","506,363","10,260,492 ",Asia,"191,4502",220,2,"2,935",,
58,Ecuador,"515,859",,"32,958 ",,"443,880",,"39,021",759,"28,661","1,831","1,917,796","106,554","17,998,410 ",South America,355469,,,"2,168",,
59,Bolivia,"513,584",+472,"18,925 ",+1,"475,454",+474,"19,205",220,"43,215","1,592","2,542,450","213,934","11,884,268 ",South America,236285,40,0.08,"1,616",,
60,Myanmar,"500,073",+752,"18,697 ",+33,"467,689","+1,372","13,687",,"9,110",341,"4,866,791","88,658","54,894,121 ",Asia,"1102,93611",14,0.6,249,,
61,Slovakia,"483,773","+4,036","13,034 ",+16,"424,367","+1,717","46,372",272,"88,552","2,386","3,961,533","725,136","5,463,155 ",Europe,114191,739,3,"8,488",,
62,Panama,"472,534",,"7,315 ",,"463,045",,"2,174",49,"107,276","1,661","4,070,192","924,024","4,404,853 ",North America,96021,,,494,,
63,Croatia,"470,348","+3,319","9,220 ",+22,"435,990","+3,312","25,138",170,"115,519","2,264","3,106,745","763,025","4,071,615 ",Europe,94421,815,5,"6,174",,
64,Paraguay,"461,006",,"16,246 ",,"444,499",,261,17,"63,598","2,241","1,893,503","261,216","7,248,794 ",South America,164464,,,36,,
65,Ireland,"445,594","+1,963","5,436 ",,"385,553","+1,057","54,605",93,"88,923","1,085","8,019,575","1,600,399","5,010,985 ",Europe,119221,392,,"10,897",,
66,Palestine,"423,426",+235,"4,413 ",+5,"413,749",+372,"5,264",52,"80,522",839,"2,637,265","501,521","5,258,529 ",Asia,"121,1922",45,1.0,"1,001",,
