#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"279,471,736","+142,196","5,411,749","+2,636","249,853,291","+198,566","24,206,696","88,685","35,854",694.3,,,,All,,,,,,,
1,USA,"52,986,307",,"837,671 ",,"40,994,250",,"11,154,386","16,167","158,703","2,509","798,461,897","2,391,526","333,871,263 ",North America,63990,,,"33,409",,
2,India,"34,779,815",,"479,520 ",,"34,223,263","+7,286","77,032","8,944","24,842",343,"671,051,627","479,305","1,400,050,350 ",Asia,"402,9202",,,55,,
3,Brazil,"22,230,737",,"618,429 ",,"21,414,318",,"197,990","8,318","103,499","2,879","63,776,166","296,920","214,792,301 ",South America,103473,,,922,,
4,UK,"11,891,292",,"147,857 ",,"9,961,369",,"1,782,066",842,"173,816","2,161","395,579,689","5,782,224","68,413,065 ",Europe,64630,,,"26,049",,
5,Russia,"10,368,299","+24,946","303,250 ",+981,"9,222,486","+42,107","842,563","2,300","71,003","2,077","237,800,000","1,628,466","146,026,971 ",Europe,144821,171,7,"5,770",,
6,Turkey,"9,266,516",,"81,258 ",,"8,900,401",,"284,857","1,128","108,153",948,"116,144,239","1,355,561","85,679,824 ",Asia,"91,0541",,,"3,325",,
7,France,"8,983,760",,"122,462 ",,"7,752,550",,"1,108,748","3,254","137,184","1,870","182,873,794","2,792,520","65,487,020 ",Europe,75350,,,"16,931",,
8,Germany,"6,982,228",,"110,908 ",,"6,087,300","+38,500","784,020","4,636","82,944","1,318","89,622,218","1,064,651","84,179,941 ",Europe,127591,,,"9,314",,
9,Iran,"6,182,905","+1,121","131,348 ",+42,"6,024,211","+2,061","27,346","2,781","72,246","1,535","41,388,312","483,616","85,580,941 ",Asia,146522,13,0.5,320,,
10,Spain,"5,718,007",,"89,019 ",,"5,002,310",,"626,678","1,515","122,228","1,903","66,213,858","1,415,384","46,781,550 ",Europe,85261,,,"13,396",,
