#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"266,214,765","+98,981","5,273,288","+2,439","239,861,245","+159,167","21,080,232","86,845","34,153",676.5,,,,All,,,,,,,
1,USA,"49,969,856",,"808,763 ",,"39,523,573",,"9,637,520","13,781","149,713","2,423","760,636,842","2,278,920","333,770,690 ",North America,74130,,,"28,875",,
2,India,"34,641,561",,"473,537 ",,"34,069,608","+8,834","98,416","8,944","24,756",338,"648,259,067","463,258","1,399,346,585 ",Asia,"402,9552",,,70,,
3,Brazil,"22,143,091",,"615,674 ",,"21,362,553",,"164,864","8,318","103,128","2,867","63,776,166","297,028","214,713,983 ",South America,103493,,,768,,
4,UK,"10,464,389",,"145,605 ",,"9,220,626",,"1,098,158",895,"153,000","2,129","366,108,215","5,352,883","68,394,590 ",Europe,74700,,,"16,056",,
5,Russia,"9,833,749","+32,136","282,462 ","+1,184","8,530,476","+28,070","1,020,811","2,300","67,343","1,934","228,500,000","1,564,814","146,023,734 ",Europe,155171,220,8,"6,991",,
6,Turkey,"8,901,117",,"77,830 ",,"8,436,712",,"386,575","1,405","103,945",909,"109,449,755","1,278,130","85,632,738 ",Asia,"101,1001",,,"4,514",,
7,France,"7,917,264",,"119,535 ",,"7,171,351",,"626,378","2,066","120,912","1,826","167,925,512","2,564,549","65,479,543 ",Europe,85480,,,"9,566",,
8,Germany,"6,179,839",,"103,604 ",,"5,120,100","+37,600","956,135","4,636","73,424","1,231","85,782,441","1,019,205","84,166,070 ",Europe,148121,,,"11,360",,
9,Iran,"6,134,465",,"130,200 ",,"5,923,316",,"80,949","3,249","71,727","1,522","39,093,355","457,098","85,525,133 ",Asia,146572,,,946,,
10,Argentina,"5,340,676",,"116,646 ",,"5,201,840",,"22,190",656,"116,642","2,548","26,410,553","576,813","45,787,050 ",South America,93932,,,485,,
11,Spain,"5,202,958",,"88,159 ",,"4,927,391",,"187,408",814,"111,220","1,885","66,213,858","1,415,412","46,780,614 ",Europe,95311,,,"4,006",,
12,Italy,"5,109,082",,"134,195 ",,"4,742,887",,"232,000",736,"84,679","2,224","122,335,117","2,027,599","60,334,978 ",Europe,124500,,,"3,845",,
13,Colombia,"5,081,064",,"128,780 ",,"4,921,311",,"30,973",342,"98,363","2,493","28,330,663","548,449","51,656,000 ",South America,104012,,,600,,
14,Indonesia,"4,257,685",,"143,867 ",,"4,106,292",,"7,526",,"15,335",518,"55,884,039","201,278","277,646,675 ",Asia,"651,9305",,,27,,
15,Mexico,"3,901,263",+970,"295,202 ",+48,"3,257,676","+1,874","348,385","4,798","29,812","2,256","11,949,792","91,315","130,863,794 ",North America,3444311,7,0.4,"2,662",,
16,Poland,"3,684,671","+13,250","85,700 ",+25,"3,167,754","+25,489","431,217","1,989","97,510","2,268","24,948,630","660,236","37,787,471 ",Europe,104412,351,0.7,"11,412",,
17,Ukraine,"3,501,955","+4,478","88,519 ",+239,"3,059,741","+9,082","353,695",177,"80,767","2,042","16,089,778","371,084","43,358,808 ",Europe,124903,103,6,"8,157",,
18,South Africa,"3,031,694",,"89,966 ",,"2,858,144",,"83,584",546,"50,215","1,490","19,761,834","327,321","60,374,425 ",Africa,206713,,,"1,384",,
19,Philippines,"2,835,154",+543,"49,499 ",+113,"2,772,107",+830,"13,548",899,"25,391",443,"24,390,103","218,433","111,659,609 ",Asia,"392,2565",5,1,121,,
20,Netherlands,"2,751,954",,"19,668 ",,"2,158,039",,"574,247",593,"160,100","1,144","19,205,114","1,117,294","17,188,954 ",Europe,68741,,,"33,408",,
21,Malaysia,"2,658,772",,"30,614 ",,"2,566,159",,"61,999",471,"80,674",929,"38,384,583","1,164,687","32,957,005 ",Asia,"121,0771",,,"1,881",,
22,Czechia,"2,247,067","+6,325","33,768 ",+45,"1,922,562",+166,"290,737","1,014","209,276","3,145","44,333,278","4,128,895","10,737,322 ",Europe,53180,589,4,"27,077",,
23,Peru,"2,243,415",,"201,379 ",,N/A,N/A,N/A,972,"66,716","5,989","20,555,444","611,289","33,626,370 ",South America,151672,,,"9,557",,
24,Thailand,"2,145,241","+4,000","20,964 ",+22,"2,055,265","+6,450","69,012","1,369","30,625",299,"14,913,135","212,893","70,049,814 ",Asia,"333,3415",57,0.3,985,,
25,Iraq,"2,084,346",,"23,885 ",,"2,050,033",,"10,428",94,"50,216",575,"16,431,593","395,871","41,507,449 ",Asia,"201,7383",,,251,,
26,Belgium,"1,827,467",,"27,167 ",,"1,358,257",,"442,043",821,"156,709","2,330","25,109,681","2,153,200","11,661,562 ",Europe,64290,,,"37,906",,
27,Canada,"1,807,703",,"29,768 ",,"1,746,964",,"30,971",497,"47,305",779,"49,099,908","1,284,868","38,213,959 ",North America,"211,2841",,,810,,
28,Romania,"1,786,036",,"57,099 ",,"1,701,727",,"27,210",910,"93,733","2,997","16,166,181","848,416","19,054,546 ",Europe,113341,,,"1,428",,
29,Chile,"1,772,547",,"38,501 ",,"1,665,325",,"68,721",693,"91,604","1,990","25,950,496","1,341,100","19,350,159 ",South America,115031,,,"3,551",,
30,Japan,"1,727,942",+114,"18,364 ",,"1,708,711",+73,867,29,"13,722",146,"28,151,465","223,559","125,924,001 ",Asia,"736,8574",0.9,,7,,
31,Bangladesh,"1,577,443",,"28,001 ",,"1,542,274",,"7,168","1,373","9,444",168,"10,981,606","65,747","167,028,441 ",Asia,"1065,96515",,,43,,
32,Israel,"1,346,243",+137,"8,204 ",,"1,332,537",+112,"5,502",112,"144,354",880,"35,400,109","3,795,851","9,326,000 ",Asia,"71,1370",15,,590,,
33,Vietnam,"1,309,092",,"26,260 ",,"1,009,277",,"273,555","6,854","13,279",266,"69,737,261","707,366","98,587,244 ",Asia,"753,7541",,,"2,775",,
34,Pakistan,"1,287,161",+336,"28,777 ",+10,"1,246,464",+858,"11,920",862,"5,670",127,"22,252,342","98,028","227,000,663 ",Asia,"1767,88810",1,0.04,53,,
35,Serbia,"1,263,663",,"11,917 ",,"1,210,147",,"41,599",165,"145,463","1,372","6,881,800","792,181","8,687,151 ",Europe,77291,,,"4,789",,
36,Sweden,"1,212,145",,"15,136 ",,"1,162,658",+731,"34,351",43,"118,965","1,486","13,708,481","1,345,411","10,189,069 ",Europe,86731,,,"3,371",,
37,Austria,"1,198,478",,"12,796 ",,"1,075,482",,"110,200",651,"131,996","1,409","112,526,834","12,393,254","9,079,684 ",Europe,87100,,,"12,137",,
38,Portugal,"1,166,787",,"18,537 ",,"1,086,887",,"61,363",134,"114,906","1,826","21,858,506","2,152,638","10,154,287 ",Europe,95480,,,"6,043",,
39,Hungary,"1,157,568","+22,699","35,611 ",+489,"932,204","+21,459","189,753",586,"120,262","3,700","8,666,739","900,408","9,625,351 ",Europe,82701,"2,358",51,"19,714",,
40,Switzerland,"1,039,730",,"11,612 ",,"873,524","+2,840","154,594",213,"118,896","1,328","12,597,593","1,440,569","8,744,872 ",Europe,87531,,,"17,678",,
41,Jordan,"975,956",,"11,761 ",,"903,088",,"61,107","1,194","94,318","1,137","12,395,866","1,197,954","10,347,534 ",Asia,118801,,,"5,905",,
42,Kazakhstan,"975,782",+632,"12,785 ",+16,"942,076",+791,"20,921",528,"51,097",669,"11,575,012","606,122","19,096,827 ",Asia,"201,4942",33,0.8,"1,096",,
43,Greece,"966,221",,"18,595 ",,"876,039",,"71,587",715,"93,351","1,797","38,190,109","3,689,722","10,350,402 ",Europe,115570,,,"6,916",,
44,Cuba,"963,090",,"8,309 ",,"954,175",,606,22,"85,103",734,"11,202,077","989,867","11,316,753 ",North America,"121,3621",,,54,,
45,Morocco,"950,591",,"14,788 ",,"932,920",,"2,883",347,"25,326",394,"10,500,927","279,770","37,534,135 ",Africa,"392,5384",,,77,,
46,Georgia,"867,071","+1,778","12,407 ",+63,"809,830","+3,234","44,834",,"217,953","3,119","11,832,476","2,974,298","3,978,242 ",Asia,53210,447,16,"11,270",,
47,Nepal,"822,592",,"11,541 ",,"804,544",,"6,507",107,"27,527",386,"4,662,680","156,030","29,883,259 ",Asia,"362,5896",,,218,,
48,UAE,"742,328",,"2,148 ",,"737,330",,"2,850",,"73,785",214,"102,497,410","10,187,878","10,060,722 ",Asia,"144,6840",,,283,,
49,Slovakia,"732,495","+3,020","14,900 ",+74,"599,858","+4,489","117,737",625,"134,073","2,727","4,732,283","866,177","5,463,415 ",Europe,73671,553,14,"21,550",,
50,Tunisia,"718,443",,"25,401 ",,"691,640",,"1,402",68,"59,896","2,118","3,198,939","266,691","11,994,909 ",Africa,174724,,,117,,
51,Bulgaria,"703,160",,"28,852 ",,"573,497",,"100,811",674,"102,296","4,197","6,704,606","975,386","6,873,795 ",Europe,102381,,,"14,666",,
52,Lebanon,"678,801",,"8,775 ",,"634,994",,"35,032",186,"100,091","1,294","4,795,578","707,122","6,781,829 ",Asia,107731,,,"5,166",,
53,Belarus,"663,813",,"5,162 ",,"652,874",,"5,777",,"70,283",547,"10,525,190","1,114,379","9,444,889 ",Europe,"141,8301",,,612,,
54,Croatia,"631,037",,"11,218 ",,"590,341",,"29,478",310,"155,079","2,757","3,509,545","862,479","4,069,138 ",Europe,63631,,,"7,244",,
55,Guatemala,"619,852",,"15,986 ",,"602,717",,"1,149",5,"33,710",869,"3,150,263","171,326","18,387,588 ",North America,"301,1506",,,62,,
