#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"244,216,749","+126,709","4,961,538","+2,724","221,257,379","+97,354","17,997,832","75,749","31,331",636.5,,,,All,,,,,,,
1,USA,"46,294,210",,"756,205 ",,"36,033,886",,"9,504,119","13,817","138,795","2,267","679,580,921","2,037,461","333,543,077 ",North America,74410,,,"28,494",,
2,India,"34,175,468",+625,"454,301 ",,"33,548,605","+7,655","172,562","8,944","24,450",325,"599,771,320","429,097","1,397,753,851 ",Asia,"413,0772",0.4,,123,,
3,Brazil,"21,723,559",,"605,569 ",,"20,895,886",,"222,104","8,318","101,258","2,823","63,776,166","297,274","214,536,737 ",South America,103543,,,"1,035",,
4,UK,"8,734,934",,"139,461 ",,"7,116,179",,"1,479,294",892,"127,792","2,040","324,387,705","4,745,787","68,352,779 ",Europe,84900,,,"21,642",,
5,Russia,"8,241,643","+35,660","230,600 ","+1,072","7,165,921","+22,784","845,122","2,300","56,443","1,579","202,100,000","1,384,091","146,016,407 ",Europe,186331,244,7,"5,788",,
6,Turkey,"7,827,013",,"68,917 ",,"7,259,585",,"498,511",633,"91,516",806,"94,164,942","1,101,007","85,526,175 ",Asia,"111,2411",,,"5,829",,
7,France,"7,120,863",,"117,463 ",,"6,909,596",,"93,804","1,049","108,778","1,794","151,204,954","2,309,791","65,462,623 ",Europe,95570,,,"1,433",,
8,Iran,"5,851,670",,"125,052 ",,"5,402,865",,"323,753","4,346","68,522","1,464","32,619,228","381,963","85,398,830 ",Asia,156833,,,"3,791",,
9,Argentina,"5,279,818",,"115,823 ",,"5,145,609",,"18,386",737,"115,435","2,532","24,781,146","541,802","45,738,373 ",South America,93952,,,402,,
10,Spain,"4,997,732",,"87,132 ",,"4,848,432",,"62,168",435,"106,838","1,863","66,213,858","1,415,477","46,778,493 ",Europe,95371,,,"1,329",,
11,Colombia,"4,989,681",,"127,032 ",,"4,833,552",,"29,097",342,"96,714","2,462","26,494,409","513,534","51,592,319 ",South America,104062,,,564,,
12,Italy,"4,737,462",,"131,802 ",,"4,531,644",,"74,016",338,"78,506","2,184","100,645,374","1,667,822","60,345,382 ",Europe,134581,,,"1,227",,
13,Germany,"4,464,667",,"95,794 ",,"4,206,400","+6,400","162,473","1,336","53,066","1,139","73,348,901","871,803","84,134,677 ",Europe,198781,,,"1,931",,
14,Indonesia,"4,240,019",+623,"143,205 ",+29,"4,082,454","+1,037","14,360",,"15,290",516,"45,045,743","162,440","277,307,072 ",Asia,"651,9366",2,0.1,52,,
15,Mexico,"3,781,661","+4,452","286,259 ",+306,"3,141,429","+3,976","353,973","4,798","28,933","2,190","11,207,941","85,750","130,704,744 ",North America,3545712,34,2,"2,708",,
16,Poland,"2,972,927","+4,728","76,447 ",+13,"2,686,129","+2,484","210,351",430,"78,665","2,023","21,843,867","577,997","37,792,322 ",Europe,134942,125,0.3,"5,566",,
17,South Africa,"2,919,332",,"88,914 ",,"2,811,178",,"19,240",546,"48,424","1,475","18,342,808","304,260","60,286,579 ",Africa,216783,,,319,,
18,Ukraine,"2,769,405","+20,791","63,872 ",+386,"2,375,776","+6,081","329,757",177,"63,827","1,472","13,986,710","322,352","43,389,514 ",Europe,166793,479,9,"7,600",,
19,Philippines,"2,756,923","+5,279","41,793 ",+208,"2,654,173","+7,312","60,957","3,194","24,728",375,"22,602,470","202,734","111,488,238 ",Asia,"402,6685",47,2,547,,
20,Malaysia,"2,426,050",,"28,354 ",,"2,320,391",,"77,305",620,"73,722",862,"33,295,364","1,011,762","32,908,287 ",Asia,"141,1611",,,"2,349",,
21,Peru,"2,195,101",,"200,019 ",,N/A,N/A,N/A,842,"65,384","5,958","18,771,607","559,138","33,572,395 ",South America,151682,,,"8,174",,
22,Netherlands,"2,076,273",,"18,313 ",,"1,973,315",,"84,645",182,"120,822","1,066","17,790,280","1,035,251","17,184,513 ",Europe,89381,,,"4,926",,
23,Iraq,"2,045,027",,"22,937 ",,"1,984,439",,"37,651",231,"49,395",554,"15,660,404","378,260","41,401,150 ",Asia,"201,8053",,,909,,
