#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"245,944,079","+183,124","4,990,989","+3,650","222,893,851","+134,382","18,059,239","75,261","31,552",640.3,,,,All,,,,,,,
1,USA,"46,597,003",,"761,856 ",,"36,476,756",,"9,358,391","13,099","139,694","2,284","694,316,994","2,081,509","333,564,250 ",North America,74380,,,"28,056",,
2,India,"34,231,809",+602,"456,418 ",,"33,614,434","+7,715","160,957","8,944","24,488",327,"604,498,405","432,433","1,397,902,013 ",Asia,"413,0632",0.4,,115,,
3,Brazil,"21,766,168",,"606,726 ",,"20,965,296",,"194,146","8,318","101,449","2,828","63,776,166","297,251","214,553,225 ",South America,103543,,,905,,
4,UK,"8,897,149",,"140,041 ",,"7,232,313",,"1,524,795",950,"130,158","2,049","325,510,859","4,761,947","68,356,668 ",Europe,84880,,,"22,306",,
5,Russia,"8,392,697","+40,096","235,057 ","+1,159","7,272,053","+29,318","885,587","2,300","57,477","1,610","206,300,000","1,412,848","146,017,088 ",Europe,176211,275,8,"6,065",,
6,Turkey,"7,936,007",,"69,769 ",,"7,376,821",,"489,417","1,405","92,780",816,"95,567,213","1,117,274","85,536,088 ",Asia,"111,2261",,,"5,722",,
7,France,"7,140,294",,"117,589  ",,"6,925,727",,"96,978","1,049","109,072","1,796","151,204,954","2,309,735","65,464,197 ",Europe,95570,,,"1,481",,
8,Iran,"5,899,509","+11,409","125,875 ",+159,"5,468,620","+13,291","305,014","4,078","69,072","1,474","32,619,228","381,911","85,410,580 ",Asia,146793,134,2,"3,571",,
9,Argentina,"5,284,485",,"115,889 ",,"5,149,943",,"18,653",631,"115,526","2,533","24,952,990","545,505","45,742,901 ",South America,93952,,,408,,
10,Spain,"5,006,675",,"87,289 ",,"4,861,043",,"58,343",421,"107,029","1,866","66,213,858","1,415,471","46,778,690 ",Europe,95361,,,"1,247",,
11,Colombia,"4,995,694",,"127,159 ",,"4,839,391",,"29,144",342,"96,819","2,464","26,651,141","516,513","51,598,243 ",South America,104062,,,565,,
12,Italy,"4,752,368",,"131,954  ",,"4,545,049",,"75,365",341,"78,754","2,187","102,379,323","1,696,583","60,344,414 ",Europe,134571,,,"1,249",,
13,Germany,"4,527,120",,"95,940 ",,"4,247,000","+9,900","184,180","1,336","53,806","1,140","73,348,901","871,773","84,137,598 ",Europe,198771,,,"2,189",,
14,Indonesia,"4,242,532",+723,"143,333 ",+34,"4,086,759",+984,"12,440",,"15,297",517,"46,040,621","166,009","277,338,663 ",Asia,"651,9356",3,0.1,45,,
