#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"262,740,785","+327,484","5,229,572","+4,852","237,242,250","+313,395","20,268,963","83,908","33,707",670.9,,,,All,,,,,,,
1,USA,"49,310,210","+9,140","801,540 ",+214,"39,034,199","+1,944","9,474,471","12,656","147,751","2,402","752,523,435","2,254,827","333,738,930 ",North America,74160,27,0.6,"28,389",,
2,India,"34,587,822",,"468,980 ",,"34,018,299","+10,116","100,543","8,944","24,721",335,"641,303,848","458,361","1,399,124,343 ",Asia,"402,9832",,,72,,
3,Brazil,"22,084,749",,"614,428 ",,"21,304,115",,"166,206","8,318","102,868","2,862","63,776,166","297,063","214,689,251 ",South America,103493,,,774,,
4,UK,"10,228,772","+39,716","144,969 ",+159,"9,062,561","+36,788","1,021,242",916,"149,568","2,120","362,531,048","5,301,033","68,388,756 ",Europe,74720,581,2,"14,933",,
5,Russia,"9,636,881","+32,648","275,193 ","+1,229","8,329,253","+33,442","1,032,435","2,300","65,996","1,885","224,900,000","1,540,171","146,022,711 ",Europe,155311,224,8,"7,070",,
6,Turkey,"8,770,372",,"76,635 ",,"8,301,883",,"391,854","1,405","102,436",895,"107,321,500","1,253,494","85,617,869 ",Asia,"101,1171",,,"4,577",,
7,France,"7,628,327",,"119,016 ",,"7,113,141",,"396,170","1,563","116,504","1,818","162,981,031","2,489,127","65,477,182 ",Europe,95500,,,"6,051",,
8,Iran,"6,117,445","+4,253","129,830 ",+119,"5,883,470","+10,029","104,145","3,334","71,543","1,518","38,439,240","449,542","85,507,509 ",Asia,146592,50,1,"1,218",,
9,Germany,"5,854,984","+29,441","101,894 ",+242,"4,893,300","+40,500","859,790","4,459","69,568","1,211","83,816,414","995,897","84,161,690 ",Europe,148261,350,3,"10,216",,
10,Argentina,"5,328,416",,"116,554 ",,"5,192,404",,"19,458",614,"116,391","2,546","26,173,874","571,728","45,780,258 ",South America,93932,,,425,,
11,Spain,"5,153,923",,"88,008 ",,"4,920,879",,"145,036",673,"110,173","1,881","66,213,858","1,415,421","46,780,318 ",Europe,95321,,,"3,100",,
12,Colombia,"5,067,348",,"128,473 ",,"4,907,484",,"31,391",342,"98,115","2,488","28,064,873","543,397","51,647,114 ",South America,104022,,,608,,
13,Italy,"5,028,547","+12,764","133,828 ",+89,"4,700,449","+8,041","194,270",683,"83,342","2,218","119,331,735","1,977,773","60,336,430 ",Europe,124511,212,1,"3,220",,
14,Indonesia,"4,256,409",+297,"143,830 ",+11,"4,104,657",+324,"7,922",,"15,333",518,"54,475,477","196,238","277,599,289 ",Asia,"651,9305",1,0.04,29,,
15,Mexico,"3,884,566",+724,"293,950 ",+53,"3,242,947","+2,426","347,669","4,798","29,689","2,247","11,838,624","90,481","130,841,601 ",North America,3444511,6,0.4,"2,657",,
16,Poland,"3,540,061","+19,074","83,583 ",+526,"3,038,451","+15,680","418,027","1,825","93,682","2,212","24,340,316","644,126","37,788,148 ",Europe,114522,505,14,"11,062",,
17,Ukraine,"3,438,381","+10,554","85,975 ",+561,"2,946,032","+25,318","406,374",177,"79,293","1,983","15,869,089","365,958","43,363,093 ",Europe,135043,243,13,"9,371",,
18,South Africa,"2,963,679",,"89,822 ",,"2,849,439",,"24,418",546,"49,098","1,488","19,434,381","321,963","60,362,167 ",Africa,206723,,,405,,
