#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"252,543,265","+421,388","5,093,830","+5,486","228,454,307","+268,895","18,995,128","77,099","32,399",653.5,,,,All,,,,,,,
1,USA,"47,680,793","+33,048","780,672 ",+436,"37,720,208","+18,443","9,179,913","11,342","142,912","2,340","716,611,660","2,147,870","333,638,357 ",North America,74270,99,1,"27,515",,
2,India,"34,403,196","+1,526","462,369 ",+180,"33,800,925","+13,878","139,902","8,944","24,601",331,"619,902,064","443,287","1,398,420,577 ",Asia,"413,0242",1,0.1,100,,
3,Brazil,"21,911,382",,"610,080  ",,"21,117,407",,"183,895","8,318","102,098","2,843","63,776,166","297,171","214,610,933 ",South America,103523,,,857,,
4,UK,"9,448,402","+42,408","142,533 ",+195,"7,729,312","+29,290","1,576,557","1,008","138,195","2,085","343,761,954","5,027,944","68,370,281 ",Europe,74800,620,3,"23,059",,
5,Russia,"8,952,472","+40,759","251,691 ","+1,237","7,687,317","+33,156","1,013,464","2,300","61,310","1,724","214,900,000","1,471,722","146,019,474 ",Europe,165801,279,8,"6,941",,
6,Turkey,"8,315,424",,"72,713 ",,"7,793,631",,"449,080","1,405","97,176",850,"100,552,111","1,175,075","85,570,783 ",Asia,"101,1771",,,"5,248",,
7,France,"7,256,643","+12,603","118,073 ",+17,"6,996,516","+6,333","142,054","1,049","110,840","1,803","151,204,954","2,309,541","65,469,706 ",Europe,95540,193,0.3,"2,170",,
8,Iran,"6,019,947","+7,539","127,809 ",+123,"5,656,447","+13,066","235,691","3,582","70,449","1,496","36,278,187","424,546","85,451,701 ",Asia,146692,88,1,"2,758",,
9,Argentina,"5,300,985",,"116,184 ",,"5,167,105",,"17,696",621,"115,846","2,539","25,504,054","557,359","45,758,749 ",South America,93942,,,387,,
10,Spain,"5,042,803","+4,286","87,647 ",+30,"4,888,554","+1,276","66,602",395,"107,800","1,874","66,213,858","1,415,450","46,779,381 ",Europe,95341,92,0.6,"1,424",,
11,Colombia,"5,021,619",,"127,640 ",,"4,864,547",,"29,432",342,"97,282","2,473","27,210,750","527,146","51,618,976 ",South America,104042,,,570,,
12,Germany,"4,925,682","+50,131","97,818 ",+219,"4,432,600","+16,700","395,264","2,616","58,536","1,162","77,993,513","926,863","84,147,819 ",Europe,178601,596,3,"4,697",,
13,Italy,"4,835,435","+8,569","132,618 ",+51,"4,595,897","+4,569","106,920",422,"80,135","2,198","109,317,358","1,811,659","60,341,027 ",Europe,124551,142,0.8,"1,772",,
14,Indonesia,"4,249,758",+435,"143,608 ",+16,"4,096,664",+470,"9,486",,"15,317",518,"49,400,048","178,051","277,449,231 ",Asia,"651,9326",2,0.06,34,,
