#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"274,590,843","+66,775","5,368,305","+1,882","246,422,149","+83,770","22,800,389","89,224","35,227",688.7,,,,All,,,,,,,
1,USA,"51,696,205",,"827,206 ",,"40,515,145",,"10,353,854","15,725","154,853","2,478","785,952,372","2,354,282","333,839,503 ",North America,64040,,,"31,014",,
2,India,"34,740,275",,"477,422 ",,"34,178,940","+7,469","83,913","8,944","24,818",341,"664,109,365","474,422","1,399,828,108 ",Asia,"402,9322",,,60,,
3,Brazil,"22,212,343",,"617,784 ",,"21,414,318",,"180,241","8,318","103,425","2,877","63,776,166","296,954","214,767,569 ",South America,103483,,,839,,
4,UK,"11,279,428",,"147,173 ",,"9,741,854",,"1,390,401",875,"164,886","2,151","384,287,490","5,617,644","68,407,231 ",Europe,64650,,,"20,325",,
5,Russia,"10,214,790","+27,967","297,203 ","+1,023","8,984,921","+32,655","932,666","2,300","69,952","2,035","235,100,000","1,609,988","146,025,949 ",Europe,144911,192,7,"6,387",,
6,Turkey,"9,154,209",,"80,244 ",,"8,762,742",,"311,223","1,128","106,861",937,"114,026,345","1,331,073","85,664,955 ",Asia,"91,0681",,,"3,633",,
7,France,"8,577,376",,"121,418 ",,"7,498,630",,"957,328","2,933","130,983","1,854","178,020,146","2,718,502","65,484,659 ",Europe,85390,,,"14,619",,
8,Germany,"6,788,546",,"108,836 ",,"5,724,100",,"955,610","4,636","80,647","1,293","87,852,398","1,043,681","84,175,561 ",Europe,127731,,,"11,353",,
9,Iran,"6,169,011",,"131,033 ",,"5,999,860",,"38,118","2,909","72,099","1,531","40,463,565","472,908","85,563,317 ",Asia,146532,,,445,,
10,Spain,"5,455,527",,"88,708 ",,"4,968,287",,"398,532","1,306","116,618","1,896","66,213,858","1,415,393","46,781,255 ",Europe,95271,,,"8,519",,
11,Argentina,"5,386,453",,"116,899 ",,"5,230,733",,"38,821",789,"117,604","2,552","27,005,746","589,622","45,801,766 ",South America,93922,,,848,,
12,Italy,"5,364,852",,"135,544 ",,"4,881,836",,"347,472",953,"88,922","2,247","129,802,436","2,151,475","60,331,833 ",Europe,114450,,,"5,759",,
13,Colombia,"5,105,285",,"129,399 ",,"4,945,520",,"30,366",342,"98,796","2,504","28,919,466","559,639","51,675,252 ",South America,103992,,,588,,
14,Indonesia,"4,260,380",,"143,998 ",,"4,111,464",,"4,918",,"15,339",518,"59,985,826","215,971","277,749,346 ",Asia,"651,9295",,,18,,
15,Poland,"3,942,864",,"91,415 ",,"3,412,313",,"439,136","2,088","104,347","2,419","26,170,850","692,607","37,786,004 ",Europe,104131,,,"11,622",,
16,Mexico,"3,932,545","+2,530","297,835 ",+268,"3,285,918","+2,019","348,792","4,798","30,040","2,275","12,169,306","92,958","130,911,878 ",North America,3344011,19,2,"2,664",,
17,Ukraine,"3,608,151","+3,602","93,105 ",+176,"3,331,865","+6,866","183,181",177,"83,234","2,148","16,492,954","380,464","43,349,525 ",Europe,124663,83,4,"4,226",,
