#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"243,298,750","+55,749","4,945,928","+1,169","220,490,808","+48,412","17,862,014","76,795","31,213",634.5,,,,All,,,,,,,
1,USA,"46,174,547",,"753,747 ",,"35,898,041",,"9,522,759","14,232","138,441","2,260","677,292,599","2,030,665","333,532,490 ",North America,74420,,,"28,551",,
2,India,"34,143,236",+795,"453,076 ",,"33,514,449","+7,632","175,711","8,944","24,429",324,"597,066,481","427,184","1,397,679,771 ",Asia,"413,0852",0.6,,126,,
3,Brazil,"21,697,341",,"604,764 ",,"20,875,999",,"216,578","8,318","101,140","2,819","63,776,166","297,285","214,528,493 ",South America,103553,,,"1,010",,
4,UK,"8,641,221",,"139,146 ",,"7,057,586",,"1,444,489",872,"126,425","2,036","324,387,705","4,745,922","68,350,834 ",Europe,84910,,,"21,133",,
5,Russia,"8,131,164",,"227,389 ",,"7,091,607",,"812,168","2,300","55,687","1,557","202,100,000","1,384,094","146,016,066 ",Europe,186421,,,"5,562",,
6,Turkey,"7,772,604",,"68,472 ",,"7,201,620",,"502,512",633,"90,885",801,"93,450,205","1,092,714","85,521,219 ",Asia,"111,2491",,,"5,876",,
7,France,"7,108,206",,"117,411 ",,"6,900,956",,"89,839","1,049","108,585","1,794","151,204,954","2,309,818","65,461,836 ",Europe,95580,,,"1,372",,
8,Iran,"5,833,525",,"124,763 ",,"5,375,475",,"333,287","4,486","68,314","1,461","32,619,228","381,990","85,392,956 ",Asia,156843,,,"3,903",,
9,Argentina,"5,277,525",,"115,796 ",,"5,143,070",,"18,659",750,"115,391","2,532","24,692,014","539,880","45,736,108 ",South America,93952,,,408,,
10,Spain,"4,995,176",,"87,102 ",,"4,846,456",,"61,618",434,"106,784","1,862","66,213,858","1,415,479","46,778,395 ",Europe,95371,,,"1,317",,
11,Colombia,"4,986,249",,"126,959 ",,"4,830,746",,"28,544",342,"96,653","2,461","26,405,615","511,842","51,589,357 ",South America,104062,,,553,,
12,Italy,"4,729,678",,"131,724 ",,"4,524,204",,"73,750",356,"78,376","2,183","99,666,582","1,651,589","60,345,866 ",Europe,134581,,,"1,222",,
13,Germany,"4,446,857",,"95,753 ",,"4,192,000","+9,200","159,104","1,336","52,855","1,138","73,348,901","871,819","84,133,217 ",Europe,198791,,,"1,891",,
14,Indonesia,"4,237,834",,"143,120 ",,"4,079,120",,"15,594",,"15,283",516,"44,350,674","159,943","277,291,276 ",Asia,"651,9376",,,56,,
15,Mexico,"3,772,556","+4,798","285,669 ",+322,"3,133,267","+3,723","353,620","4,798","28,865","2,186","11,158,446","85,376","130,697,346 ",North America,3545812,37,2,"2,706",,
16,Poland,"2,956,207",,"76,300 ",,"2,679,824",,"200,083",333,"78,222","2,019","21,708,592","574,415","37,792,548 ",Europe,134952,,,"5,294",,
17,South Africa,"2,918,366",,"88,835 ",,"2,810,316",,"19,215",546,"48,412","1,474","18,283,702","303,300","60,282,494 ",Africa,216793,,,319,,
18,Philippines,"2,740,111",,"41,237 ",,"2,633,039",,"65,835","3,194","24,579",370,"22,430,739","201,208","111,480,268 ",Asia,"412,7035",,,591,,
19,Ukraine,"2,725,385","+23,785","63,003 ",+614,"2,361,365","+8,530","301,017",177,"62,810","1,452","13,854,545","319,296","43,390,942 ",Europe,166893,548,14,"6,937",,
20,Malaysia,"2,413,592",,"28,234 ",,"2,303,583",,"81,775",666,"73,348",858,"33,056,446","1,004,571","32,906,021 ",Asia,"141,1651",,,"2,485",,
21,Peru,"2,192,205",,"199,945 ",,N/A,N/A,N/A,897,"65,303","5,956","18,640,751","555,282","33,569,884 ",South America,151682,,,"8,090",,
22,Netherlands,"2,064,729",,"18,280 ",,"1,969,625",,"76,824",157,"120,152","1,064","17,790,280","1,035,263","17,184,306 ",Europe,89401,,,"4,471",,
23,Iraq,"2,042,117",,"22,875 ",,"1,979,563",,"39,679",247,"49,331",553,"15,622,446","377,388","41,396,206 ",Asia,"201,8103",,,959,,
24,Thailand,"1,831,389","+9,810","18,625 ",+66,"1,710,447","+10,513","102,317","2,728","26,152",266,"9,201,621","131,399","70,028,340 ",Asia,"383,7608",140,0.9,"1,461",,
25,Czechia,"1,718,808",,"30,587 ",,"1,664,910",,"23,311",114,"160,114","2,849","39,583,852","3,687,403","10,734,886 ",Europe,63510,,,"2,172",,
