#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"273,996,352","+36,088","5,361,458",+663,"245,968,477","+82,338","22,666,417","89,127","35,151",687.8,,,,All,,,,,,,
1,USA,"51,610,281",,"826,719 ",,"40,474,346",,"10,309,216","15,602","154,599","2,476","785,300,895","2,352,368","333,834,210 ",North America,64040,,,"30,881",,
2,India,"34,733,194",,"477,158 ",,"34,171,471","+8,706","84,565","8,944","24,813",341,"662,897,388","473,569","1,399,791,068 ",Asia,"402,9342",,,60,,
3,Brazil,"22,209,020",,"617,647 ",,"21,414,318",,"177,055","8,318","103,412","2,876","63,776,166","296,960","214,763,447 ",South America,103483,,,824,,
4,UK,"11,190,354",,"147,048 ",,"9,697,659",,"1,345,647",875,"163,587","2,150","384,287,490","5,617,724","68,406,258 ",Europe,64650,,,"19,671",,
5,Russia,"10,159,389",,"295,104 ",,"8,914,225",,"950,060","2,300","69,573","2,021","234,000,000","1,602,457","146,025,778 ",Europe,144951,,,"6,506",,
6,Turkey,"9,136,565",,"80,053 ",,"8,737,174",,"319,338","1,128","106,658",935,"113,684,162","1,327,117","85,662,476 ",Asia,"91,0701",,,"3,728",,
7,France,"8,518,840",,"121,333 ",,"7,467,067",,"930,440","2,901","130,090","1,853","178,020,146","2,718,518","65,484,265 ",Europe,85400,,,"14,209",,
8,Germany,"6,757,593",,"108,606 ",,"5,724,100","+44,700","924,887","4,636","80,280","1,290","87,852,398","1,043,690","84,174,831 ",Europe,127751,,,"10,988",,
9,Iran,"6,167,650",,"130,992 ",,"5,995,734",,"40,924","2,941","72,085","1,531","40,463,565","472,924","85,560,380 ",Asia,146532,,,478,,
10,Spain,"5,455,527",,"88,708 ",,"4,968,287",,"398,532","1,306","116,618","1,896","66,213,858","1,415,394","46,781,205 ",Europe,95271,,,"8,519",,
11,Argentina,"5,382,290",,"116,892 ",,"5,228,552",,"36,846",756,"117,516","2,552","26,961,711","588,675","45,800,634 ",South America,93922,,,804,,
12,Italy,"5,336,795",,"135,421 ",,"4,869,406",,"331,968",923,"88,457","2,245","129,104,696","2,139,902","60,332,074 ",Europe,114460,,,"5,502",,
13,Colombia,"5,103,269",,"129,345 ",,"4,943,964",,"29,960",342,"98,759","2,503","28,885,434","558,996","51,673,771 ",South America,104002,,,580,,
14,Indonesia,"4,260,148",,"143,986 ",,"4,111,250",,"4,912",,"15,339",518,"59,652,804","214,778","277,741,448 ",Asia,"651,9295",,,18,,
15,Mexico,"3,930,015","+2,750","297,567 ",+211,"3,283,899","+1,955","348,549","4,798","30,021","2,273","12,152,050","92,829","130,908,180 ",North America,3344011,21,2,"2,663",,
16,Poland,"3,923,472",,"90,872 ",,"3,386,221",,"446,379","2,106","103,834","2,405","25,966,712","687,202","37,786,117 ",Europe,104161,,,"11,813",,
17,Ukraine,"3,604,549","+7,503","92,929 ",+288,"3,324,999","+18,534","186,621",177,"83,149","2,144","16,474,655","380,036","43,350,239 ",Europe,124663,173,7,"4,305",,
18,South Africa,"3,276,529",,"90,297 ",,"2,975,417",,"210,815",546,"54,248","1,495","20,985,692","347,451","60,398,940 ",Africa,186693,,,"3,490",,
19,Netherlands,"2,952,128",,"20,370 ",,"2,334,862",,"596,896",622,"171,733","1,185","19,205,114","1,117,213","17,190,193 ",Europe,68441,,,"34,723",,
20,Philippines,"2,837,464",,"50,570 ",,"2,776,727",,"10,167",899,"25,401",453,"24,814,389","222,137","111,707,434 ",Asia,"392,2095",,,91,,
21,Malaysia,"2,711,764",,"31,044 ",,"2,625,245",,"55,475",400,"82,248",942,"39,517,168","1,198,558","32,970,601 ",Asia,"121,0621",,,"1,683",,
22,Czechia,"2,397,246","+8,963","35,149 ",+36,"2,135,327",+530,"226,770",889,"223,249","3,273","46,057,471","4,289,215","10,737,971 ",Europe,43050,835,3,"21,119",,
23,Peru,"2,260,180",,"202,076 ",,N/A,N/A,N/A,943,"67,184","6,007","21,022,179","624,890","33,641,433 ",South America,151662,,,"10,030",,
