#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"270,966,432","+426,735","5,327,271","+4,598","243,555,805","+430,620","22,083,356","88,623","34,762",683.4,,,,All,,,,,,,
1,USA,"50,938,289","+68,858","818,821 ",+351,"40,078,973","+63,023","10,040,495","15,037","152,598","2,453","775,276,658","2,322,524","333,807,743 ",North America,74080,206,1,"30,079",,
2,India,"34,703,508","+5,648","475,640 ",+4,"34,130,768","+7,973","97,100","8,944","24,795",340,"656,672,451","469,184","1,399,605,867 ",Asia,"402,9432",4,,69,,
3,Brazil,"22,191,949","+2,082","616,980 ",+39,"21,414,318",,"160,651","8,318","103,342","2,873","63,776,166","296,989","214,742,837 ",South America,103483,10,0.2,748,,
4,UK,"10,873,468","+54,661","146,477 ",+38,"9,528,314","+37,907","1,198,677",901,"158,966","2,141","378,044,610","5,526,855","68,401,397 ",Europe,64670,799,0.6,"17,524",,
5,Russia,"10,046,454","+29,558","290,604 ","+1,121","8,769,916","+28,561","985,934","2,300","68,800","1,990","232,100,000","1,589,455","146,024,926 ",Europe,155021,202,8,"6,752",,
6,Turkey,"9,058,975","+18,796","79,322 ",+171,"8,637,984","+23,242","341,669","1,128","105,767",926,"112,259,860","1,310,680","85,650,085 ",Asia,"91,0801",219,2,"3,989",,
7,France,"8,270,728","+12,036","120,431 ",,"7,330,260","+30,406","820,037","2,602","126,305","1,839","175,073,861","2,673,606","65,482,298 ",Europe,85440,184,,"12,523",,
8,Germany,"6,559,716","+28,804","106,591 ",+260,"5,435,700","+40,400","1,017,425","4,636","77,933","1,266","87,852,398","1,043,735","84,171,180 ",Europe,137901,342,3,"12,088",,
9,Iran,"6,157,519","+2,706","130,764 ",+42,"5,975,404","+5,813","51,351","3,069","71,979","1,529","40,157,086","469,423","85,545,694 ",Asia,146542,32,0.5,600,,
10,Argentina,"5,361,967","+3,512","116,792 ",+21,"5,218,343","+2,336","26,832",704,"117,086","2,550","26,723,972","583,557","45,794,974 ",South America,93922,77,0.5,586,,
11,Spain,"5,339,992","+16,600","88,484 ",+35,"4,954,319","+4,251","297,189","1,056","114,149","1,891","66,213,858","1,415,402","46,780,959 ",Europe,95291,355,0.7,"6,353",,
12,Italy,"5,238,221","+12,712","134,929 ",+90,"4,812,535","+6,726","290,757",856,"86,821","2,236","126,306,054","2,093,472","60,333,284 ",Europe,124470,211,1,"4,819",,
13,Colombia,"5,095,821","+2,287","129,163 ",+56,"4,935,876","+2,051","30,782",342,"98,629","2,500","28,684,089","555,179","51,666,366 ",South America,104002,44,1,596,,
14,Indonesia,"4,259,249",+106,"143,948 ",+12,"4,110,327",+278,"4,974",,"15,337",518,"58,431,254","210,410","277,701,960 ",Asia,"651,9295",0.4,0.04,18,,
15,Mexico,"3,918,216",+855,"296,672 ",+52,"3,273,260","+2,202","348,284","4,798","29,935","2,267","12,069,833","92,214","130,889,685 ",North America,3344111,7,0.4,"2,661",,
16,Poland,"3,839,625","+11,379","88,508 ",+29,"3,314,243","+25,126","436,874","2,152","101,613","2,342","25,609,282","677,733","37,786,681 ",Europe,104271,301,0.8,"11,562",,
17,Ukraine,"3,563,165","+4,073","91,215 ",+188,"3,205,879","+9,966","266,071",177,"82,188","2,104","16,306,176","376,119","43,353,809 ",Europe,124753,94,4,"6,137",,
18,South Africa,"3,180,785","+13,288","90,148 ",+11,"2,913,297",+65,"177,340",546,"52,672","1,493","20,283,906","335,889","60,388,725 ",Africa,196703,220,0.2,"2,937",,
19,Netherlands,"2,894,209","+13,783","20,140 ",+28,"2,262,971","+13,810","611,098",644,"168,369","1,172","19,205,114","1,117,247","17,189,677 ",Europe,68541,802,2,"35,550",,
