#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
183,Cayman Islands,"6,283",+190,4 ,,"2,234",+86,"4,045",29,"94,061",60,"139,740","2,092,010","66,797 ",North America,"1116,6990","2,844",,"60,557",,
184,Grenada,"5,878",,200 ,,"5,622",,56,,"51,903","1,766","86,590","764,592","113,250 ",North America,195661,,,494,,
185,Liberia,"5,819",,287 ,,"5,523",,9,2,"1,114",55,"128,246","24,554","5,222,984 ",Africa,"89818,19941",,,2,,
186,San Marino,"5,790",,93 ,,"5,519",,178,2,"170,144","2,733","88,512","2,600,999","34,030 ",Europe,63660,,,"5,231",,
187,Bermuda,"5,724",,106 ,,"5,593",,25,2,"92,387","1,711","635,146","10,251,400","61,957 ",North America,115850,,,404,,
188,Dominica,"5,642",,35 ,,"5,199",,408,,"78,106",485,"104,184","1,442,293","72,235 ",North America,"132,0641",,,"5,648",,
189,St. Vincent Grenadines,"5,414",,73 ,,"4,878",,463,7,"48,586",655,"89,297","801,366","111,431 ",North America,"211,5261",,,"4,155",,
190,Chad,"5,105",,175 ,,"4,874",,56,,299,10,"148,082","8,669","17,080,860 ",Africa,"3,34697,605115",,,3,,
191,Sint Maarten,"4,565",,75 ,,"4,465",,25,10,"104,812","1,722","62,056","1,424,806","43,554 ",North America,105811,,,574,,
192,Comoros,"4,478",+12,150 ,,"4,254",+11,74,,"5,001",168,,,"895,367 ",Africa,"2005,969",13,,83,,
193,Liechtenstein,"4,305",+63,61 ,,"3,853",+46,391,5,"112,458","1,593","77,368","2,021,055","38,281 ",Europe,96280,"1,646",,"10,214",,
194,Antigua and Barbuda,"4,138",,117 ,,"3,995",,26,11,"41,773","1,181","17,782","179,509","99,059 ",North America,248476,,,262,,
195,Saint Martin,"3,949",,56 ,,"1,399",,"2,494",7,"99,763","1,415","54,303","1,371,842","39,584 ",North America,107071,,,"63,005",,
197,Monaco,"3,642",+30,36 ,,"3,476",+16,130,1,"91,900",908,"54,960","1,386,828","39,630 ",Europe,"111,1011",757,,"3,280",,
198,Faeroe Islands,"3,284",+40,13 ,+1,"2,895",+31,376,7,"66,854",265,"549,000","11,176,255","49,122 ",Europe,"153,7790",814,20,"7,654",,
199,Turks and Caicos,"3,088",+3,23 ,,"3,020",+23,45,,"78,284",583,"94,789","2,403,007","39,446 ",North America,"131,7150",76,,"1,141",,
200,Caribbean Netherlands,"2,802",+39,22 ,+1,"2,580",+10,200,,"105,485",828,"30,126","1,134,134","26,563 ",North America,"91,2071","1,468",38,"7,529",,
201,Saint Kitts and Nevis,"2,774",,28 ,,"2,716",,30,1,"51,635",521,"55,608","1,035,087","53,723 ",North America,"191,9191",,,558,,
202,British Virgin Islands,"2,765",,38 ,,N/A,N/A,N/A,7,"90,623","1,245","82,570","2,706,237","30,511 ",North America,118030,,,"2,556",,
203,Bhutan,"2,633",,3 ,,"2,620",,10,,"3,361",4,"1,233,474","1,574,431","783,441 ",Asia,"298261,1471",,,13,,
204,St. Barth,"1,595",,6 ,,462,,"1,127",,"160,803",605,"38,369","3,868,233","9,919 ",North America,"61,6530",,,"113,620",,
205,Anguilla,"1,334",,3 ,,"1,207",,124,,"87,821",197,"51,382","3,382,620","15,190 ",North America,"115,0630",,,"8,163",,
206,Greenland,"1,311",+19, ,,"1,011",,300,2,"23,038",,"106,610","1,873,407","56,907 ",North America,431,334,,"5,272",,
210,Falkland Islands,72,, ,,68,,4,,"19,884",,"7,747","2,139,464","3,621 ",South America,500,,,"1,105",,
211,Montserrat,44,,1 ,,40,,3,,"8,807",200,"2,849","570,256","4,996 ",North America,"1144,9962",,,600,,
212,Saint Pierre Miquelon,44,, ,,32,,12,,"7,646",,"11,864","2,061,512","5,755 ",North America,1310,,,"2,085",,
215,Western Sahara,10,,1 ,,8,,1,,16,2,,,"617,759 ",Africa,"61,776617,759",,,2,,
218,Vanuatu,6,,1 ,,3,,2,,19,3,"23,000","72,526","317,126 ",Australia/Oceania,"52,854317,12614",,,6,,
223,Tonga,1,, ,,,,1,,9,,,,"107,363 ",Australia/Oceania,"107,363",,,9,,
224,China,"98,546",+22,"4,636 ",,"92,952",+70,958,7,68,3,"160,000,000","111,163","1,439,323,776 ",Asia,"14,606310,4679",0.02,,0.7,,
Total:,"259,633,842","+589,790","5,190,323","+6,902","234,782,141","+432,690","19,661,378","82,262","33,308.6",665.9,,,,All,,,,,,,
