#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"258,297,029","+406,658","5,173,149","+4,782","233,727,131","+330,349","19,396,749","80,331","33,137",663.7,,,,All,,,,,,,
1,USA,"48,680,326","+46,338","794,312 ",+263,"38,545,816","+70,198","9,340,198","11,812","145,882","2,380","741,479,464","2,222,017","333,696,583 ",North America,74200,139,0.8,"27,990",,
2,India,"34,523,965","+5,064","465,911 ",,"33,934,547","+12,510","123,507","8,944","24,681",333,"632,524,259","452,182","1,398,828,020 ",Asia,"413,0022",4,,88,,
3,Brazil,"22,019,870","+2,594","612,782 ",+60,"21,222,032",,"185,056","8,318","102,582","2,855","63,776,166","297,108","214,656,275 ",South America,103503,12,0.3,862,,
4,UK,"9,889,926","+44,917","143,972 ",+45,"8,751,945",,"994,009",911,"144,630","2,105","354,308,340","5,181,388","68,380,977 ",Europe,74750,657,0.7,"14,536",,
5,Russia,"9,366,839","+35,681","265,336 ","+1,241","8,053,643","+28,713","1,047,860","2,300","64,147","1,817","221,000,000","1,513,477","146,021,348 ",Europe,165501,244,8,"7,176",,
6,Turkey,"8,596,410","+24,856","75,235 ",+193,"8,120,882","+28,935","400,293","1,405","100,428",879,"104,799,990","1,224,327","85,598,043 ",Asia,"101,1381",290,2,"4,676",,
7,France,"7,420,237","+5,266","118,555 ",+94,"7,052,321","+2,024","249,361","1,049","113,331","1,811","151,204,954","2,309,388","65,474,034 ",Europe,95520,80,1,"3,809",,
8,Iran,"6,082,865","+5,427","129,053 ",+97,"5,795,060","+11,635","158,752","3,409","71,158","1,510","37,887,368","443,210","85,484,011 ",Asia,146622,63,1,"1,857",,
9,Germany,"5,418,681","+40,489","99,817 ",+204,"4,649,300","+23,000","669,564","3,675","64,389","1,186","81,975,529","974,092","84,155,849 ",Europe,168431,481,2,"7,956",,
10,Argentina,"5,315,989",+641,"116,382 ",+5,"5,182,821","+1,455","16,786",566,"116,143","2,543","25,918,391","566,260","45,771,201 ",South America,93932,14,0.1,367,,
11,Spain,"5,096,538","+5,291","87,832 ",+8,"4,907,344","+1,873","101,362",458,"108,947","1,878","66,213,858","1,415,433","46,779,923 ",Europe,95331,113,0.2,"2,167",,
12,Colombia,"5,050,255","+2,194","128,138 ",+45,"4,890,990","+2,712","31,127",342,"97,806","2,482","27,744,614","537,319","51,635,266 ",South America,104032,42,0.9,603,,
13,Italy,"4,932,091","+6,404","133,247 ",+70,"4,647,330","+3,579","151,514",549,"81,741","2,208","114,767,310","1,902,062","60,338,365 ",Europe,124531,106,1,"2,511",,
14,Indonesia,"4,253,598",+186,"143,744 ",+5,"4,101,889",+342,"7,965",,"15,326",518,"52,270,641","188,338","277,536,107 ",Asia,"651,9315",0.7,0.02,29,,
15,Mexico,"3,863,362","+1,225","292,471 ",+99,"3,224,604","+2,225","346,287","4,798","29,534","2,236","11,704,633","89,477","130,812,010 ",North America,3444711,9,0.8,"2,647",,
16,Poland,"3,357,763","+12,334","80,830 ",+8,"2,901,800","+13,953","375,133","1,526","88,855","2,139","23,697,612","627,103","37,789,050 ",Europe,114682,326,0.2,"9,927",,
17,Ukraine,"3,340,407","+7,464","81,598 ",+326,"2,773,490","+10,540","485,319",177,"77,023","1,881","15,557,638","358,729","43,368,805 ",Europe,135313,172,8,"11,191",,
18,South Africa,"2,930,174",+312,"89,584 ",+10,"2,821,141",,"19,449",546,"48,556","1,485","19,126,699","316,951","60,345,824 ",Africa,216743,5,0.2,322,,
19,Philippines,"2,826,853",+984,"47,288 ",+218,"2,759,767","+2,229","19,798","1,170","25,329",424,"23,924,429","214,369","111,603,814 ",Asia,"392,3605",9,2,177,,
20,Malaysia,"2,591,486","+4,885","30,063 ",+61,"2,493,437","+5,628","67,986",549,"78,670",913,"36,797,482","1,117,068","32,941,144 ",Asia,"131,0961",148,2,"2,064",,
21,Netherlands,"2,465,288","+23,002","18,995 ",+29,"2,057,307","+5,665","388,986",481,"143,435","1,105","19,205,114","1,117,388","17,187,508 ",Europe,79051,"1,338",2,"22,632",,
22,Peru,"2,224,344",,"200,866 ",,N/A,N/A,N/A,885,"66,183","5,977","19,939,334","593,277","33,608,797 ",South America,151672,,,"9,010",,
23,Iraq,"2,075,248",+829,"23,686 ",+21,"2,034,296","+1,281","17,266",126,"50,039",571,"16,196,368","390,530","41,472,840 ",Asia,"201,7513",20,0.5,416,,
24,Thailand,"2,071,009","+6,428","20,434 ",+49,"1,964,805","+7,882","85,770","1,595","29,568",292,"14,913,135","212,914","70,043,133 ",Asia,"343,4285",92,0.7,"1,225",,
25,Czechia,"2,003,561","+8,244","32,173 ",+46,"1,768,353",+97,"203,035",715,"186,611","2,997","42,744,650","3,981,222","10,736,564 ",Europe,53340,768,4,"18,911",,
26,Canada,"1,767,677","+1,770","29,508 ",+10,"1,713,583","+2,876","24,586",501,"46,273",772,"47,772,982","1,250,559","38,201,314 ",North America,"221,2951",46,0.3,644,,
27,Romania,"1,764,251","+1,550","55,113 ",+125,"1,645,732","+6,388","63,406","1,539","92,566","2,892","15,729,235","825,273","19,059,428 ",Europe,113461,81,7,"3,327",,
28,Chile,"1,745,305","+2,168","38,149 ",+32,"1,641,900","+1,971","65,256",653,"90,225","1,972","25,081,569","1,296,615","19,343,889 ",South America,115071,112,2,"3,373",,
29,Japan,"1,726,474",+143,"18,347 ",,"1,706,867",+133,"1,260",63,"13,709",146,"27,503,645","218,389","125,938,746 ",Asia,"736,8645",1,,10,,
30,Belgium,"1,581,500",,"26,568 ",,"1,266,361",,"288,571",577,"135,639","2,279","23,489,377","2,014,589","11,659,637 ",Europe,74390,,,"24,750",,
31,Bangladesh,"1,574,352",+264,"27,955 ",+2,"1,538,537",+339,"7,860","1,377","9,429",167,"10,742,411","64,339","166,965,728 ",Asia,"1065,97316",2,0.01,47,,
32,Israel,"1,341,122",+507,"8,177 ",+1,"1,327,316",+224,"5,629",129,"143,805",877,"31,097,136","3,334,456","9,326,000 ",Asia,"71,1410",54,0.1,604,,
33,Pakistan,"1,282,195",+323,"28,663 ",+4,"1,230,970",+236,"22,562","1,043","5,653",126,"21,682,105","95,585","226,836,327 ",Asia,"1777,91410",1,0.02,99,,
34,Serbia,"1,235,828","+2,771","11,281 ",+56,"1,157,383","+6,067","67,164",213,"142,237","1,298","6,693,075","770,338","8,688,491 ",Europe,77701,319,6,"7,730",,
35,Sweden,"1,188,735",,"15,078 ",,"1,151,785",,"21,872",30,"116,695","1,480","13,586,095","1,333,714","10,186,664 ",Europe,96761,,,"2,147",,
36,Portugal,"1,123,758","+1,475","18,339 ",+18,"1,059,660",+658,"45,759",93,"110,656","1,806","20,530,528","2,021,633","10,155,419 ",Europe,95540,145,2,"4,506",,
37,Vietnam,"1,104,835","+10,321","23,951 ",+190,"910,276","+4,776","170,608","4,992","11,210",243,"66,125,473","670,958","98,553,778 ",Asia,"894,1151",105,2,"1,731",,
38,Austria,"1,070,419","+13,806","12,042 ",+27,"905,393","+10,239","152,984",562,"117,917","1,327","107,187,151","11,807,715","9,077,722 ",Europe,87540,"1,521",3,"16,853",,
