#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"270,526,366","+108,587","5,324,571","+2,582","243,305,741","+198,872","21,896,054","88,623","34,706",683.1,,,,All,,,,,,,
1,USA,"50,801,455",,"817,956 ",,"40,003,674",,"9,979,825","15,001","152,188","2,450","773,733,664","2,317,902","333,807,743 ",North America,74080,,,"29,897",,
2,India,"34,697,860",,"475,636 ",,"34,130,768","+7,973","91,456","8,944","24,791",340,"656,672,451","469,184","1,399,605,867 ",Asia,"402,9432",,,65,,
3,Brazil,"22,189,867",,"616,941 ",,"21,414,318",,"158,608","8,318","103,332","2,873","63,776,166","296,989","214,742,837 ",South America,103483,,,739,,
4,UK,"10,819,515",,"146,439 ",,"9,490,407",,"1,182,669",900,"158,177","2,141","374,468,898","5,474,580","68,401,397 ",Europe,64670,,,"17,290",,
5,Russia,"10,046,454","+29,558","290,604 ","+1,121","8,769,916","+28,561","985,934","2,300","68,800","1,990","232,100,000","1,589,455","146,024,926 ",Europe,155021,202,8,"6,752",,
6,Turkey,"9,040,179",,"79,151 ",,"8,614,742",,"346,286","1,128","105,548",924,"111,908,324","1,306,576","85,650,085 ",Asia,"91,0821",,,"4,043",,
7,France,"8,258,692",,"120,431 ",,"7,330,260","+30,406","808,001","2,602","126,121","1,839","175,073,861","2,673,606","65,482,298 ",Europe,85440,,,"12,339",,
8,Germany,"6,530,912",,"106,331 ",,"5,435,700","+40,400","988,881","4,636","77,591","1,263","87,852,398","1,043,735","84,171,180 ",Europe,137921,,,"11,748",,
9,Iran,"6,154,813",,"130,722 ",,"5,969,591",,"54,500","3,104","71,948","1,528","40,054,772","468,227","85,545,694 ",Asia,146542,,,637,,
10,Argentina,"5,358,455",,"116,771 ",,"5,216,007",,"25,677",693,"117,010","2,550","26,686,014","582,728","45,794,974 ",South America,93922,,,561,,
11,Spain,"5,290,190",,"88,381 ",,"4,943,735",,"258,074","1,056","113,084","1,889","66,213,858","1,415,402","46,780,959 ",Europe,95291,,,"5,517",,
