#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"263,643,349","+601,856","5,240,453","+7,243","237,922,156","+387,851","20,480,740","86,886","33,823",672.3,,,,All,,,,,,,
1,USA,"49,515,623","+76,760","804,300 ","+1,047","39,244,454","+38,552","9,466,869","13,306","148,364","2,410","754,928,033","2,261,996","333,744,223 ",North America,74150,230,3,"28,366",,
2,India,"34,605,439","+8,663","469,532 ",+285,"34,028,506","+10,207","107,401","8,944","24,733",336,"642,412,315","459,141","1,399,161,383 ",Asia,"402,9802",6,0.2,77,,
3,Brazil,"22,105,872","+11,413","614,964 ",+210,"21,321,631",,"169,277","8,318","102,965","2,864","63,776,166","297,057","214,693,373 ",South America,103493,53,1.0,788,,
4,UK,"10,276,007","+48,374","145,140 ",+171,"9,095,983","+33,422","1,034,884",916,"150,257","2,122","363,637,864","5,317,142","68,389,728 ",Europe,74710,707,3,"15,132",,
5,Russia,"9,669,718","+32,837","276,419 ","+1,226","8,364,932","+35,679","1,028,367","2,300","66,221","1,893","225,500,000","1,544,279","146,022,882 ",Europe,155281,225,8,"7,043",,
6,Turkey,"8,818,144","+22,556","77,038 ",+196,"8,350,494","+24,113","390,612","1,405","102,991",900,"108,036,172","1,261,805","85,620,347 ",Asia,"101,1111",263,2,"4,562",,
7,France,"7,725,114","+49,610","119,227 ",+96,"7,137,512","+12,488","468,375","1,886","117,981","1,821","162,981,031","2,489,112","65,477,576 ",Europe,85490,758,1,"7,153",,
8,Iran,"6,121,757","+4,312","129,912 ",+82,"5,892,574","+9,104","99,271","4,312","71,591","1,519","38,439,240","449,527","85,510,446 ",Asia,146582,50,1.0,"1,161",,
9,Germany,"5,953,038","+71,615","102,550 ",+413,"4,937,600","+44,300","912,888","4,459","70,733","1,218","83,816,414","995,889","84,162,420 ",Europe,148211,851,5,"10,847",,
10,Argentina,"5,330,748",,"116,589 ",,"5,193,691",,"20,468",617,"116,439","2,547","26,222,843","572,784","45,781,390 ",South America,93932,,,447,,
11,Spain,"5,174,720","+10,536","88,080 ",+28,"4,924,551","+1,411","162,089",741,"110,617","1,883","66,213,858","1,415,420","46,780,367 ",Europe,95311,225,0.6,"3,465",,
12,Colombia,"5,069,644",,"128,528 ",,"4,909,572",,"31,544",342,"98,156","2,489","28,112,712","544,307","51,648,595 ",South America,104022,,,611,,
13,Italy,"5,043,620","+15,085","133,931 ",+93,"4,709,906","+9,457","199,783",686,"83,592","2,220","119,905,510","1,987,290","60,336,188 ",Europe,124511,250,2,"3,311",,
14,Indonesia,"4,256,687",+278,"143,840 ",+10,"4,104,964",+307,"7,883",,"15,333",518,"54,746,617","197,209","277,607,186 ",Asia,"651,9305",1,0.04,28,,
15,Mexico,"3,887,873","+3,307","294,246 ",+296,"3,245,219","+2,272","348,408","4,798","29,714","2,249","11,861,186","90,650","130,845,299 ",North America,3444511,25,2,"2,663",,
16,Poland,"3,569,137","+29,064","84,153 ",+570,"3,048,528","+10,077","436,456","1,870","94,452","2,227","24,433,048","646,582","37,788,035 ",Europe,114492,769,15,"11,550",,
17,Ukraine,"3,450,341","+11,960","86,532 ",+557,"2,972,192","+26,160","391,617",177,"79,570","1,996","15,917,165","367,073","43,362,378 ",Europe,135013,276,13,"9,031",,
18,South Africa,"2,976,613","+8,561","89,871 ",+28,"2,850,142",+584,"36,600",546,"49,311","1,489","19,529,031","323,520","60,364,210 ",Africa,206723,142,0.5,606,,
19,Philippines,"2,833,038",+500,"48,712 ",+167,"2,768,999",+951,"15,327","1,023","25,377",436,"24,238,501","217,114","111,639,683 ",Asia,"392,2925",4,1,137,,
20,Netherlands,"2,661,691","+18,515","19,459 ",+45,"2,120,332","+7,629","521,900",605,"154,854","1,132","19,205,114","1,117,327","17,188,438 ",Europe,68831,"1,077",3,"30,363",,
21,Malaysia,"2,638,221","+5,439","30,474 ",+49,"2,544,007","+6,803","63,740",500,"80,064",925,"37,882,464","1,149,649","32,951,341 ",Asia,"121,0811",165,1,"1,934",,
22,Peru,"2,236,351",,"201,176 ",,N/A,N/A,N/A,971,"66,518","5,984","20,314,089","604,225","33,620,094 ",South America,151672,,,"9,355",,
23,Czechia,"2,172,084","+21,973","33,186 ",+54,"1,860,920",+460,"277,978","1,069","202,298","3,091","43,809,304","4,080,199","10,737,051 ",Europe,53240,"2,046",5,"25,890",,
24,Thailand,"2,120,758","+4,886","20,812 ",+43,"2,025,754","+6,326","74,192","1,369","30,276",297,"14,913,135","212,901","70,047,428 ",Asia,"333,3665",70,0.6,"1,059",,
25,Iraq,"2,082,061",+889,"23,844 ",+24,"2,046,224","+1,203","11,993",103,"50,176",575,"16,363,328","394,344","41,495,089 ",Asia,"201,7403",21,0.6,289,,
26,Canada,"1,794,634","+2,134","29,696 ",+9,"1,739,068","+1,812","25,870",497,"46,968",777,"48,807,147","1,277,358","38,209,443 ",North America,"211,2871",56,0.2,677,,
27,Romania,"1,780,808","+1,141","56,618 ",+79,"1,689,184","+2,432","35,006","1,121","93,450","2,971","16,037,036","841,561","19,056,290 ",Europe,113371,60,4,"1,837",,
28,Belgium,"1,766,035","+16,566","27,015 ",+49,"1,340,916","+7,106","398,104",760,"151,450","2,317","24,726,131","2,120,435","11,660,874 ",Europe,74320,"1,421",4,"34,140",,
29,Chile,"1,764,274","+1,523","38,356 ",+10,"1,658,440","+1,735","67,478",688,"91,187","1,982","25,644,143","1,325,421","19,347,920 ",South America,115041,79,0.5,"3,488",,
30,Japan,"1,727,304",+83,"18,360 ",+1,"1,708,079",+73,865,43,"13,716",146,"27,926,519","221,764","125,929,267 ",Asia,"736,8595",0.7,0.01,7,,
31,Bangladesh,"1,576,566",+282,"27,983 ",+2,"1,541,348",+383,"7,235","1,382","9,440",168,"10,907,602","65,313","167,006,043 ",Asia,"1065,96815",2,0.01,43,,
32,Israel,"1,344,103",+443,"8,199 ",+3,"1,330,366",+566,"5,538",115,"144,124",879,"31,188,024","3,344,202","9,326,000 ",Asia,"71,1370",48,0.3,594,,
33,Pakistan,"1,285,254",+414,"28,737 ",+9,"1,242,354",+118,"14,163",896,"5,663",127,"22,028,156","97,065","226,941,972 ",Asia,"1777,89710",2,0.04,62,,
34,Serbia,"1,257,025","+2,180","11,744 ",+53,"1,196,695","+3,430","48,586",191,"144,691","1,352","6,830,241","786,203","8,687,629 ",Europe,77401,251,6,"5,593",,
35,Vietnam,"1,252,590","+14,508","25,448 ",+196,"992,052","+2,704","235,090","6,497","12,707",258,"68,597,022","695,885","98,575,292 ",Asia,"793,8741",147,2,"2,385",,
36,Sweden,"1,207,498",,"15,128 ",,"1,159,123",+630,"33,247",41,"118,519","1,485","13,708,481","1,345,524","10,188,210 ",Europe,86731,,,"3,263",,
37,Austria,"1,170,362","+10,367","12,553 ",+61,"1,022,661","+14,752","135,148",649,"128,909","1,383","111,071,336","12,233,896","9,078,983 ",Europe,87230,"1,142",7,"14,886",,
38,Portugal,"1,151,919","+4,670","18,458 ",+17,"1,077,683","+2,446","55,778",116,"113,437","1,818","21,283,107","2,095,889","10,154,691 ",Europe,95500,460,2,"5,493",,
39,Hungary,"1,114,260","+11,152","34,713 ",+192,"891,691","+9,032","187,856",562,"115,759","3,606","8,474,664","880,422","9,625,685 ",Europe,92771,"1,159",20,"19,516",,
40,Switzerland,"1,020,311","+4,902","11,548 ",+2,"862,570","+1,070","146,193",207,"116,687","1,321","12,468,877","1,425,991","8,744,009 ",Europe,97571,561,0.2,"16,719",,
41,Kazakhstan,"972,292",+751,"12,703 ",+7,"937,383","+1,433","22,206",528,"50,922",665,"11,575,012","606,220","19,093,759 ",Asia,"201,5032",39,0.4,"1,163",,
42,Cuba,"962,628",+142,"8,305 ",+1,"953,566",+229,757,25,"85,062",734,"11,116,221","982,272","11,316,847 ",North America,"121,3631",13,0.09,67,,
43,Jordan,"958,990","+5,047","11,633 ",+25,"890,366","+3,292","56,991","1,105","92,691","1,124","12,220,357","1,181,150","10,346,151 ",Asia,118891,488,2,"5,508",,
44,Morocco,"950,088",+171,"14,779 ",+3,"932,421",+130,"2,888",347,"25,317",394,"10,458,391","278,681","37,528,160 ",Africa,"392,5394",5,0.08,77,,
