#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,"255,292,222","+219,809","5,133,908","+4,184","230,779,146","+191,128","19,379,168","78,456","32,752",658.6,,,,All,,,,,,,
1,USA,"48,161,377",,"786,268 ",,"38,139,928",,"9,235,181","11,412","144,338","2,356","725,352,987","2,173,863","333,670,117 ",North America,74240,,,"27,678",,
2,India,"34,466,598",,"464,153 ",,"33,873,890","+12,134","128,555","8,944","24,643",332,"627,016,336","448,303","1,398,642,819 ",Asia,"413,0132",,,92,,
3,Brazil,"21,965,684",,"611,524 ",,"21,177,367",,"176,793","8,318","102,339","2,849","63,776,166","297,137","214,635,665 ",South America,103513,,,824,,
4,UK,"9,637,190",,"143,159 ",,"7,903,418",,"1,590,613",999,"140,944","2,094","348,362,751","5,094,802","68,376,115 ",Europe,74780,,,"23,263",,
5,Russia,"9,182,538","+36,626","259,084 ","+1,247","7,882,836","+36,388","1,040,618","2,300","62,885","1,774","218,300,000","1,494,996","146,020,496 ",Europe,165641,251,9,"7,127",,
6,Turkey,"8,457,119",,"73,973 ",,"7,941,664",,"441,482","1,405","98,815",864,"102,663,917","1,199,546","85,585,652 ",Asia,"101,1571",,,"5,158",,
7,France,"7,310,664",,"118,271 ",,"7,022,023",,"170,370","1,049","111,661","1,806","151,204,954","2,309,457","65,472,067 ",Europe,95540,,,"2,602",,
8,Iran,"6,057,893","+6,251","128,531 ",+125,"5,734,181","+13,288","195,181","3,463","70,878","1,504","37,359,561","437,111","85,469,325 ",Asia,146652,73,1,"2,284",,
9,Argentina,"5,308,781",,"116,294 ",,"5,174,548",,"17,939",578,"116,000","2,541","25,717,039","561,930","45,765,541 ",South America,93942,,,392,,
10,Germany,"5,108,904",,"98,660 ",,"4,540,900","+24,900","469,344","2,828","60,710","1,172","80,348,721","954,802","84,152,199 ",Europe,168531,,,"5,577",,
11,Spain,"5,061,045",,"87,745 ",,"4,896,670",,"76,630",427,"108,189","1,876","66,213,858","1,415,441","46,779,677 ",Europe,95331,,,"1,638",,
12,Colombia,"5,036,287",,"127,865 ",,"4,877,518",,"30,904",342,"97,550","2,477","27,465,596","531,992","51,627,862 ",South America,104042,,,599,,
13,Italy,"4,873,075",,"132,893 ",,"4,616,786",,"123,396",481,"80,761","2,202","111,735,792","1,851,783","60,339,575 ",Europe,124541,,,"2,045",,
14,Indonesia,"4,251,945",+522,"143,698 ",+13,"4,099,857",+458,"8,390",,"15,323",518,"50,940,689","183,572","277,496,618 ",Asia,"651,9315",2,0.05,30,,
15,Mexico,"3,847,243",+735,"291,241 ",+37,"3,211,986","+2,123","344,016","4,798","29,415","2,227","11,604,734","88,726","130,793,516 ",North America,3444911,6,0.3,"2,630",,
16,Ukraine,"3,263,417","+18,668","78,754 ",+769,"2,684,584","+20,211","500,079",177,"75,242","1,816","15,348,780","353,884","43,372,376 ",Europe,135513,430,18,"11,530",,
17,Poland,"3,254,875","+24,239","79,624 ",+463,"2,831,903","+4,876","343,348","1,326","86,131","2,107","23,292,952","616,385","37,789,615 ",Europe,124752,641,12,"9,086",,
18,South Africa,"2,926,348",,"89,504 ",,"2,820,030",,"16,814",546,"48,501","1,483","18,962,806","314,289","60,335,609 ",Africa,216743,,,279,,
19,Philippines,"2,820,494","+1,190","46,117 ",+309,"2,750,531","+2,759","23,846","1,253","25,277",413,"23,675,873","212,180","111,583,887 ",Asia,"402,4205",11,3,214,,
20,Malaysia,"2,556,865",,"29,769 ",,"2,461,780",,"65,316",545,"77,633",904,"36,005,549","1,093,215","32,935,479 ",Asia,"131,1061",,,"1,983",,
21,Netherlands,"2,334,472",,"18,785 ",,"2,028,926",,"286,761",376,"135,828","1,093","19,205,114","1,117,421","17,186,992 ",Europe,79151,,,"16,685",,
22,Peru,"2,216,832",,"200,695 ",,N/A,N/A,N/A,908,"65,972","5,973","19,707,040","586,475","33,602,521 ",South America,151672,,,"8,793",,
23,Iraq,"2,070,883",,"23,562 ",,"2,027,560",,"19,761",139,"49,948",568,"16,097,977","388,273","41,460,480 ",Asia,"201,7603",,,477,,
24,Thailand,"2,037,224","+6,524","20,197 ",+56,"1,925,643","+7,191","91,384","1,776","29,086",288,"14,913,135","212,921","70,040,747 ",Asia,"343,4685",93,0.8,"1,305",,
25,Czechia,"1,930,214","+22,479","31,709 ",+27,"1,733,498",+421,"165,007",661,"179,784","2,953","42,203,902","3,930,957","10,736,293 ",Europe,63390,"2,094",3,"15,369",,
26,Canada,"1,754,375",,"29,403 ",,"1,701,340",,"23,632",545,"45,930",770,"47,608,467","1,246,399","38,196,798 ",North America,"221,2991",,,619,,
27,Romania,"1,752,103","+3,535","54,011 ",+299,"1,606,820","+8,164","91,272","1,655","91,920","2,834","15,557,752","816,201","19,061,172 ",Europe,113531,185,16,"4,788",,
28,Chile,"1,730,456",,"38,005 ",,"1,632,745",,"59,706",599,"89,468","1,965","24,633,609","1,273,604","19,341,650 ",South America,115091,,,"3,087",,
29,Japan,"1,725,696",+154,"18,331 ",+4,"1,705,929",+263,"1,436",78,"13,702",146,"27,274,628","216,562","125,944,012 ",Asia,"736,8715",1,0.03,11,,
30,Bangladesh,"1,572,948",,"27,928 ",,"1,536,967",,"8,053","1,400","9,422",167,"10,634,254","63,700","166,943,330 ",Asia,"1065,97816",,,48,,
31,Belgium,"1,524,862","+12,388","26,444 ",+41,"1,256,562","+3,014","241,856",540,"130,789","2,268","23,112,268","1,982,363","11,658,949 ",Europe,84411,"1,063",4,"20,744",,
32,Israel,"1,338,527",+93,"8,148 ",,"1,324,912",+162,"5,467",138,"143,526",874,"30,745,560","3,296,757","9,326,000 ",Asia,"71,1450",10,,586,,
33,Pakistan,"1,280,362",+270,"28,628 ",+10,"1,229,347",+499,"22,387","1,085","5,646",126,"21,484,466","94,738","226,777,635 ",Asia,"1777,92211",1,0.04,99,,
34,Serbia,"1,218,423",,"10,951 ",,"1,114,763",,"92,709",267,"140,226","1,260","6,603,023","759,932","8,688,969 ",Europe,77931,,,"10,670",,
35,Sweden,"1,185,093",,"15,063 ",,"1,147,441",,"22,589",32,"116,348","1,479","13,485,270","1,323,928","10,185,805 ",Europe,96761,,,"2,218",,
36,Portugal,"1,110,155",,"18,274 ",,"1,053,609",,"38,272",80,"109,312","1,799","20,385,083","2,007,231","10,155,823 ",Europe,95560,,,"3,768",,
37,Vietnam,"1,055,246","+9,849","23,337 ",+67,"874,870","+3,873","157,039","4,338","10,709",237,"64,994,812","659,566","98,541,825 ",Asia,"934,2232",100,0.7,"1,594",,
38,Austria,"996,320","+14,416","11,848 ",+41,"858,323","+7,397","126,149",486,"109,763","1,305","104,771,291","11,542,475","9,077,021 ",Europe,97660,"1,588",5,"13,898",,
39,Hungary,"976,432","+10,265","32,514 ",+178,"828,535","+1,298","115,383",565,"101,430","3,378","7,909,782","821,657","9,626,619 ",Europe,102961,"1,066",18,"11,986",,
40,Kazakhstan,"959,526","+1,058","12,474 ",+24,"919,170","+2,298","27,882",528,"50,276",654,"11,575,012","606,492","19,085,170 ",Asia,"201,5302",55,1,"1,461",,
41,Cuba,"959,307",,"8,284 ",,"949,340",,"1,683",52,"84,766",732,"10,831,678","957,106","11,317,110 ",North America,"121,3661",,,149,,
42,Morocco,"948,391",,"14,747 ",,"930,379",,"3,265",347,"25,283",393,"10,279,270","274,030","37,511,430 ",Africa,"402,5444",,,87,,
43,Switzerland,"929,025","+5,981","11,370 ",+1,"846,083",+683,"71,572",125,"106,276","1,301","12,243,862","1,400,645","8,741,591 ",Europe,97691,684,0.1,"8,188",,
44,Jordan,"898,682",,"11,279 ",,"855,172",,"32,231",743,"86,894","1,091","11,555,786","1,117,334","10,342,280 ",Asia,129171,,,"3,116",,
45,Greece,"847,188",,"16,923 ",,"750,538",,"79,727",547,"81,830","1,635","31,171,430","3,010,850","10,353,032 ",Europe,126120,,,"7,701",,
46,Nepal,"818,035",+363,"11,483 ",+1,"798,916",+202,"7,636",,"27,399",385,"4,530,686","151,751","29,856,019 ",Asia,"362,6007",12,0.03,256,,
47,Georgia,"795,847","+4,732","11,212 ",+72,"731,996","+4,812","52,639",,"200,030","2,818","11,002,986","2,765,516","3,978,638 ",Asia,53550,"1,189",18,"13,230",,
48,UAE,"741,148",+74,"2,144 ",,"735,816",+93,"3,188",,"73,713",213,"97,596,388","9,706,718","10,054,520 ",Asia,"144,6900",7,,317,,
49,Tunisia,"715,818",,"25,320 ",,"689,639",,859,58,"59,709","2,112","3,128,507","260,959","11,988,493 ",Africa,174734,,,72,,
50,Bulgaria,"662,739",,"26,676 ",,"524,401",,"111,662",767,"96,377","3,879","6,157,900","895,500","6,876,495 ",Europe,102581,,,"16,238",,
51,Lebanon,"654,068",,"8,596 ",,"625,313",,"20,159",186,"96,422","1,267","4,795,578","706,957","6,783,408 ",Asia,107891,,,"2,972",,
52,Belarus,"632,887","+1,862","4,888 ",+13,"614,098","+2,894","13,901",,"67,007",518,"10,107,334","1,070,120","9,445,049 ",Europe,"151,9321",197,1,"1,472",,
53,Guatemala,"610,591",,"15,749 ",,"592,590",,"2,252",5,"33,238",857,"3,026,849","164,768","18,370,359 ",North America,"301,1666",,,123,,
54,Slovakia,"578,208","+8,342","13,687 ",+43,"479,633","+5,315","84,888",499,"105,835","2,505","4,283,027","783,967","5,463,278 ",Europe,93991,"1,527",8,"15,538",,
55,Azerbaijan,"565,965","+2,025","7,524 ",+22,"528,105","+2,267","30,336",,"55,137",733,"5,392,281","525,321","10,264,733 ",Asia,"181,3642",197,2,"2,955",,
56,Costa Rica,"564,901",,"7,231 ",,"534,171",,"23,499",148,"109,519","1,402","2,674,625","518,537","5,158,025 ",North America,97132,,,"4,556",,
57,Sri Lanka,"552,994",,"14,034 ",,"524,740",,"14,220",,"25,677",652,"5,500,800","255,416","21,536,655 ",Asia,"391,5354",,,660,,
58,Croatia,"551,000","+6,670","10,050 ",+64,"503,806","+3,222","37,144",323,"135,366","2,469","3,303,663","811,622","4,070,446 ",Europe,74051,"1,639",16,"9,125",,
59,Saudi Arabia,"549,339",+42,"8,820 ",+2,"538,412",+39,"2,107",47,"15,449",248,"30,964,745","870,819","35,558,180 ",Asia,"654,0321",1,0.06,59,,
60,Bolivia,"525,187",+926,"19,030 ",+8,"484,146",+816,"22,011",220,"44,164","1,600","2,563,530","215,574","11,891,666 ",South America,236255,78,0.7,"1,851",,
61,Ecuador,"521,792",,"33,088 ",,"443,880",,"44,824",759,"28,971","1,837","1,917,796","106,480","18,010,861 ",South America,355449,,,"2,489",,
62,Myanmar,"514,716",,"18,963 ",,"486,126",,"9,627",,"9,374",345,"5,259,819","95,788","54,911,035 ",Asia,"1072,89610",,,175,,
63,Ireland,"507,413",,"5,566 ",,"411,085",,"90,762",117,"101,208","1,110","8,523,650","1,700,124","5,013,546 ",Europe,109011,,,"18,103",,
64,Panama,"474,928",,"7,348 ",,"465,662",,"1,918",49,"107,742","1,667","4,150,936","941,680","4,408,010 ",North America,96001,,,435,,
65,Paraguay,"462,059",,"16,342 ",,"445,028",,689,43,"63,707","2,253","1,923,260","265,173","7,252,863 ",South America,164444,,,95,,
